model_key,num_layers,decision_layers,topology_best_score,topology_best_k,topology_best_window,topology_best_layers,topology_best_start_frac,topology_best_end_frac,topology_best_mechanism_f1,topology_best_deltaU_corr,topology_best_invariance_score,mechanism_best_score,mechanism_best_k,mechanism_best_window,mechanism_best_layers,mechanism_best_start_frac,mechanism_best_end_frac,mechanism_best_mechanism_f1,mechanism_best_deltaU_corr,mechanism_best_invariance_score,downstream_best_score,downstream_best_k,downstream_best_window,downstream_best_layers,downstream_best_start_frac,downstream_best_end_frac,downstream_best_mechanism_f1,downstream_best_deltaU_corr,downstream_best_invariance_score,overall_best_score,overall_best_k,overall_best_window,overall_best_layers,overall_best_start_frac,overall_best_end_frac,overall_best_mechanism_f1,overall_best_deltaU_corr,overall_best_invariance_score
qwen,28,"[19, 20, 21, 22, 23, 24, 25]",0.8754588441790092,100,L9_11,"[9, 10, 11]",0.3333333333333333,0.4074074074074074,0.6536942941097693,0.6816076770206438,0.8754588441790092,0.7653688070313466,100,L5_6,"[5, 6]",0.18518518518518517,0.2222222222222222,0.7653688070313466,0.7003052490656936,0.8025105855473382,0.7551935803809817,500,L5_6,"[5, 6]",0.18518518518518517,0.2222222222222222,0.754951926552447,0.7551935803809817,0.7355529761694527,1.5758928936314693,500,L5_6,"[5, 6]",0.18518518518518517,0.2222222222222222,0.754951926552447,0.7551935803809817,0.7355529761694527
llama,16,"[11, 12, 13, 14]",0.8942928620616233,100,L0_1,"[0, 1]",0.0,0.06666666666666667,0.6793425233943342,0.2545467559844972,0.8942928620616233,0.7582125620291847,500,L2_5,"[2, 3, 4, 5]",0.13333333333333333,0.3333333333333333,0.7582125620291847,0.2548567586078163,0.7585858514282603,0.3816732362761628,500,L0_2,"[0, 1, 2]",0.0,0.13333333333333333,0.7085415513775021,0.3816732362761628,0.830158057352235,1.2872508587990494,500,L0_2,"[0, 1, 2]",0.0,0.13333333333333333,0.7085415513775021,0.3816732362761628,0.830158057352235
gemma,26,"[18, 19, 20, 21, 22, 23]",0.9757736814924929,500,L0_1,"[0, 1]",0.0,0.04,0.5337738203266787,0.6031880723993109,0.9757736814924929,0.7854150838351682,100,L7_8,"[7, 8]",0.28,0.32,0.7854150838351682,0.5004330122194873,0.7913392682844508,0.6031880723993109,500,L0_1,"[0, 1]",0.0,0.04,0.5337738203266787,0.6031880723993109,0.9757736814924929,1.45041561810605,100,L1_6,"[1, 2, 3, 4, 5, 6]",0.04,0.24,0.7359831658966333,0.5485592387605065,0.8455633887606764
