condition,mean_center_cos,mean_cos_lift,mean_jaccard,mean_jaccard_lift,mean_spread_delta,boundary_center_cos,boundary_cos_lift,path_agreement,tau,tau_shift
irrelevant,0.9638114550283976,0.0095190640006746,0.0563903664504843,0.0359017686652285,0.0312263338627027,0.9612420399983724,0.0096141298611958,0.3703703703703703,12,-9
paraphrase,0.9817998664719718,0.028408122914178,0.1950342982475246,0.1707095737968172,0.0208391832254294,0.9833080371220908,0.0324697295824686,0.3703703703703703,12,-9
permuted,0.977592008454459,0.0236218018191201,0.1467878831816571,0.1226276811212301,0.0248215956879513,0.9784592787424724,0.0267497897148132,0.6296296296296297,21,0
rename,0.9714148959943226,0.0171301343611308,0.1010096031906349,0.0782057711455438,0.0270043195092252,0.9714042147000632,0.0184919635454813,0.5185185185185185,12,-9
