control,mode,k,mean_test_r2,std_test_r2,mean_test_cos,mean_eff_rank,tau,in_expected_zone,silhouette
permuted_W_lookup,center,500,0.2510214160989832,0.0265042970182098,0.9943649923359906,63.45453142180167,23.0,False,0.0236219968646764
permuted_W_lookup,center,1000,0.2195411059591505,0.0251673908746098,0.9970716878219889,63.0023399901712,20.0,True,0.0316794849932193
permuted_W_lookup,center,2000,0.1747901616273103,0.0259861069929007,0.9984645335762588,62.01913607874463,22.0,True,0.0370127633213996
permuted_W_lookup,center,5000,0.1203679773542616,0.0255917401187785,0.9993589101014314,59.4215285358734,21.0,True,0.0521904528141021
permuted_W_lookup,center_spread,500,0.2510320213105943,0.0264437021335116,0.9960948295063444,63.44689604232057,21.0,True,0.0224772356450557
permuted_W_lookup,center_spread,1000,0.2196107749585752,0.025116716807732,0.9979720270192182,62.9970407312485,20.0,True,0.0309485457837581
permuted_W_lookup,center_spread,2000,0.1749573173346343,0.0259352457296008,0.9989370549166644,62.01691317527915,21.0,True,0.0394845455884933
permuted_W_lookup,center_spread,5000,0.1205555333031548,0.0255078115857068,0.9995562986091332,59.42371892433572,22.0,True,0.056617546826601
permuted_W_lookup,entropy,500,-0.1061883988203825,1.235107214114871,1.0,1.0,21.0,True,0.8632832169532776
permuted_W_lookup,entropy,1000,-0.1351666031060395,1.3953981602645995,1.0,1.0,21.0,True,0.8974192142486572
permuted_W_lookup,entropy,2000,-0.1367580051775332,1.4140617693965447,1.0,1.0,21.0,True,0.8604960441589355
permuted_W_lookup,entropy,5000,-0.1112200021743774,1.2920524638816109,0.998488284923412,1.0,21.0,True,0.8444704413414001
random_ids,center,500,-0.0699097801137853,0.0028630189370429,0.9917815371795936,63.74718457317895,,False,0.0016912901774048
random_ids,center,1000,-0.0492552121480306,0.0017469660796676,0.9959378684008564,63.748152719451824,12.0,False,0.004084687680006
random_ids,center,2000,-0.0365709066390991,0.00202966506564,0.997986725083104,63.72229695963228,18.0,False,0.0033758122008293
random_ids,center,5000,-0.0303387641906738,0.0012012841800061,0.9992017370683176,63.65257736979366,12.0,False,0.0081149637699127
random_ids,center_spread,500,-0.0703034356788352,0.0018657860321364,0.9943000343110826,63.73124777318946,15.0,False,0.0068111694417893
random_ids,center_spread,1000,-0.0494401940593013,0.00196515056453,0.9971865746710036,63.73670742673244,12.0,False,0.0039764028042554
random_ids,center_spread,2000,-0.0371726398114804,0.001769983349435,0.9986068738831414,63.70679918291242,17.0,False,0.0067950575612485
random_ids,center_spread,5000,-0.0298824310302734,0.0010952872799718,0.999446902010176,63.642407433115096,12.0,False,0.0067354491911828
random_ids,entropy,500,-0.1061883988203825,1.235107214114871,1.0,1.0,21.0,True,0.8632832169532776
random_ids,entropy,1000,-0.1351666031060395,1.3953981602645995,1.0,1.0,21.0,True,0.8974192142486572
random_ids,entropy,2000,-0.1367580051775332,1.4140617693965447,1.0,1.0,21.0,True,0.8604960441589355
random_ids,entropy,5000,-0.1112200021743774,1.2920524638816109,0.998488284923412,1.0,21.0,True,0.8444704413414001
random_ids_random_vals,center,500,-0.0698535133291173,0.00199556907028,0.9917700930877968,63.742830018136885,22.0,True,0.0035508130677044
random_ids_random_vals,center,1000,-0.0485914636541295,0.0020485897238144,0.9959509284408004,63.75061801826619,23.0,False,0.0035208670888096
random_ids_random_vals,center,2000,-0.0366764377664636,0.0014569288569125,0.9979938092055144,63.721727293123095,,False,0.0062633701600134
random_ids_random_vals,center,5000,-0.0297420642994068,0.0013436027567263,0.99920106154901,63.65324614040164,23.0,False,0.0066821882501244
