baseline,mean_test_r2,std_test_r2,mean_test_cos,std_test_cos
identity_carryover,0.4795545560342294,0.2214285929010346,0.9926242333871348,0.0029136141952495
mean_predictor,-0.0240602978953608,0.0047927479559188,0.9850935843255784,0.0008698855186702
ridge,0.7051442636383904,0.0650425600950059,0.9957557735619722,0.000815823223601
shuffled_pair_ridge,-0.2885690062134354,0.0674840230654918,0.981232096530773,0.0012822329105204
