seed,baseline,mean_test_r2,mean_test_cos
0,identity_carryover,0.47459337887940584,0.992775954582073
0,mean_predictor,-0.030163420571221247,0.9855282417050114
0,ridge,0.7010530056776824,0.9958256041562116
0,shuffled_pair_ridge,-0.31549269181710704,0.9815356422353674
1,identity_carryover,0.48483432443053637,0.9926397182323314
1,mean_predictor,-0.019870029555426702,0.9849987228711446
1,ridge,0.7260821770738672,0.9960222641626993
1,shuffled_pair_ridge,-0.3027214253390277,0.9807868644043252
2,identity_carryover,0.4861522449387444,0.9926470540187977
2,mean_predictor,-0.022351609336005315,0.9850743435047291
2,ridge,0.7323970485616613,0.9961284796396891
2,shuffled_pair_ridge,-0.28985959070700185,0.9811523159344991
3,identity_carryover,0.47649866342544556,0.992481651129546
3,mean_predictor,-0.02393280576776575,0.9848779837290446
3,ridge,0.673410486291956,0.9952406287193298
3,shuffled_pair_ridge,-0.26250628630320233,0.9813520709673563
4,identity_carryover,0.47569410668479073,0.992576797803243
4,mean_predictor,-0.023983588925114385,0.9849886408558598
4,ridge,0.6927785211139255,0.9955619087925663
4,shuffled_pair_ridge,-0.2722650545614737,0.9813336266411675
