model_key,k,window,start,end,length,start_frac,end_frac,layers,preserve_distance_mean,structure_change_distance_mean,invariance_score_1_minus_preserve,structure_separation_auc,structure_lift_over_preserve,mechanism_acc_group,mechanism_macro_f1_group,downstream_deltaU_r2_group,downstream_deltaU_corr_group,topology_score,mechanism_score,downstream_score,overall_score
qwen,100,L0_1,0,1,2,0.0,0.037037037037037035,"[0, 1]",0.24614608444322456,0.03629993799672185,0.7538539155567754,0.37980967078189304,-0.8525268171374757,0.6035353535353535,0.6086358142975962,0.37630441804441206,0.613941850695655,0.7538539155567754,0.6086358142975962,0.613941850695655,1.3549890897729886
qwen,500,L0_1,0,1,2,0.0,0.037037037037037035,"[0, 1]",0.32981409388707217,0.038257567038856535,0.6701859061129278,0.3722479423868313,-0.8840026045339897,0.6136363636363636,0.6149399336100103,0.3916330736568865,0.6268128710713804,0.6701859061129278,0.6149399336100103,0.6268128710713804,1.3284951968015766
qwen,100,L1_2,1,2,2,0.037037037037037035,0.07407407407407407,"[1, 2]",0.34408164379415596,0.06789028902924922,0.655918356205844,0.3834619341563786,-0.802691313876723,0.5782828282828283,0.5825028758479119,0.3594943942443245,0.6001582963542974,0.655918356205844,0.5825028758479119,0.6001582963542974,1.2740881158646897
qwen,500,L1_2,1,2,2,0.037037037037037035,0.07407407407407407,"[1, 2]",0.3666977820528704,0.0705449249299745,0.6333022179471296,0.3712191358024691,-0.8076210534700919,0.5959595959595959,0.599179559631537,0.4105210731962319,0.6434070450048274,0.6333022179471296,0.599179559631537,0.6434070450048274,1.3107203926826563
qwen,100,L2_3,2,3,2,0.07407407407407407,0.1111111111111111,"[2, 3]",0.2815182689268265,0.08165336064778679,0.7184817310731735,0.3989454732510288,-0.7099535740305855,0.6085858585858586,0.6110675381263616,0.38859171122218483,0.6244820635219749,0.7184817310731735,0.6110675381263616,0.6244820635219749,1.347680546855256
qwen,500,L2_3,2,3,2,0.07407407407407407,0.1111111111111111,"[2, 3]",0.30391336670830377,0.08283953481915847,0.6960866332916962,0.3803240740740741,-0.7274238280776042,0.6111111111111112,0.6112322339619364,0.38584747628424676,0.622199359919483,0.6960866332916962,0.6112322339619364,0.622199359919483,1.3347885917509836
qwen,100,L3_4,3,4,2,0.1111111111111111,0.14814814814814814,"[3, 4]",0.19980108709521835,0.0840770549265683,0.8001989129047816,0.3946502057613169,-0.5791961798563096,0.5580808080808081,0.5611271444604777,0.3780366348336024,0.6156681393049649,0.8001989129047816,0.5611271444604777,0.6156681393049649,1.341535683464745
qwen,500,L3_4,3,4,2,0.1111111111111111,0.14814814814814814,"[3, 4]",0.25187059856144756,0.07805811801371286,0.7481294014385524,0.40645576131687244,-0.6900863961081452,0.5606060606060606,0.5607622114868492,0.3938734736077626,0.6289228688072911,0.7481294014385524,0.5607622114868492,0.6289228688072911,1.3258127649545886
qwen,100,L4_5,4,5,2,0.14814814814814814,0.18518518518518517,"[4, 5]",0.21906074911139967,0.08778148917627072,0.7809392508886004,0.43636831275720167,-0.5992824112709711,0.6616161616161617,0.6686173475647159,0.4891142517250794,0.7052755359756514,0.7809392508886004,0.6686173475647159,0.7052755359756514,1.4895839322765942
qwen,500,L4_5,4,5,2,0.14814814814814814,0.18518518518518517,"[4, 5]",0.2821483522285602,0.0796444871749433,0.7178516477714398,0.4349279835390947,-0.7177212139532974,0.6944444444444444,0.6984701572936868,0.5288160545173192,0.7277250134991515,0.7178516477714398,0.6984701572936868,0.7277250134991515,1.4998819605199905
qwen,100,L5_6,5,6,2,0.18518518518518517,0.2222222222222222,"[5, 6]",0.19748941445266174,0.07012943858122503,0.8025105855473382,0.43930041152263377,-0.6448951695738266,0.7626262626262627,0.7653688070313466,0.47790866843389546,0.7003052490656936,0.8025105855473382,0.7653688070313466,0.7003052490656936,1.5737945376513012
qwen,500,L5_6,5,6,2,0.18518518518518517,0.2222222222222222,"[5, 6]",0.2644470238305473,0.06681745491459802,0.7355529761694527,0.4227623456790124,-0.7473313882680439,0.75,0.754951926552447,0.5632137674415112,0.7551935803809817,0.7355529761694527,0.754951926552447,0.7551935803809817,1.5758928936314693
qwen,100,L6_7,6,7,2,0.2222222222222222,0.25925925925925924,"[6, 7]",0.16744721005007537,0.05665423425251716,0.8325527899499247,0.4317644032921811,-0.6616590933216173,0.7272727272727273,0.7270534458802632,0.37752181385720995,0.6188853000747135,0.8325527899499247,0.7270534458802632,0.6188853000747135,1.4930273917389438
qwen,500,L6_7,6,7,2,0.2222222222222222,0.25925925925925924,"[6, 7]",0.23540954139074988,0.05868188703859176,0.7645904586092501,0.4111111111111111,-0.750724230635879,0.7222222222222222,0.7224908922308938,0.4461756082408934,0.6765545396821567,0.7645904586092501,0.7224908922308938,0.6765545396821567,1.5015315748350655
qwen,100,L7_8,7,8,2,0.25925925925925924,0.2962962962962963,"[7, 8]",0.1589712803008072,0.05420334515973878,0.8410287196991928,0.45565843621399177,-0.659036829498115,0.6313131313131313,0.6370783289188617,0.3208207352774328,0.567082210402429,0.8410287196991928,0.6370783289188617,0.567082210402429,1.3838427913066291
qwen,500,L7_8,7,8,2,0.25925925925925924,0.2962962962962963,"[7, 8]",0.23880682621896368,0.06075789605259331,0.7611931737810363,0.4235082304526749,-0.7455771911115477,0.6540404040404041,0.6569936417886345,0.36454518648774537,0.606173410381208,0.7611931737810363,0.6569936417886345,0.606173410381208,1.3911302286263922
qwen,100,L8_9,8,9,2,0.2962962962962963,0.3333333333333333,"[8, 9]",0.13747441066459853,0.04827811678097186,0.8625255893354015,0.44902263374485596,-0.64882102032088,0.6262626262626263,0.6356217660565486,0.4099285751679421,0.6457663008136665,0.8625255893354015,0.6356217660565486,0.6457663008136665,1.4563732481638727
qwen,500,L8_9,8,9,2,0.2962962962962963,0.3333333333333333,"[8, 9]",0.19778088960051363,0.05829936208114259,0.8022191103994863,0.4252572016460905,-0.7052325467277267,0.6035353535353535,0.6070082950941567,0.38807666350333947,0.6258896703486309,0.8022191103994863,0.6070082950941567,0.6258896703486309,1.3874279275539734
qwen,100,L9_10,9,10,2,0.3333333333333333,0.37037037037037035,"[9, 10]",0.12512166048381218,0.043075752502357026,0.8748783395161879,0.4414609053497942,-0.6557290009332954,0.6338383838383839,0.6386840847091445,0.4536360487114105,0.6785038496728393,0.8748783395161879,0.6386840847091445,0.6785038496728393,1.491189517263681
qwen,500,L9_10,9,10,2,0.3333333333333333,0.37037037037037035,"[9, 10]",0.16186991827369565,0.056357989329872384,0.8381300817263043,0.414454732510288,-0.6518315666725929,0.6565656565656566,0.6584675729848906,0.42103745219123356,0.6524460224192529,0.8381300817263043,0.6584675729848906,0.6524460224192529,1.467795917186467
