seed,layer,r2,cos,gain_vs_identity,mean_delta_norm_pred,mean_delta_norm_true,mean_spread_delta_pred,mean_spread_delta_true,std_spread_delta_true
0,0,0.6257838606834412,0.9950940608978271,0.707548201084137,0.1866353154182434,0.19633810222148895,-0.008916729129850864,-0.01231108233332634,0.04700112342834473
0,1,0.5809235572814941,0.9945595264434814,0.524262547492981,0.17157213389873505,0.18647287786006927,0.0033395448699593544,0.004067851696163416,0.028450142592191696
0,2,0.6589683294296265,0.9953359365463257,0.47651898860931396,0.16888724267482758,0.17913594841957092,0.0020446546841412783,0.004373018629848957,0.027869371697306633
0,3,0.712457001209259,0.9960849285125732,0.4284454584121704,0.1635836362838745,0.16728515923023224,0.0036465476732701063,0.0033782939426600933,0.029002178460359573
0,4,0.6456435322761536,0.9952137470245361,0.449146032333374,0.16912735998630524,0.1772935837507248,-0.003562134224921465,-0.0034168167039752007,0.021964723244309425
0,5,0.6859266757965088,0.9957070350646973,0.49767571687698364,0.1718619167804718,0.17693018913269043,-0.0009625043021515012,0.0014790600398555398,0.03644176572561264
0,6,0.6515383720397949,0.995109498500824,0.3902396559715271,0.16468796133995056,0.17283807694911957,0.0036851726472377777,0.006272571627050638,0.027297599241137505
0,7,0.6551638245582581,0.9951817989349365,0.33251458406448364,0.16137608885765076,0.16500140726566315,-0.007204184774309397,-0.0035884014796465635,0.024102946743369102
0,8,0.6793776154518127,0.9953638911247253,0.19694387912750244,0.1498064249753952,0.14614281058311462,0.0027469226624816656,-0.0013843263732269406,0.021306373178958893
0,9,0.6130786538124084,0.9946074485778809,0.2959623336791992,0.15901772677898407,0.16344717144966125,-0.0061605037190020084,-0.00580059876665473,0.027839990332722664
0,10,0.6759618520736694,0.9954310059547424,0.13196444511413574,0.14480708539485931,0.13460959494113922,0.0052838800475001335,0.0055675203911960125,0.025099655613303185
0,11,0.7031850814819336,0.9957348704338074,0.09736770391464233,0.14294569194316864,0.12626858055591583,0.0003090658865403384,0.002221878618001938,0.02544981986284256
0,12,0.6407326459884644,0.9947514533996582,0.08081120252609253,0.14268186688423157,0.13501906394958496,-0.0021550157107412815,-0.0038312235847115517,0.02203132025897503
0,13,0.6989765167236328,0.9954732656478882,0.06766504049301147,0.14108705520629883,0.12481632083654404,-0.00011787730909418315,0.0008116376702673733,0.01907065510749817
0,14,0.6922485828399658,0.9955387711524963,0.019000530242919922,0.13385240733623505,0.1154770776629448,0.000249554926995188,-0.0033058184199035168,0.018481381237506866
0,15,0.707302451133728,0.9959503412246704,0.03219461441040039,0.13378635048866272,0.1132761612534523,-0.0007547967252321541,-0.0012258898932486773,0.014989908784627914
0,16,0.7101292610168457,0.9960619807243347,0.0841984748840332,0.13795797526836395,0.12003844976425171,0.00409551290795207,0.00100020004902035,0.018587488681077957
0,17,0.7116562128067017,0.9960971474647522,0.07944333553314209,0.13489305973052979,0.11832372844219208,-0.00128327461425215,-0.0019431199179962277,0.019885918125510216
0,18,0.7297093868255615,0.996095597743988,0.1671927571296692,0.14287783205509186,0.1333252340555191,0.003241572994738817,0.0037397074047476053,0.021760253235697746
0,19,0.7228571176528931,0.9962142109870911,0.19062668085098267,0.14394789934158325,0.1344478726387024,-0.0013393978588283062,-0.002772193867713213,0.015934236347675323
0,20,0.7447826266288757,0.9965250492095947,0.20897763967514038,0.14333169162273407,0.13397178053855896,5.273186252452433e-05,0.0007417737506330013,0.0210270956158638
0,21,0.7682024836540222,0.9969078898429871,0.17177021503448486,0.13711702823638916,0.12195398658514023,-0.006484296638518572,-0.006931723561137915,0.02493627555668354
0,22,0.7927599549293518,0.9970673322677612,0.11416548490524292,0.12899206578731537,0.11403501033782959,0.002966138767078519,0.0038176774978637695,0.015420915558934212
0,23,0.7882944345474243,0.9970390200614929,0.06152546405792236,0.12002697587013245,0.10466960817575455,-0.0014682557666674256,-0.0013013676507398486,0.011072793044149876
0,24,0.7956317067146301,0.9969677329063416,0.077694833278656,0.12410109490156174,0.10948431491851807,0.0031353672966361046,0.002434461610391736,0.015171458013355732
0,25,0.7960448265075684,0.9969537854194641,0.013921618461608887,0.11618775129318237,0.09688641875982285,-0.00034003477776423097,9.391015919391066e-05,0.010730186477303505
0,26,0.7410945892333984,0.9962239861488342,0.21663248538970947,0.14512819051742554,0.13471461832523346,0.00993107259273529,0.009097020141780376,0.03757304698228836
1,0,0.6790649890899658,0.9952836036682129,0.6668902635574341,0.18723610043525696,0.1995486170053482,-0.0005540798883885145,-0.0004593085322994739,0.047049861401319504
1,1,0.612077534198761,0.994663655757904,0.6065813899040222,0.17659339308738708,0.1953773945569992,-0.0005606996710412204,-0.0010051653953269124,0.03841671347618103
1,2,0.7033602595329285,0.9957153797149658,0.4990221858024597,0.17161668837070465,0.18131402134895325,0.0030680918134748936,0.0028531989082694054,0.02926546521484852
1,3,0.7500683665275574,0.996582567691803,0.4641662836074829,0.16615192592144012,0.1667046993970871,-0.0018294089240953326,-0.0029872350860387087,0.025417432188987732
1,4,0.6715893149375916,0.9955582618713379,0.4530603289604187,0.1654660403728485,0.17450115084648132,-0.0003679589426610619,1.06278730527265e-05,0.02238302491605282
1,5,0.7337237596511841,0.9961903095245361,0.5171300768852234,0.17225606739521027,0.1773003786802292,-0.0020474938210099936,-0.00015777957742102444,0.035939138382673264
1,6,0.6806850433349609,0.9954028725624084,0.40858006477355957,0.16429181396961212,0.17256870865821838,0.0028038742020726204,0.003266566898673773,0.032061781734228134
1,7,0.6734921932220459,0.9954808950424194,0.3381494879722595,0.15807926654815674,0.16161702573299408,-0.0034362722653895617,-0.0018813828937709332,0.02696904167532921
1,8,0.6724465489387512,0.9953296184539795,0.17683279514312744,0.1469937115907669,0.14307691156864166,-0.0022178473882377148,-0.002316937083378434,0.023540064692497253
1,9,0.6204974055290222,0.994793176651001,0.28113996982574463,0.15496598184108734,0.1593196988105774,-0.0027338338550180197,-0.004415695555508137,0.029010292142629623
1,10,0.6868299245834351,0.9956327676773071,0.13417494297027588,0.14407631754875183,0.1326581984758377,0.005130275152623653,0.0032274345867335796,0.022688470780849457
1,11,0.7062573432922363,0.9958682656288147,0.12080240249633789,0.1402806043624878,0.12697860598564148,0.002160566160455346,0.0015633738366886973,0.027799151837825775
1,12,0.6571053266525269,0.9950206279754639,0.09227371215820312,0.14097051322460175,0.13338635861873627,0.003229689784348011,9.990711259888485e-05,0.02394057996571064
1,13,0.7092714309692383,0.995598316192627,0.05775308609008789,0.13837282359600067,0.12243743985891342,8.761153003433719e-05,0.0017941107507795095,0.017286792397499084
1,14,0.7145677208900452,0.9957184791564941,0.022440731525421143,0.13343951106071472,0.11471271514892578,8.095648809103295e-05,-0.001302886987105012,0.016607780009508133
1,15,0.719253420829773,0.9959282279014587,0.029586970806121826,0.13380981981754303,0.11373554915189743,0.0009603925864212215,-0.0005497871898114681,0.014571844600141048
1,16,0.713940441608429,0.9959394335746765,0.0801127552986145,0.13861869275569916,0.1216626688838005,0.0023103635758161545,0.0014736335724592209,0.019622717052698135
1,17,0.7306338548660278,0.9962198138237,0.09121561050415039,0.1357591152191162,0.12058877944946289,-0.0019604514818638563,-0.003711566561833024,0.015889110043644905
1,18,0.7468630075454712,0.9962767958641052,0.18745702505111694,0.14360329508781433,0.135774627327919,0.0023241699673235416,0.0033734587486833334,0.020364046096801758
1,19,0.7455796003341675,0.9963956475257874,0.20426762104034424,0.1445426195859909,0.13622063398361206,-0.0003178472397848964,-0.0003143926151096821,0.01763143762946129
1,20,0.7741178870201111,0.9967801570892334,0.22390460968017578,0.14356496930122375,0.13535986840724945,0.00023346774105448276,-0.0001262316945940256,0.018279602751135826
1,21,0.8116092085838318,0.9970523118972778,0.20489734411239624,0.13934430480003357,0.1290494203567505,-0.0021663138177245855,-0.0009288872824981809,0.032593969255685806
1,22,0.8323425054550171,0.99728924036026,0.1214480996131897,0.1298847794532776,0.11562556028366089,0.0023348587565124035,0.0016058622859418392,0.014346793293952942
