k,n_seeds,mean_tau,std_tau,zone_frequency,ci95_tau
2,5,12.2,0.44721359549995787,0.0,0.3919999999999999
3,5,18.8,3.96232255123179,0.6,3.4731288487471925
4,5,20.8,0.8366600265340753,1.0,0.7333648478076923
5,5,21.6,0.547722557505166,1.0,0.48009998958550276
8,5,21.8,0.44721359549995787,1.0,0.3919999999999999
