k,inertia,silhouette
2,25442.12890625,0.0955682247877121
3,22214.595703125,0.11265530437231064
4,20320.994140625,0.1064412072300911
5,18458.15625,0.11221028864383698
6,16764.3046875,0.11634712666273117
8,13980.669921875,0.11792287230491638
