action_label,alpha,beta,closure_crossings,closure_crossing_rate,closure_mean_margin_shift,nonclosure_flip_rate,nonclosure_mean_abs_margin_shift,dose,selected
a0.0_b0.0,0.0,0.0,0,0.0,0.000388681592039801,0.0,0.0026319296375266524,0.0,True
a0.3_b0.3,0.3,0.3,0,0.0,2.6071983830845773,0.19402985074626866,1.199460287846482,0.18,False
a0.6_b0.3,0.6,0.3,1,0.004975124378109453,3.5679415422885574,0.27292110874200426,1.8328224946695095,0.44999999999999996,False
a0.6_b0.6,0.6,0.6,2,0.009950248756218905,3.639225746268657,0.279317697228145,1.853311567164179,0.72,False
a0.9_b0.3,0.9,0.3,38,0.1890547263681592,3.990827114427861,0.3006396588486141,1.9367670575692963,0.9,False
a0.9_b0.6,0.9,0.6,42,0.208955223880597,4.036380597014926,0.3091684434968017,1.9579224413646055,1.17,False
a0.9_b0.9,0.9,0.9,44,0.21890547263681592,4.0849657960199,0.31982942430703626,1.978411513859275,1.62,False
a1.0_b0.6,1.0,0.6,48,0.23880597014925373,3.9952580845771144,0.3304904051172708,1.9831756396588487,1.3599999999999999,False
a1.0_b0.9,1.0,0.9,49,0.24378109452736318,4.0356809701492535,0.3304904051172708,2.008095682302772,1.81,False
a1.0_b1.2,1.0,1.2,50,0.24875621890547264,4.076181592039801,0.3326226012793177,2.0358808635394454,2.44,False
