model,n_train_prompts,n_heldout_prompts,n_train_problems,n_heldout_problems,decision_layers,pca_explained_variance,heldout_macro_f1,heldout_accuracy,label_shuffle_f1_mean,label_shuffle_f1_sd,label_shuffle_f1_q95,heldout_f1_vs_shuffle_z,heldout_f1_exceeds_shuffle_q95
qwen,264,120,44,20,20;21;22;23;24;25,0.9800539016723633,0.5369818965324583,0.5416666666666666,0.2949080204747991,0.1383910819196139,0.5035903250188964,1.7492014131248044,True
llama,264,120,44,20,12;13;14;15,0.9899395108222961,0.5621558815908796,0.5833333333333334,0.28108783501203344,0.15392335684114977,0.5066589309746437,1.8260259673839545,True
gemma,264,120,44,20,18;19;20;21;22;23,0.9551846981048584,0.591309072300299,0.5916666666666667,0.3036120997840113,0.13521874994981273,0.6168690958164643,2.1276411194680342,False
