model_key,mean_real_preservation,mean_rowperm_preservation,mean_gaussian_preservation,real_minus_rowperm,real_minus_gaussian,gaussian_minus_real,mean_spread_real,mean_entropy_real
gemma,0.731728809878073,0.7318895076546679,0.8995143993241268,-0.00016069777659488693,-0.16778558944605382,0.16778558944605382,0.5020073784722222,0.536912845965061
llama,0.7713460427910896,0.7713805706919933,0.9223214006758165,-3.452790090363589e-05,-0.15097535788472682,0.15097535788472682,0.6159889914772727,3.9028431502255527
qwen,0.7878627314900307,0.7879584854581911,0.926722136566349,-9.575396816041692e-05,-0.13885940507631833,0.13885940507631833,0.5709935238486842,0.6749642913885129
