"group","null_q95","specificity","empirical_p"
"Qwen",0.0339285714285714,0.0589285714285714,0.0392156862745098
"Llama",-0.012962962962963,0.037037037037037,0.0196078431372549
"Gemma",0.2125,0,0.0784313725490196
"Pooled",-0.0111111111111111,0.0402777777777778,0.0196078431372549
