"graph_id","condition","phase","DeltaU_PC1"
"16","direct_negative","negative","-1.3812282479352416"
"16","update_negative","negative","-0.7125079073988038"
"16","exception_negative","negative","-2.5196589346421456"
"17","stable_positive","positive","2.2963711945093728"
"17","weak_positive","positive","3.0402280137318254"
"17","true_compete_balanced","critical","0.9606936561719184"
"17","true_compete_order_C_first","critical","2.4371611949597463"
"17","true_compete_order_E_first","critical","3.788033087400281"
"17","direct_negative","negative","-0.7747285088779013"
"17","update_negative","negative","0.25134215987658015"
"17","exception_negative","negative","-0.645182221849905"
"18","stable_positive","positive","2.2963711945093728"
"18","weak_positive","positive","1.9980677893692724"
"18","true_compete_balanced","critical","-0.23991225911450556"
"18","true_compete_order_C_first","critical","1.1483689600402085"
"18","true_compete_order_E_first","critical","1.2204491785255924"
"18","direct_negative","negative","-0.45232059516296114"
"18","update_negative","negative","-0.9646683956268339"
"18","exception_negative","negative","-2.930710173434846"
"19","stable_positive","positive","2.2963711945093728"
"19","weak_positive","positive","1.9810717638853435"
"19","true_compete_balanced","critical","1.59098842037215"
"19","true_compete_order_C_first","critical","2.374098110570871"
"19","true_compete_order_E_first","critical","2.6554891903840763"
"19","direct_negative","negative","-0.043812423852783416"
"19","update_negative","negative","-1.091519005680032"
"19","exception_negative","negative","-2.212901877943027"
"20","stable_positive","positive","2.2963711945093728"
"20","weak_positive","positive","1.1480730363112779"
"20","true_compete_balanced","critical","-1.152192464998875"
"20","true_compete_order_C_first","critical","-0.141060504368575"
"20","true_compete_order_E_first","critical","1.562462672184396"
"20","direct_negative","negative","-2.9129965235509614"
"20","update_negative","negative","-5.387379119937828"
"20","exception_negative","negative","-4.378101739877695"
"21","stable_positive","positive","2.2963711945093728"
"21","weak_positive","positive","0.5687418328069326"
"21","true_compete_balanced","critical","-2.351960675234247"
"21","true_compete_order_C_first","critical","-1.8314451864147094"
"21","true_compete_order_E_first","critical","0.62549429911392"
"21","direct_negative","negative","-2.797340519781753"
"21","update_negative","negative","-4.673806755857089"
"21","exception_negative","negative","-5.912620361749678"
"22","stable_positive","positive","2.2963711945093728"
"22","weak_positive","positive","1.651346302675399"
"22","true_compete_balanced","critical","-2.4336743235468234"
"22","true_compete_order_C_first","critical","-0.7310771767858294"
"22","true_compete_order_E_first","critical","0.6469895725214473"
"22","direct_negative","negative","-1.9039912880367498"
"22","update_negative","negative","-0.7924485759242117"
"22","exception_negative","negative","-2.458417995035568"
"23","stable_positive","positive","2.2963711945093728"
"23","weak_positive","positive","3.0504133566949005"
"23","true_compete_balanced","critical","0.9551158927121255"
"23","true_compete_order_C_first","critical","2.475551463783589"
"23","true_compete_order_E_first","critical","4.191610100024132"
"23","direct_negative","negative","-0.9405328825757299"
"23","update_negative","negative","0.36442689028165004"
"23","exception_negative","negative","-0.4786355933456334"
"24","stable_positive","positive","2.2963711945093728"
"24","weak_positive","positive","1.9496153844319593"
"24","true_compete_balanced","critical","-0.09077825846630667"
"24","true_compete_order_C_first","critical","1.4166841592235992"
"24","true_compete_order_E_first","critical","1.5098649247679399"
"24","direct_negative","negative","-0.39441795611201325"
"24","update_negative","negative","-0.5574748459152487"
"24","exception_negative","negative","-2.706115824513738"
"25","stable_positive","positive","2.2963711945093728"
"25","weak_positive","positive","1.9810927235254505"
"25","true_compete_balanced","critical","1.5056045198385972"
"25","true_compete_order_C_first","critical","2.3642653951420614"
"25","true_compete_order_E_first","critical","2.78304094790474"
"25","direct_negative","negative","-0.13852241236530527"
"25","update_negative","negative","-1.0195152322573238"
"25","exception_negative","negative","-1.986806987439474"
"26","stable_positive","positive","2.2963711945093728"
"26","weak_positive","positive","1.3779483795695615"
"26","true_compete_balanced","critical","-1.1852243365419568"
"26","true_compete_order_C_first","critical","0.07298172475415718"
"26","true_compete_order_E_first","critical","1.655701379747569"
"26","direct_negative","negative","-2.8992775172616594"
"26","update_negative","negative","-5.487646093645485"
"26","exception_negative","negative","-4.121900231211002"
"27","stable_positive","positive","2.2963711945093728"
"27","weak_positive","positive","0.5980831127591838"
"27","true_compete_balanced","critical","-2.5223171459526696"
"27","true_compete_order_C_first","critical","-1.8230101047348661"
"27","true_compete_order_E_first","critical","0.738274174335288"
"27","direct_negative","negative","-2.699295696559774"
"27","update_negative","negative","-4.510755381400146"
"27","exception_negative","negative","-5.83174615395578"
"28","stable_positive","positive","2.2963711945093728"
"28","weak_positive","positive","2.115486668064546"
"28","true_compete_balanced","critical","-2.1758937879380413"
"28","true_compete_order_C_first","critical","-0.29524064378110254"
"28","true_compete_order_E_first","critical","0.8776387572495534"
"28","direct_negative","negative","-1.6112923589035724"
"28","update_negative","negative","-0.4341223824218827"
"28","exception_negative","negative","-2.3262942149530645"
"29","stable_positive","positive","2.2963711945093728"
"29","weak_positive","positive","3.0358291623208515"
"29","true_compete_balanced","critical","0.9061080627319342"
"29","true_compete_order_C_first","critical","2.5075235741208"
"29","true_compete_order_E_first","critical","4.058356781791219"
"29","direct_negative","negative","-0.9074752172948805"
"29","update_negative","negative","0.3937133044249989"
"29","exception_negative","negative","-0.18987708109355067"
"30","stable_positive","positive","2.2963711945093728"
"30","weak_positive","positive","1.9587702572026489"
"30","true_compete_balanced","critical","-0.358844025109659"
"30","true_compete_order_C_first","critical","1.3073470107999356"
"30","true_compete_order_E_first","critical","1.2350911749683082"
"30","direct_negative","negative","-0.6102094962473977"
"30","update_negative","negative","-0.7958305143851135"
"30","exception_negative","negative","-1.6967062480049335"
"31","stable_positive","positive","2.2963711945093728"
"31","weak_positive","positive","2.052686298438658"
"31","true_compete_balanced","critical","1.602696232195133"
