condition,phase,n,DeltaU_mean,DeltaU_std,in_band_frac,gen_negative_rate,tau_band_escape_mean,tau_band_escape_frac,slope_abs_mean,dist_to_band
direct_negative,negative,96,-1.3473833998395977,1.0651977920395135,0.4375,1.0,22.185185185185187,0.5625,0.250794201416917,0.8254267628015972
exception_negative,negative,96,-2.707432093622326,1.70633583739331,0.16666666666666666,1.0,21.7625,0.8333333333333334,0.5305967148903882,2.065753699799925
stable_positive,positive,96,2.2963711945093728,0.0,0.0,0.020833333333333332,23.0,1.0,0.41652417552180054,0.9486998622445046
true_compete_balanced,critical,96,-0.6038688191202751,1.445812387646991,0.3333333333333333,0.90625,22.546875,0.6666666666666666,0.23390660442377456,0.6289285053913914
true_compete_order_C_first,critical,96,0.7423202040795606,1.5185177237800516,0.3958333333333333,0.6666666666666666,22.810344827586206,0.6041666666666666,0.27328558414593446,0.553742200641094
true_compete_order_E_first,critical,96,1.8389030860851443,1.1408077375537344,0.3958333333333333,0.0,23.10144927536232,0.71875,0.39781609794222156,0.6960203373400814
update_negative,negative,96,-1.9949879926123586,2.2391466397863846,0.375,1.0,22.333333333333332,0.625,0.38771157659589633,1.5402577831252122
weak_positive,positive,96,1.7760778205204801,0.802440678647673,0.3125,0.16666666666666666,23.5,0.6875,0.32764650741422435,0.6028795082901443
