"graph_id","condition","phase","DeltaU_PC1","DeltaU_global","in_band_global","phase_pred_band","signed_band_position","dist_to_band"
"0","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"0","weak_positive","positive","2.015088699548312","2.015088699548312","0","positive","0.6691482205731498","0.667417367283444"
"0","true_compete_balanced","critical","-0.5518732901686865","-0.5518732901686865","1","critical","-0.5976035220485766","0.0"
"0","true_compete_order_C_first","critical","1.4307370666115575","1.4307370666115575","0","positive","0.3807807058644128","0.0830657343466894"
"0","true_compete_order_E_first","critical","1.3165118651082626","1.3165118651082626","1","critical","0.32441252681258004","0.0"
"0","direct_negative","negative","-0.9146259960533908","-0.9146259960533908","0","negative","-0.7766157645987113","0.23588449354841534"
"0","update_negative","negative","-1.0368458860699603","-1.0368458860699603","0","negative","-0.8369291853979783","0.35810438356498486"
"0","exception_negative","negative","-1.7002042582396315","-1.7002042582396315","0","negative","-1.1642851716941698","1.021462755734656"
"1","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"1","weak_positive","positive","2.021712916888661","2.021712916888661","0","positive","0.6724171582874621","0.6740415846237928"
"1","true_compete_balanced","critical","1.5554039698088056","1.5554039698088056","0","positive","0.4423016857250373","0.20773263754393745"
"1","true_compete_order_C_first","critical","2.5175231616709355","2.5175231616709355","0","positive","0.9170910155956857","1.1698518294060674"
"1","true_compete_order_E_first","critical","2.782125970716883","2.782125970716883","0","positive","1.0476679664053514","1.434454638452015"
"1","direct_negative","negative","-0.1580711370700946","-0.1580711370700946","1","critical","-0.40326890950496574","0.0"
"1","update_negative","negative","-1.2433369434277732","-1.2433369434277732","0","negative","-0.9388289828206313","0.5645954409227978"
"1","exception_negative","negative","-2.363143576413476","-2.363143576413476","0","negative","-1.4914343620262638","1.6844020739085006"
"2","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"2","weak_positive","positive","1.1357048834803949","1.1357048834803949","1","critical","0.23518738052183707","0.0"
"2","true_compete_balanced","critical","-1.1794091375289757","-1.1794091375289757","0","negative","-0.9072817063713944","0.5006676350240002"
"2","true_compete_order_C_first","critical","0.2477193721951684","0.2477193721951684","1","critical","-0.20301824868088367","0.0"
"2","true_compete_order_E_first","critical","1.5419161625899216","1.5419161625899216","0","positive","0.43564568405181003","0.19424483032505346"
"2","direct_negative","negative","-2.968925899490256","-2.968925899490256","0","negative","-1.7903775549839243","2.2901843969852806"
"2","update_negative","negative","-5.75734652277111","-5.75734652277111","0","negative","-3.1664153373325448","5.078605020266135"
"2","exception_negative","negative","-4.135340675682362","-4.135340675682362","0","negative","-2.365983253969743","3.4565991731773864"
"3","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"3","weak_positive","positive","0.5808124701313537","0.5808124701313537","1","critical","-0.03864251426946344","0.0"
"3","true_compete_balanced","critical","-2.441092868259583","-2.441092868259583","0","negative","-1.5299010014536252","1.7623513657546077"
"3","true_compete_order_C_first","critical","-1.5275514188001744","-1.5275514188001744","0","negative","-1.079083954806407","0.848809916295199"
"3","true_compete_order_E_first","critical","0.5512933558472838","0.5512933558472838","1","critical","-0.05320969119291996","0.0"
"3","direct_negative","negative","-2.7273317545402818","-2.7273317545402818","0","negative","-1.6711549855230006","2.0485902520353063"
"3","update_negative","negative","-4.451188818011425","-4.451188818011425","0","negative","-2.5218488983781695","3.7724473155064495"
"3","exception_negative","negative","-5.6733574801138085","-5.6733574801138085","0","negative","-3.1249681844048944","4.994615977608833"
"4","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"4","weak_positive","positive","2.1364064991936047","2.1364064991936047","0","positive","0.7290164752365742","0.7887351669287366"
"4","true_compete_balanced","critical","-1.9922212000133053","-1.9922212000133053","0","negative","-1.308390527109912","1.3134796975083298"
"4","true_compete_order_C_first","critical","0.5626856876918953","0.5626856876918953","1","critical","-0.04758777069916242","0.0"
"4","true_compete_order_E_first","critical","1.02043760950854","1.02043760950854","1","critical","0.17830495656853146","0.0"
"4","direct_negative","negative","-1.6938470665234604","-1.6938470665234604","0","negative","-1.1611480065484063","1.015105564018485"
"4","update_negative","negative","-0.975216948115841","-0.975216948115841","0","negative","-0.806516360875433","0.2964754456108656"
"4","exception_negative","negative","-2.574875615603707","-2.574875615603707","0","negative","-1.5959204941495706","1.8961341130987317"
"5","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"5","weak_positive","positive","3.051029103485895","3.051029103485895","0","positive","1.1803670532621622","1.703357771221027"
"5","true_compete_balanced","critical","0.6660369558956426","0.6660369558956426","1","critical","0.0034143086552326832","0.0"
"5","true_compete_order_C_first","critical","2.6664208029393865","2.6664208029393865","0","positive","0.9905694493647302","1.3187494706745184"
"5","true_compete_order_E_first","critical","3.8719058911963593","3.8719058911963593","0","positive","1.585455677665438","2.524234558931491"
"5","direct_negative","negative","-1.090804069217317","-1.090804069217317","0","negative","-0.8635566239048306","0.41206256671234165"
"5","update_negative","negative","0.1925954504749649","0.1925954504749649","1","critical","-0.2302209591919613","0.0"
"5","exception_negative","negative","-0.4658200717265779","-0.4658200717265779","1","critical","-0.5551377337523631","0.0"
"6","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"6","weak_positive","positive","2.0223519302446835","2.0223519302446835","0","positive","0.6727325004255782","0.6746805979798154"
"6","true_compete_balanced","critical","-0.2530695486815751","-0.2530695486815751","1","critical","-0.4501489973041646","0.0"
"6","true_compete_order_C_first","critical","1.625542561481007","1.625542561481007","0","positive","0.47691387849676986","0.27787122921613894"
"6","true_compete_order_E_first","critical","1.4955908210402151","1.4955908210402151","0","positive","0.41278492204180967","0.147919488775347"
"6","direct_negative","negative","-0.6386102120787716","-0.6386102120787716","1","critical","-0.6404067062871395","0.0"
"6","update_negative","negative","-0.4925552250220493","-0.4925552250220493","1","critical","-0.5683310736467457","0.0"
"6","exception_negative","negative","-2.30601529224208","-2.30601529224208","0","negative","-1.4632425330015248","1.6272737897371043"
"7","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"7","weak_positive","positive","1.9796198359034824","1.9796198359034824","0","positive","0.6516449443225132","0.6319485036386143"
"7","true_compete_balanced","critical","1.4385352763533532","1.4385352763533532","0","positive","0.38462898870588896","0.09086394408848508"
"7","true_compete_order_C_first","critical","2.413432552481031","2.413432552481031","0","positive","0.8657240841373802","1.0657612202161628"
"7","true_compete_order_E_first","critical","2.7574642804035783","2.7574642804035783","0","positive","1.03549784495224","1.4097929481387101"
"7","direct_negative","negative","-0.1721051141743043","-0.1721051141743043","1","critical","-0.41019443665491434","0.0"
"7","update_negative","negative","-1.0346146661445326","-1.0346146661445326","0","negative","-0.8358281166092584","0.3558731636395571"
"7","exception_negative","negative","-2.216037005704412","-2.216037005704412","0","negative","-1.4188397908782284","1.5372955031994366"
"8","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"8","weak_positive","positive","1.167620573431878","1.167620573431878","1","critical","0.25093722645838457","0.0"
"8","true_compete_balanced","critical","-1.226550679138112","-1.226550679138112","0","negative","-0.9305452491205536","0.5478091766331366"
"8","true_compete_order_C_first","critical","0.0707222146148804","0.0707222146148804","1","critical","-0.29036331210686794","0.0"
"8","true_compete_order_E_first","critical","1.6772286434659884","1.6772286434659884","0","positive","0.502420074025198","0.3295573112011203"
"8","direct_negative","negative","-2.6021788739901464","-2.6021788739901464","0","negative","-1.609394184168676","1.923437371485171"
"8","update_negative","negative","-5.964487605200094","-5.964487605200094","0","negative","-3.2686359109859926","5.285746102695118"
"8","exception_negative","negative","-4.440486607040703","-4.440486607040703","0","negative","-2.516567540706581","3.7617451045357275"
"9","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"9","weak_positive","positive","0.6608844969031756","0.6608844969031756","1","critical","0.0008716584587589557","0.0"
"9","true_compete_balanced","critical","-2.372258762732101","-2.372258762732101","0","negative","-1.4959325502346186","1.6935172602271256"
"9","true_compete_order_C_first","critical","-1.696374789502883","-1.696374789502883","0","negative","-1.1623953945120284","1.0176332869979074"
"9","true_compete_order_E_first","critical","0.7760246776984446","0.7760246776984446","1","critical","0.05769136410787443","0.0"
"9","direct_negative","negative","-2.386079786651627","-2.386079786651627","0","negative","-1.502752988638074","1.7073382841466516"
"9","update_negative","negative","-4.31871963607385","-4.31871963607385","0","negative","-2.4564776276950386","3.639978133568875"
"9","exception_negative","negative","-5.249588413181246","-5.249588413181246","0","negative","-2.9158454135355103","4.57084691067627"
"10","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"10","weak_positive","positive","2.0959491547910933","2.0959491547910933","0","positive","0.7090514692376428","0.7482778225262252"
"10","true_compete_balanced","critical","-2.188053917130427","-2.188053917130427","0","negative","-1.4050306163142758","1.5093124146254517"
"10","true_compete_order_C_first","critical","-7.233714266480767e-05","-7.233714266480767e-05","1","critical","-0.3252992099371593","0.0"
"10","true_compete_order_E_first","critical","0.7400123537669668","0.7400123537669668","1","critical","0.03991989952101977","0.0"
"10","direct_negative","negative","-1.8057109520454817","-1.8057109520454817","0","negative","-1.2163509166378854","1.1269694495405063"
"10","update_negative","negative","-1.0025833930751742","-1.0025833930751742","0","negative","-0.8200212323852051","0.32384189057019874"
"10","exception_negative","negative","-2.216426842945904","-2.216426842945904","0","negative","-1.4190321688748553","1.5376853404409285"
"11","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"11","weak_positive","positive","3.0756930330211967","3.0756930330211967","0","positive","1.1925382797329471","1.7280217007563285"
"11","true_compete_balanced","critical","0.8325843850314333","0.8325843850314333","1","critical","0.08560261020861513","0.0"
"11","true_compete_order_C_first","critical","2.479595348047869","2.479595348047869","0","positive","0.8983742896787007","1.1319240157830008"
"11","true_compete_order_E_first","critical","3.818849366805409","3.818849366805409","0","positive","1.5592731922998881","2.4711780345405407"
"11","direct_negative","negative","-1.021790526208556","-1.021790526208556","0","negative","-0.8294996233644815","0.3430490237035806"
"11","update_negative","negative","-0.1399451665690321","-0.1399451665690321","1","critical","-0.39432405375294804","0.0"
"11","exception_negative","negative","-0.5512724207545495","-0.5512724207545495","1","critical","-0.5973070032919704","0.0"
"12","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"12","weak_positive","positive","1.9174882310266208","1.9174882310266208","0","positive","0.620984062289614","0.5698168987617527"
"12","true_compete_balanced","critical","-0.3146025772177721","-0.3146025772177721","1","critical","-0.48051449217291153","0.0"
"12","true_compete_order_C_first","critical","0.939085013760197","0.939085013760197","1","critical","0.138158845000134","0.0"
"12","true_compete_order_E_first","critical","1.1114209789430964","1.1114209789430964","1","critical","0.22320368987370487","0.0"
"12","direct_negative","negative","-0.5008622596827783","-0.5008622596827783","1","critical","-0.5724304528641442","0.0"
"12","update_negative","negative","-0.6403595600474893","-0.6403595600474893","1","critical","-0.6412699795248041","0.0"
"12","exception_negative","negative","-2.90878122481016","-2.90878122481016","0","negative","-1.7606971889459262","2.2300397223051847"
"13","stable_positive","positive","2.2963711945093728","2.2963711945093728","0","positive","0.8079563104818723","0.9486998622445046"
"13","weak_positive","positive","1.975513296704608","1.975513296704608","0","positive","0.6496184376164703","0.6278419644397399"
"13","true_compete_balanced","critical","1.5330320614317237","1.5330320614317237","0","positive","0.4312615324091846","0.18536072916685553"
"13","true_compete_order_C_first","critical","2.4050765534670564","2.4050765534670564","0","positive","0.8616005418509342","1.0574052212021883"
"13","true_compete_order_E_first","critical","2.68509107732878","2.6850910773287797","0","positive","0.9997829097559364","1.3374197450639116"
"13","direct_negative","negative","-0.0722441940429904","-0.0722441940429904","1","critical","-0.36091478424755746","0.0"
"13","update_negative","negative","-1.0936411009386091","-1.0936411009386091","0","negative","-0.8649566504308237","0.41489959843363367"
