"condition","phase","n","DeltaU_mean","DeltaU_std","final_R","gen_neg"
"direct_negative","negative","96","-1.3473833998395977","1.0651977920395135","-1.9679361979166667","1.0"
"exception_negative","negative","96","-2.707432093622326","1.70633583739331","-4.64794921875","1.0"
"stable_positive","positive","96","2.2963711945093728","0.0","2.11474609375","0.020833333333333332"
"true_compete_balanced","critical","96","-0.6038688191202751","1.445812387646991","-1.2659505208333333","0.90625"
"true_compete_order_C_first","critical","96","0.7423202040795607","1.5185177237800516","-0.11751302083333333","0.6666666666666666"
"true_compete_order_E_first","critical","96","1.8389030860851443","1.1408077375537344","2.4930013020833335","0.0"
"update_negative","negative","96","-1.9949879926123586","2.2391466397863846","-3.0517578125","1.0"
"weak_positive","positive","96","1.7760778205204801","0.802440678647673","0.78662109375","0.16666666666666666"
