"model","real_alignment_mean","shuffle_alignment_mean_mean","shuffle_alignment_mean_q95","pair_accuracy","clean_pair_accuracy"
"qwen",0.0616790466010571,0.0421862027049065,0.048349692299962,0.84375,0.890625
"llama",0.124214857816696,0.0728632839024067,0.0837480880320072,0.411458333333333,0.546875
"gemma",0.0972601249814034,0.0426006752252579,0.0553878922015429,0.942708333333333,0.953125
