"model","heldout_macro_f1","label_shuffle_f1_q95","heldout_accuracy","passes_q95"
"qwen",0.536981896532458,0.503590325018896,0.541666666666667,TRUE
"llama",0.56215588159088,0.506658930974644,0.583333333333333,TRUE
"gemma",0.591309072300299,0.616869095816464,0.591666666666667,FALSE
