null_index,delta_r2
0,-0.013673374632061974
1,-0.016269841487857817
2,0.004400578469965333
3,-0.01386277802549285
4,0.009794829845314212
5,-0.005720962350508119
6,-0.0022959590729357826
7,-0.0065190439567711644
8,0.001975101391113676
9,-0.009190191927443858
10,0.004639825699737199
11,-0.004474186168743732
12,-0.01203741132517655
13,-0.001128673220362808
14,-0.008051175846194414
15,-0.0037575034211728697
16,0.014466031324244955
17,0.009818810514078513
18,-0.0021549978937772662
19,-0.002782750445409099
20,-0.01041590121431435
21,-0.0025001383813074707
22,0.004835758893479869
23,-0.00977490016659266
24,-0.0014097094762733908
25,-0.01139060022867422
26,-0.014125475363830575
27,-0.002572836149272284
28,0.00811795732428866
29,-0.0084941934554289
30,-0.008148635407229654
31,-0.00021608178003540424
32,-0.006844209532452461
33,-0.010251752814244175
34,-0.0006444277899129158
35,-0.000319927528342534
36,-0.008892761229269852
37,0.006775920816041281
38,-0.014625408407482277
39,-0.03263994599467834
40,-0.012125978638685253
41,-0.010365521977086734
42,0.028249986350542544
43,-0.01550370547202018
44,-0.010606918856999159
45,-0.013382325148548424
46,-0.022753501324822234
47,-0.01333438104228224
48,-0.0015365410333546548
49,-0.011426745447402298
50,0.0020086846161098126
51,-0.015020138011457962
52,-0.020470845358259493
53,-0.0027683595023982877
54,0.001233032727873673
55,-0.010348627781805342
56,-0.004964531547120954
57,-0.005380684956610371
58,0.0067718144787316525
59,-0.009145035580920169
60,-0.017321781162577987
61,-0.02706040989468439
62,0.008833750125383344
63,-0.0022806841706851655
64,-0.0011247662203789366
65,-0.015581297919829207
66,-0.002020338902762986
67,-0.01948656844966279
68,-0.0013513092438589558
69,-0.005864069329760135
70,-0.01134177660526181
71,-0.005810562966368171
72,-0.011392166870880849
73,-0.01659983346886429
74,-0.02869958366414338
75,-0.007976899772552337
76,-0.03152714188626471
77,0.00015098653699252562
78,0.014558650291523256
79,0.0015017663214623722
80,-0.018562327364908926
81,-0.006613368187243229
82,-0.0038274646222417052
83,0.0031937290239928418
84,-0.01575677177971324
85,-0.002980922472360259
86,0.0016618103225977121
87,-0.003908202515870429
88,-0.02951059388438282
89,-0.0027318758412137045
90,-0.024585400156739046
91,-0.0015501209028115914
92,-0.013105803999521215
93,-0.006428368032746046
94,-0.011880249838076229
95,-0.0024091916102609856
96,-0.0011995515043407012
97,-0.01782707003689077
98,-0.00015645207267400707
99,-0.010430262455191186
100,-0.009220489579208624
101,0.001123641611859738
102,-0.009953036906951929
103,0.0033201742405774004
104,-0.002497579833161123
105,-0.014028760098598103
106,-0.0035232753117677706
107,0.006360859455490808
108,-0.005984844160112579
109,-0.012905818935477376
110,-0.0022738532847360604
111,-0.0037264964433615377
112,-0.0060839517848194635
113,0.0031422622245318443
114,-0.000588964578911888
115,-1.9820357436528546e-05
116,0.0017861064408676297
117,-0.01181793033671008
118,-0.0031868532627642443
119,-0.0091473588547758
120,-0.009817042667250697
121,-0.009482851261855996
122,0.00626747623200008
123,0.00046445023411367803
124,-0.004894392142203885
125,-0.001227722920503438
126,0.004412365795032347
127,-0.01398523639236815
