shuffle_id,alignment_mean,alignment_positive_fraction,path_length,endpoint_distance,detour_ratio,curvature_mean,model,state_type,init_seed
0.0,0.044168829917907715,0.5551697530864197,10.312783241271973,0.8901872634887695,11.584526062011719,2.256364583969116,qwen,trained_checkpoint,trained
1.0,0.040297821164131165,0.5258487654320986,9.042023658752441,0.8901872634887695,10.157032012939453,2.113945722579956,qwen,trained_checkpoint,trained
2.0,0.036317434161901474,0.517361111111111,10.689117431640625,0.8901872634887695,12.007904052734375,2.137667179107666,qwen,trained_checkpoint,trained
3.0,0.03875065967440605,0.5416666666666666,10.788907051086426,0.8901872634887695,12.119759559631348,2.186994791030884,qwen,trained_checkpoint,trained
4.0,0.0464460663497448,0.5516975308641974,10.006674766540527,0.8901872634887695,11.241470336914062,2.0133769512176514,qwen,trained_checkpoint,trained
5.0,0.042686451226472855,0.5000000000000001,8.81784439086914,0.8901872634887695,9.905095100402832,2.0719494819641113,qwen,trained_checkpoint,trained
6.0,0.034596797078847885,0.4872685185185186,10.592544555664062,0.8901872634887695,11.899447441101074,2.156102180480957,qwen,trained_checkpoint,trained
7.0,0.046210095286369324,0.5586419753086419,10.394556999206543,0.8901872634887695,11.677044868469238,2.135042190551758,qwen,trained_checkpoint,trained
8.0,0.05454277992248535,0.6361882716049384,9.703656196594238,0.8901872634887695,10.900225639343262,2.048832893371582,qwen,trained_checkpoint,trained
9.0,0.04634415730834007,0.5760030864197531,8.904353141784668,0.8901872634887695,10.00261402130127,2.0470874309539795,qwen,trained_checkpoint,trained
10.0,0.05120839551091194,0.5868055555555555,9.16323184967041,0.8901872634887695,10.294116973876953,2.029290199279785,qwen,trained_checkpoint,trained
11.0,0.040875356644392014,0.5516975308641974,10.631081581115723,0.8901872634887695,11.942444801330566,2.128812551498413,qwen,trained_checkpoint,trained
12.0,0.03993828222155571,0.5555555555555555,10.08249568939209,0.8901872634887695,11.32681941986084,2.1425931453704834,qwen,trained_checkpoint,trained
13.0,0.04212195798754692,0.503858024691358,9.157990455627441,0.8901872634887695,10.287562370300293,1.984532356262207,qwen,trained_checkpoint,trained
14.0,0.042667508125305176,0.5208333333333331,9.692330360412598,0.8901872634887695,10.887740135192871,2.1789751052856445,qwen,trained_checkpoint,trained
15.0,0.034683194011449814,0.4479166666666668,11.273112297058105,0.8901872634887695,12.663872718811035,2.1179330348968506,qwen,trained_checkpoint,trained
16.0,0.03930524364113808,0.5536265432098765,9.157868385314941,0.8901872634887695,10.286757469177246,1.9497195482254028,qwen,trained_checkpoint,trained
17.0,0.04453616216778755,0.5725308641975309,11.353302955627441,0.8901872634887695,12.753857612609863,2.2220242023468018,qwen,trained_checkpoint,trained
18.0,0.029675720259547234,0.43788580246913583,8.253467559814453,0.8901872634887695,9.272696495056152,1.982505440711975,qwen,trained_checkpoint,trained
19.0,0.05335113778710365,0.5852623456790123,9.301432609558105,0.8901872634887695,10.448904991149902,1.9831255674362183,qwen,trained_checkpoint,trained
20.0,0.04756234586238861,0.5555555555555555,11.119731903076172,0.8901872634887695,12.491679191589355,2.2707879543304443,qwen,trained_checkpoint,trained
