real_alignment_mean,shuffle_alignment_mean_mean,shuffle_alignment_mean_sd,shuffle_alignment_mean_q95,real_vs_shuffle_alignment_mean_z,real_exceeds_all_shuffles_alignment_mean,real_alignment_positive_fraction,shuffle_alignment_positive_fraction_mean,shuffle_alignment_positive_fraction_sd,shuffle_alignment_positive_fraction_q95,real_vs_shuffle_alignment_positive_fraction_z,real_exceeds_all_shuffles_alignment_positive_fraction,real_path_length,shuffle_path_length_mean,shuffle_path_length_sd,shuffle_path_length_q95,real_vs_shuffle_path_length_z,real_exceeds_all_shuffles_path_length,real_endpoint_distance,shuffle_endpoint_distance_mean,shuffle_endpoint_distance_sd,shuffle_endpoint_distance_q95,real_vs_shuffle_endpoint_distance_z,real_exceeds_all_shuffles_endpoint_distance,real_detour_ratio,shuffle_detour_ratio_mean,shuffle_detour_ratio_sd,shuffle_detour_ratio_q95,real_vs_shuffle_detour_ratio_z,real_exceeds_all_shuffles_detour_ratio,real_curvature_mean,shuffle_curvature_mean_mean,shuffle_curvature_mean_sd,shuffle_curvature_mean_q95,real_vs_shuffle_curvature_mean_z,real_exceeds_all_shuffles_curvature_mean,alignment_gain,detour_reduction_log2,curvature_reduction_log2,model,state_type,init_seed,n_prompts,n_layers,hidden_dim,n_shuffles
0.07420279830694199,0.04245730072259903,0.006359254918189893,0.05238690376281738,4.992015258507522,1.0,0.8121141975308642,0.542445987654321,0.051425737582028494,0.5940007716049384,5.243837474307474,1.0,3.111543655395508,9.933193082809447,0.8191213657934469,11.222958946228028,-8.328008171055467,0.0,0.8901872634887695,0.8901872634887695,0.0,0.8901872634887695,,0.0,3.4957399368286133,11.158571968078613,0.9201949025327337,12.607516622543335,-8.327401086616444,0.0,1.7146434783935547,2.100165386199951,0.07905308659866969,2.2403960704803465,-4.8767470619279285,0.0,0.031745497584342953,1.6744826426778419,0.29259431180182544,qwen,trained_checkpoint,trained,96,28,1536,50
0.12300214916467667,0.04617973476648331,0.013113566289302643,0.06260469369590281,5.858239681211742,1.0,1.0,0.5444444444444444,0.05460255936653513,0.6129629629629628,8.343117261180195,1.0,1.6347131729125977,8.52392822265625,0.9256704652775314,9.871185874938964,-7.4424055948227235,0.0,0.8299576640129089,0.8299576640129089,0.0,0.8299576640129089,,0.0,1.970712661743164,10.275284433364869,1.1158247019628529,11.89931206703186,-7.442541608025965,0.0,1.6004310846328735,2.0952813386917115,0.10114305990126149,2.2755254030227663,-4.8925774496235706,0.0,0.07682241439819336,2.382388984375433,0.3886834161731094,qwen,random_initialization,1701,96,28,1536,50
0.12368147820234299,0.04588421070948243,0.013260639066304683,0.06228101104497908,5.866781163703008,1.0,1.0,0.5444444444444444,0.05460255936653513,0.6129629629629628,8.343117261180195,1.0,1.6417361497879028,8.620262537002564,0.9393069850740071,9.987103080749511,-7.429441596950149,0.0,0.8348991274833679,0.8348991274833679,0.0,0.8348991274833679,,0.0,1.967315673828125,10.32869034767151,1.1254307769631873,11.966612815856934,-7.429488196871023,0.0,1.5984468460083008,2.0954900908470155,0.10158484132175757,2.277376091480255,-4.892887938510343,0.0,0.07779726749286056,2.3923569607014694,0.39061692904785567,qwen,random_initialization,1702,96,28,1536,50
0.12147247791290283,0.045807003863155844,0.012908563492666445,0.06169635094702242,5.861649446333336,1.0,1.0,0.5444444444444444,0.05460255936653513,0.6129629629629628,8.343117261180195,1.0,1.6718801259994507,8.576724004745483,0.9255536769360105,9.919905138015746,-7.4602306174225355,0.0,0.8310847878456116,0.8310847878456116,0.0,0.8310847878456116,,0.0,2.012681245803833,10.323842124938965,1.1139903313121424,11.940442657470703,-7.460711862144813,0.0,1.5996710062026978,2.0950569677352906,0.10094149018880043,2.274998998641968,-4.907654529431115,0.0,0.075665474049747,2.3587893729764553,0.3892142474609443,qwen,random_initialization,1703,96,28,1536,50
0.11140286922454834,0.0711337200552225,0.0073145554558458024,0.08080608956515789,5.505344707878683,1.0,0.9875000000000002,0.55925,0.07139817474922437,0.6646527777777778,5.998052492296414,1.0,4.401844501495361,9.719578800201417,0.7690565394310505,10.71669111251831,-6.914620741200804,0.0,0.9811456799507141,0.9811456799507141,0.0,0.9811456799507141,,0.0,4.48685884475708,9.907388591766358,0.7839264055921036,10.923789739608765,-6.914590079301034,0.0,1.7338758707046509,2.090319299697876,0.0746444902844902,2.2023556351661684,-4.775214187071589,0.0,0.040269149169325835,1.1427990412579936,0.2697227143850943,llama,trained_checkpoint,trained,96,16,2048,50
0.17969386279582977,0.07745460625737906,0.021984970324772566,0.10667681954801081,4.65041594453498,1.0,1.0,0.5586666666666666,0.07239348262468526,0.6666666666666666,6.09631305654087,1.0,1.365002989768982,4.670206289291382,0.5471748646042482,5.488948202133178,-6.040488175407937,0.0,0.7828288078308105,0.7828288078308105,0.0,0.7828288078308105,,0.0,1.7443748712539673,5.968207578659058,0.6992285660200426,7.014409685134887,-6.040703873765963,0.0,1.610770344734192,2.0829557275772093,0.10772059158512626,2.242343175411224,-4.38342730850928,0.0,0.10223925653845072,1.774587601651575,0.37088135903227293,llama,random_initialization,1701,96,16,2048,50
0.1808365136384964,0.0773034543171525,0.022321447925131823,0.10736209303140638,4.638277035997093,1.0,1.0,0.5586666666666666,0.07239348262468526,0.6666666666666666,6.09631305654087,1.0,1.3441740274429321,4.637420883178711,0.5492542149789729,5.468861293792725,-5.995851767586079,0.0,0.776902973651886,0.776902973651886,0.0,0.776902973651886,,0.0,1.7309589385986328,5.97131989479065,0.7071802335885227,7.0417451620101925,-5.996153108910702,0.0,1.6116868257522583,2.082543954849243,0.10834825891872886,2.243714642524719,-4.345774761827698,0.0,0.10353305932134389,1.7864783568219527,0.36977551148340765,llama,random_initialization,1702,96,16,2048,50
0.1797594577074051,0.07719097342342138,0.02203686952484312,0.1064083509147167,4.654403574353145,1.0,1.0,0.5586666666666666,0.07239348262468526,0.6666666666666666,6.09631305654087,1.0,1.358533263206482,4.668651475906372,0.5484641393155851,5.4908446073532104,-6.0352500289818485,0.0,0.7712612152099609,0.7712612152099609,0.0,0.7712612152099609,,0.0,1.7619107961654663,6.054752950668335,0.7112776520617052,7.121080422401428,-6.035395800865754,0.0,1.612383484840393,2.0829115176200865,0.10807792097571255,2.2424941062927246,-4.353599963173156,0.0,0.10256848428398371,1.7809272116339117,0.3694066435026,llama,random_initialization,1703,96,16,2048,50
0.09194064140319824,0.04207261055707932,0.007507246827107453,0.054839133098721494,6.642652359058388,1.0,0.9166666666666666,0.544825,0.05121760701302419,0.6373749999999999,7.260035920305893,1.0,3.9552738666534424,13.167620849609374,1.0244686959303184,14.573648023605346,-8.992316719438865,0.0,0.9694745540618896,0.9694745540618896,0.0,0.9694745540618896,,0.0,4.080033779144287,13.582683925628663,1.0567465028593162,15.032943105697631,-8.99236488672767,0.0,1.7056363821029663,2.0767919039726257,0.07637012776250046,2.182459819316864,-4.859956801747103,0.0,0.049868030846118926,1.735115581317516,0.2840465473876981,gemma,trained_checkpoint,trained,96,26,2304,50
0.13806794583797455,0.04999817842617631,0.016808112334250305,0.078048450499773,5.239717920752844,1.0,1.0,0.5488,0.05601166059356724,0.6399999999999999,8.055465508762632,1.0,1.3755213022232056,7.2984865951538085,0.7419431640941,8.397229194641113,-7.9830444966258876,0.0,0.7664313912391663,0.7664313912391663,0.0,0.7664313912391663,,0.0,1.7952574491500854,9.524434785842896,0.9681339668048833,10.958124256134033,-7.983582439733302,0.0,1.5962038040161133,2.075539081096649,0.09621980125375941,2.210078573226929,-4.9816697897389135,0.0,0.08806976741179824,2.4074427316705482,0.378841229968907,gemma,random_initialization,1701,96,26,2304,50
