model,trained_alignment_gain,random_alignment_gain_mean,random_alignment_gain_min,random_alignment_gain_max,all_random_alignment_gains_positive,trained_exceeds_random_range,trained_alignment_z,random_alignment_z_mean
qwen,0.031745497584342953,0.07676171864693364,0.075665474049747,0.07779726749286056,True,False,4.992015258507522,5.862223430416029
llama,0.040269149169325835,0.10278026671459277,0.10223925653845072,0.10353305932134389,True,False,5.505344707878683,4.647698851628406
gemma,0.049868030846118926,0.08791121761625013,0.08766185665503144,0.08806976741179824,True,False,6.642652359058388,5.166533584869884
