task,gamma,metric,null_index,value
relation_graph,0.0,future_alignment,114,-0.16452760994434357
relation_graph,0.0,future_alignment,115,-0.16428408026695251
relation_graph,0.0,future_alignment,116,-0.1650766134262085
relation_graph,0.0,future_alignment,117,-0.16396518051624298
relation_graph,0.0,future_alignment,118,-0.16438168287277222
relation_graph,0.0,future_alignment,119,-0.164665088057518
relation_graph,0.0,future_alignment,120,-0.16381387412548065
relation_graph,0.0,future_alignment,121,-0.16375601291656494
relation_graph,0.0,future_alignment,122,-0.16318507492542267
relation_graph,0.0,future_alignment,123,-0.16523054242134094
relation_graph,0.0,future_alignment,124,-0.16345712542533875
relation_graph,0.0,future_alignment,125,-0.16474658250808716
relation_graph,0.0,future_alignment,126,-0.16449064016342163
relation_graph,0.0,future_alignment,127,-0.16481122374534607
relation_graph,0.0,future_alignment,128,-0.162680521607399
relation_graph,0.0,future_alignment,129,-0.16495703160762787
relation_graph,0.0,future_alignment,130,-0.16448791325092316
relation_graph,0.0,future_alignment,131,-0.16446182131767273
relation_graph,0.0,future_alignment,132,-0.16412927210330963
relation_graph,0.0,future_alignment,133,-0.16400961577892303
relation_graph,0.0,future_alignment,134,-0.1641928106546402
relation_graph,0.0,future_alignment,135,-0.16415442526340485
relation_graph,0.0,future_alignment,136,-0.16421347856521606
relation_graph,0.0,future_alignment,137,-0.1636771708726883
relation_graph,0.0,future_alignment,138,-0.1642269492149353
relation_graph,0.0,future_alignment,139,-0.1635684072971344
relation_graph,0.0,future_alignment,140,-0.1632820963859558
relation_graph,0.0,future_alignment,141,-0.16513559222221375
relation_graph,0.0,future_alignment,142,-0.1645442098379135
relation_graph,0.0,future_alignment,143,-0.16542868316173553
relation_graph,0.0,future_alignment,144,-0.16393443942070007
relation_graph,0.0,future_alignment,145,-0.16417908668518066
relation_graph,0.0,future_alignment,146,-0.16368886828422546
relation_graph,0.0,future_alignment,147,-0.1642356514930725
relation_graph,0.0,future_alignment,148,-0.16461390256881714
relation_graph,0.0,future_alignment,149,-0.16336627304553986
relation_graph,0.0,future_alignment,150,-0.16381047666072845
relation_graph,0.0,future_alignment,151,-0.16381797194480896
relation_graph,0.0,future_alignment,152,-0.16427625715732574
relation_graph,0.0,future_alignment,153,-0.1642373502254486
relation_graph,0.0,future_alignment,154,-0.16384896636009216
relation_graph,0.0,future_alignment,155,-0.16450190544128418
relation_graph,0.0,future_alignment,156,-0.16402475535869598
relation_graph,0.0,future_alignment,157,-0.16376246511936188
relation_graph,0.0,future_alignment,158,-0.16378380358219147
relation_graph,0.0,future_alignment,159,-0.16416431963443756
relation_graph,0.0,future_alignment,160,-0.16474206745624542
relation_graph,0.0,future_alignment,161,-0.16502131521701813
relation_graph,0.0,future_alignment,162,-0.16404443979263306
relation_graph,0.0,future_alignment,163,-0.16486242413520813
relation_graph,0.0,future_alignment,164,-0.16457732021808624
relation_graph,0.0,future_alignment,165,-0.16320493817329407
relation_graph,0.0,future_alignment,166,-0.16367767751216888
relation_graph,0.0,future_alignment,167,-0.1638324111700058
relation_graph,0.0,future_alignment,168,-0.16334950923919678
relation_graph,0.0,future_alignment,169,-0.16441665589809418
relation_graph,0.0,future_alignment,170,-0.1645500212907791
relation_graph,0.0,future_alignment,171,-0.16506704688072205
relation_graph,0.0,future_alignment,172,-0.16263672709465027
relation_graph,0.0,future_alignment,173,-0.16360746324062347
relation_graph,0.0,future_alignment,174,-0.16452951729297638
relation_graph,0.0,future_alignment,175,-0.1647556871175766
relation_graph,0.0,future_alignment,176,-0.16458477079868317
