"model","mechanism","layer_from","layer_to","depth_mid","cosine_step_mean","cosine_step_sem","participation_fraction_mean","participation_fraction_sem","n_prompts","hidden_dim","tile_width"
"Gemma","Competition",17,18,0.7,0.119626249196466,0.000616256249610662,0.022125173385065,0.000834906258141892,32,2304,0.0392
"Gemma","Competition",18,19,0.74,0.078321947300797,0.000437140840142952,0.0313593040667768,0.000582300643092629,32,2304,0.0392
"Gemma","Competition",19,20,0.78,0.0667565843093828,0.00054564007076819,0.00847149297004248,0.000139733324568936,32,2304,0.0392
"Gemma","Competition",20,21,0.82,0.0677248534352608,0.000471049811390411,0.0050319150236415,7.17360870941485e-05,32,2304,0.0392
"Gemma","Competition",21,22,0.86,0.0646620507565383,0.000760211759192109,0.0106617248897221,0.000289368665025969,32,2304,0.0392
"Gemma","Competition",22,23,0.9,0.0784314187199866,0.000398829904408868,0.00522332449436769,8.22219437492658e-05,32,2304,0.0392
"Gemma","Competition",23,24,0.94,0.145119684978384,0.000619887337906758,0.00771525560439606,0.000146888165977587,32,2304,0.0392
"Gemma","Competition",24,25,0.98,0.356276541836373,0.00186936983212114,0.00129149902380075,6.54212314171415e-06,32,2304,0.0392
"Gemma","Closure",0,1,0.02,0.299943389701646,0.000406950601111792,0.00215384471119578,7.43611686439834e-06,24,2304,0.0392
"Gemma","Closure",1,2,0.06,0.359514105952991,0.000705637768907799,0.00157322927598187,2.44746621825251e-06,24,2304,0.0392
"Gemma","Closure",2,3,0.1,0.256101761791945,0.000591117225049433,0.00532933185734774,5.92804438825179e-05,24,2304,0.0392
"Gemma","Closure",3,4,0.14,0.27223359688462,0.000323355058886348,0.00785380491070721,5.74612567516705e-05,24,2304,0.0392
"Gemma","Closure",4,5,0.18,0.154991413393145,0.000785386825090165,0.168256254131488,0.0011764668756409,24,2304,0.0392
"Gemma","Closure",5,6,0.22,0.194421696223564,0.000989192592238093,0.00715158334073354,0.000117034637998015,24,2304,0.0392
"Gemma","Closure",6,7,0.26,0.15090214683569,0.000660759271993425,0.0438271411327997,0.00058813796965452,24,2304,0.0392
"Gemma","Closure",7,8,0.3,0.11934957518109,0.000658351049743324,0.0875540249462626,0.00132051114410095,24,2304,0.0392
"Gemma","Closure",8,9,0.34,0.154359528102197,0.000607941550681692,0.227596572762095,0.00469786327073631,24,2304,0.0392
"Gemma","Closure",9,10,0.38,0.124894631089837,0.000289976577205884,0.24507535880772,0.0018390101718187,24,2304,0.0392
"Gemma","Closure",10,11,0.42,0.116346721293832,0.000182346790368173,0.180548109102114,0.00258982293240146,24,2304,0.0392
"Gemma","Closure",11,12,0.46,0.11967327836189,0.000792838812502609,0.225174337908942,0.00051092647559277,24,2304,0.0392
"Gemma","Closure",12,13,0.5,0.144610286135549,0.000552988613419052,0.206905337244419,0.00405121529136821,24,2304,0.0392
"Gemma","Closure",13,14,0.54,0.136799240425833,0.000840041464954142,0.170718317524987,0.000861347972768499,24,2304,0.0392
"Gemma","Closure",14,15,0.58,0.16189625938875,0.00085334261953439,0.110103632498682,0.00226659116961388,24,2304,0.0392
"Gemma","Closure",15,16,0.62,0.143031522239676,0.000780725764992845,0.209480632372801,0.00346411983374382,24,2304,0.0392
"Gemma","Closure",16,17,0.66,0.135382854348306,0.000368357937681161,0.156413621905503,0.00286007739069097,24,2304,0.0392
"Gemma","Closure",17,18,0.7,0.12327113955705,0.000640085816439084,0.0259598048787526,0.00074577229724232,24,2304,0.0392
"Gemma","Closure",18,19,0.74,0.0798793621676068,0.00044889362721198,0.0323505494110108,0.00122984207734935,24,2304,0.0392
"Gemma","Closure",19,20,0.78,0.0623769777552111,0.000402361492479005,0.00852278920246693,0.000178418097244936,24,2304,0.0392
"Gemma","Closure",20,21,0.82,0.063412302506678,0.000401172175637063,0.00517078772062075,0.000124940226678523,24,2304,0.0392
"Gemma","Closure",21,22,0.86,0.0589526712350602,0.00076811616625508,0.0105813753013889,0.000270583457714214,24,2304,0.0392
"Gemma","Closure",22,23,0.9,0.0780192264876222,0.000758244096166292,0.00470885127435113,6.21164761559417e-05,24,2304,0.0392
"Gemma","Closure",23,24,0.94,0.141500505683433,0.00128644533275754,0.00720732198179727,0.00011549338655899,24,2304,0.0392
