"model_f","metric","value_real","n_shuffles","null_mean","null_sd","null_min","null_max","extreme_count","direction_favouring_real","raw_effect_favouring_real","null_standardized_effect","fold_effect_favouring_real","empirical_one_sided_p","inference_unit"
"Gemma","Chord alignment",0.0919406414031982,50,0.0410317747294903,0.0090405044150063,0.0246071871370077,0.0635118409991264,0,"higher",0.0509088666737079,5.63119758994912,2.24071812660637,0.0196078431372549,"checkpoint-level mean under one shared permutation across 96 prompts"
"Llama","Chord alignment",0.111402869224548,50,0.0695575654506683,0.00751584662756034,0.0544364638626575,0.0867283865809441,0,"higher",0.0418453037738797,5.56761012397917,1.6015924148978,0.0196078431372549,"checkpoint-level mean under one shared permutation across 96 prompts"
"Qwen","Chord alignment",0.074202798306942,50,0.0428449953719974,0.00613414155671035,0.0235545095056295,0.0570173412561417,0,"higher",0.0313578029349446,5.11201162298598,1.73188951621266,0.0196078431372549,"checkpoint-level mean under one shared permutation across 96 prompts"
"Gemma","Detour ratio",4.08003377914429,50,13.7690550041199,0.842525372051707,12.1243772506714,16.6516704559326,0,"lower",9.68902122497558,11.4999756047477,3.37474044320478,0.0196078431372549,"checkpoint-level mean under one shared permutation across 96 prompts"
"Llama","Detour ratio",4.48685884475708,50,9.70711662292481,0.82764048719728,8.22362899780273,11.256609916687,0,"lower",5.22025777816773,6.3073977879521,2.16345487094332,0.0196078431372549,"checkpoint-level mean under one shared permutation across 96 prompts"
"Qwen","Detour ratio",3.49573993682861,50,10.8826783752441,0.622459578146042,9.68939208984375,12.4714584350586,0,"lower",7.38693843841553,11.8673383746734,3.11312585372614,0.0196078431372549,"checkpoint-level mean under one shared permutation across 96 prompts"
"Gemma","Turning curvature",1.70563638210297,50,2.07189868688583,0.0570392131873665,1.90254878997803,2.21017479896545,0,"lower",0.366262304782864,6.42123697568792,1.21473645181705,0.0196078431372549,"checkpoint-level mean under one shared permutation across 96 prompts"
"Llama","Turning curvature",1.73387587070465,50,2.07336314916611,0.080905979920197,1.93282318115234,2.2880871295929,0,"lower",0.339487278461457,4.19607152396295,1.19579676042408,0.0196078431372549,"checkpoint-level mean under one shared permutation across 96 prompts"
"Qwen","Turning curvature",1.71464347839355,50,2.07111353158951,0.0591651344607494,1.94756090641022,2.23230028152466,0,"lower",0.356470053195958,6.02500199560001,1.20789747704866,0.0196078431372549,"checkpoint-level mean under one shared permutation across 96 prompts"
