"group_col","n_centroids","mean_matching_distance","median_matching_distance","pairwise_distance_corr"
"phase",3,0.149909350984769,0.141596289663721,0.875429996199734
"condition",8,0.204780747281129,0.133959932038219,0.996817436073332
"heuristic_operator",4,0.268513918300755,0.232048471025098,0.940506999136377
"operator_cluster",2,0.549459326295661,0.549459326295661,NA
"layer",19,0.494456890676246,0.475608928592546,0.875472412359418
