"element","x","y"
"retained layer-state dimensions",0.18,0.28
"retained layer-state dimensions",0.218823529411765,0.28
"retained layer-state dimensions",0.257647058823529,0.28
"retained layer-state dimensions",0.296470588235294,0.28
"retained layer-state dimensions",0.335294117647059,0.28
"retained layer-state dimensions",0.374117647058823,0.28
"retained layer-state dimensions",0.412941176470588,0.28
"retained layer-state dimensions",0.451764705882353,0.28
"retained layer-state dimensions",0.490588235294118,0.28
"retained layer-state dimensions",0.529411764705882,0.28
"retained layer-state dimensions",0.568235294117647,0.28
"retained layer-state dimensions",0.607058823529412,0.28
"retained layer-state dimensions",0.645882352941176,0.28
"retained layer-state dimensions",0.684705882352941,0.28
"retained layer-state dimensions",0.723529411764706,0.28
"retained layer-state dimensions",0.76235294117647,0.28
"retained layer-state dimensions",0.801176470588235,0.28
"retained layer-state dimensions",0.84,0.28
"retained layer-state dimensions",0.18,0.295151515151515
"retained layer-state dimensions",0.218823529411765,0.295151515151515
"retained layer-state dimensions",0.257647058823529,0.295151515151515
"retained layer-state dimensions",0.296470588235294,0.295151515151515
"retained layer-state dimensions",0.335294117647059,0.295151515151515
"retained layer-state dimensions",0.374117647058823,0.295151515151515
"retained layer-state dimensions",0.412941176470588,0.295151515151515
"retained layer-state dimensions",0.451764705882353,0.295151515151515
"retained layer-state dimensions",0.490588235294118,0.295151515151515
"retained layer-state dimensions",0.529411764705882,0.295151515151515
"retained layer-state dimensions",0.568235294117647,0.295151515151515
"retained layer-state dimensions",0.607058823529412,0.295151515151515
"retained layer-state dimensions",0.645882352941176,0.295151515151515
"retained layer-state dimensions",0.684705882352941,0.295151515151515
"retained layer-state dimensions",0.723529411764706,0.295151515151515
"retained layer-state dimensions",0.76235294117647,0.295151515151515
"retained layer-state dimensions",0.801176470588235,0.295151515151515
"retained layer-state dimensions",0.84,0.295151515151515
"retained layer-state dimensions",0.18,0.31030303030303
"retained layer-state dimensions",0.218823529411765,0.31030303030303
"retained layer-state dimensions",0.257647058823529,0.31030303030303
"retained layer-state dimensions",0.296470588235294,0.31030303030303
"retained layer-state dimensions",0.335294117647059,0.31030303030303
"retained layer-state dimensions",0.374117647058823,0.31030303030303
"retained layer-state dimensions",0.412941176470588,0.31030303030303
"retained layer-state dimensions",0.451764705882353,0.31030303030303
"retained layer-state dimensions",0.490588235294118,0.31030303030303
"retained layer-state dimensions",0.529411764705882,0.31030303030303
"retained layer-state dimensions",0.568235294117647,0.31030303030303
"retained layer-state dimensions",0.607058823529412,0.31030303030303
"retained layer-state dimensions",0.645882352941176,0.31030303030303
"retained layer-state dimensions",0.684705882352941,0.31030303030303
"retained layer-state dimensions",0.723529411764706,0.31030303030303
"retained layer-state dimensions",0.76235294117647,0.31030303030303
"retained layer-state dimensions",0.801176470588235,0.31030303030303
"retained layer-state dimensions",0.84,0.31030303030303
"retained layer-state dimensions",0.18,0.325454545454545
"retained layer-state dimensions",0.218823529411765,0.325454545454545
"retained layer-state dimensions",0.257647058823529,0.325454545454545
"retained layer-state dimensions",0.296470588235294,0.325454545454545
"retained layer-state dimensions",0.335294117647059,0.325454545454545
"retained layer-state dimensions",0.374117647058823,0.325454545454545
"retained layer-state dimensions",0.412941176470588,0.325454545454545
"retained layer-state dimensions",0.451764705882353,0.325454545454545
"retained layer-state dimensions",0.490588235294118,0.325454545454545
"retained layer-state dimensions",0.529411764705882,0.325454545454545
"retained layer-state dimensions",0.568235294117647,0.325454545454545
"retained layer-state dimensions",0.607058823529412,0.325454545454545
"retained layer-state dimensions",0.645882352941176,0.325454545454545
"retained layer-state dimensions",0.684705882352941,0.325454545454545
"retained layer-state dimensions",0.723529411764706,0.325454545454545
"retained layer-state dimensions",0.76235294117647,0.325454545454545
"retained layer-state dimensions",0.801176470588235,0.325454545454545
"retained layer-state dimensions",0.84,0.325454545454545
"retained layer-state dimensions",0.18,0.340606060606061
"retained layer-state dimensions",0.218823529411765,0.340606060606061
"retained layer-state dimensions",0.257647058823529,0.340606060606061
"retained layer-state dimensions",0.296470588235294,0.340606060606061
"retained layer-state dimensions",0.335294117647059,0.340606060606061
"retained layer-state dimensions",0.374117647058823,0.340606060606061
"retained layer-state dimensions",0.412941176470588,0.340606060606061
"retained layer-state dimensions",0.451764705882353,0.340606060606061
"retained layer-state dimensions",0.490588235294118,0.340606060606061
"retained layer-state dimensions",0.529411764705882,0.340606060606061
"retained layer-state dimensions",0.568235294117647,0.340606060606061
"retained layer-state dimensions",0.607058823529412,0.340606060606061
"retained layer-state dimensions",0.645882352941176,0.340606060606061
"retained layer-state dimensions",0.684705882352941,0.340606060606061
"retained layer-state dimensions",0.723529411764706,0.340606060606061
