"model","condition_label","graph_id","layer","R","R_z","R_z_clip"
"Qwen","Stable positive",2,20,1.29665422439575,1.39499777407473,1.39499777407473
"Qwen","Stable positive",2,21,0.483096212148666,0.79657284323497,0.79657284323497
"Qwen","Stable positive",2,22,1.06519031524658,1.22474098631117,1.22474098631117
"Qwen","Stable positive",2,23,2.04236960411072,1.9435200279451,1.9435200279451
"Qwen","Stable positive",2,24,2.45871543884277,2.24976951919746,2.24976951919746
"Qwen","Stable positive",2,25,1.91635119915009,1.85082527952167,1.85082527952167
"Qwen","Stable positive",2,26,2.37352681159973,2.18710773282349,2.18710773282349
"Qwen","Stable positive",2,27,2.81671404838562,2.51310082431813,2.5
"Qwen","Stable positive",3,0,-0.557374358177185,-0.679823079980271,-0.679823079980271
"Qwen","Stable positive",3,1,-0.247457534074783,-0.589030353736567,-0.589030353736567
"Qwen","Stable positive",3,2,-0.370350509881973,-0.62503287906591,-0.62503287906591
"Qwen","Stable positive",3,3,-0.00694921612739563,-0.518571430010905,-0.518571430010905
"Qwen","Stable positive",3,4,-0.125704169273376,-0.553361686984835,-0.553361686984835
"Qwen","Stable positive",3,5,-0.17178413271904,-0.566861197760215,-0.566861197760215
"Qwen","Stable positive",3,6,-0.379021942615509,-0.627573247826454,-0.627573247826454
"Qwen","Stable positive",3,7,-0.366778135299683,-0.623986322047171,-0.623986322047171
"Qwen","Stable positive",3,8,-0.51431804895401,-0.667209374003882,-0.667209374003882
"Qwen","Stable positive",3,9,-0.283784687519073,-0.599672697234482,-0.599672697234482
"Qwen","Stable positive",3,10,-0.425245642662048,-0.641114867441496,-0.641114867441496
"Qwen","Stable positive",3,11,-0.202244877815247,-0.57578492785686,-0.57578492785686
"Qwen","Stable positive",3,12,0.201357811689377,-0.457546143610323,-0.457546143610323
"Qwen","Stable positive",3,13,0.127183437347412,-0.479276147082812,-0.479276147082812
"Qwen","Stable positive",3,14,0.382279694080353,-0.404543564653874,-0.404543564653874
"Qwen","Stable positive",3,15,0.543731153011322,-0.357245009130724,-0.357245009130724
"Qwen","Stable positive",3,16,1.24083173274994,-0.153023562670552,-0.153023562670552
"Qwen","Stable positive",3,17,2.56930994987488,0.236165244479505,0.236165244479505
"Qwen","Stable positive",3,18,1.41342389583588,-0.102461244667149,-0.102461244667149
"Qwen","Stable positive",3,19,1.53341341018677,-0.0673093126604644,-0.0673093126604644
"Qwen","Stable positive",3,20,2.76475763320923,0.293423278338546,0.293423278338546
"Qwen","Stable positive",3,21,3.89015364646912,0.623117454973174,0.623117454973174
"Qwen","Stable positive",3,22,6.76596450805664,1.46561030459825,1.46561030459825
"Qwen","Stable positive",3,23,7.71853637695312,1.74467420237359,1.74467420237359
"Qwen","Stable positive",3,24,9.60632991790771,2.29771911261663,2.29771911261663
"Qwen","Stable positive",3,25,13.1535749435425,3.33691421751155,2.5
"Qwen","Stable positive",3,26,15.8343324661255,4.12226455974791,2.5
"Qwen","Stable positive",3,27,3.12089252471924,0.397755974068596,0.397755974068596
"Qwen","Stable positive",4,0,-0.123481035232544,-0.742911433797152,-0.742911433797152
"Qwen","Stable positive",4,1,0.303855925798416,-0.495738619732966,-0.495738619732966
"Qwen","Stable positive",4,2,0.276360094547272,-0.511642280321985,-0.511642280321985
"Qwen","Stable positive",4,3,0.0263855159282684,-0.656228229294678,-0.656228229294678
"Qwen","Stable positive",4,4,0.0142292380332947,-0.663259452169943,-0.663259452169943
"Qwen","Stable positive",4,5,0.596045255661011,-0.32673554841559,-0.32673554841559
"Qwen","Stable positive",4,6,0.969033896923065,-0.110997944412645,-0.110997944412645
"Qwen","Stable positive",4,7,1.03816556930542,-0.0710120045995149,-0.0710120045995149
"Qwen","Stable positive",4,8,0.7891566157341,-0.215039433523319,-0.215039433523319
"Qwen","Stable positive",4,9,0.97545450925827,-0.107284245473337,-0.107284245473337
"Qwen","Stable positive",4,10,1.54576826095581,0.222586717633857,0.222586717633857
"Qwen","Stable positive",4,11,1.82450413703918,0.383808276157512,0.383808276157512
"Qwen","Stable positive",4,12,1.92612600326538,0.442586628923875,0.442586628923875
"Qwen","Stable positive",4,13,1.07694625854492,-0.0485811526845505,-0.0485811526845505
"Qwen","Stable positive",4,14,1.42804527282715,0.154495433918059,0.154495433918059
"Qwen","Stable positive",4,15,1.30650782585144,0.0841978572453355,0.0841978572453355
"Qwen","Stable positive",4,16,1.44091391563416,0.161938690518473,0.161938690518473
"Qwen","Stable positive",4,17,1.51384282112122,0.204120959874182,0.204120959874182
"Qwen","Stable positive",4,18,1.72199010848999,0.324513894374035,0.324513894374035
"Qwen","Stable positive",4,19,1.37245869636536,0.122344012952486,0.122344012952486
