role,repo_id,revision,training_steps,training_tokens,candidate_pair_accuracy,candidate_margin_mean,candidate_coordinate_first_mean,candidate_coordinate_final_mean,candidate_coordinate_progress_mean,native_mean_prompt_spearman,shuffle_mean,shuffle_q95,shuffle_q99,real_minus_shuffle_mean,empirical_p_upper
near_initial,TinyLlama/TinyLlama-1.1B-step-50K-105b,ae666e2718bf72a193f12e082beb58acc284231d,50000,105B,0.890625,3.599609375,-0.00045837760587604496,0.04165631561001426,0.04211469321589031,0.5463721061547149,0.09183794466403163,0.24969032326369278,0.32392292490118574,0.45453416149068326,0.0196078431372549
intermediate_1,TinyLlama/TinyLlama-1.1B-intermediate-step-240k-503b,a016b960b941eb6eb7884e363b935370bafa5932,240000,503B,0.796875,2.6679248809814453,0.003828044134658328,0.03055456377842647,0.02672651964376814,0.2836497741389046,0.06242730095990965,0.16121188594014677,0.19305724167137206,0.22122247317899493,0.0196078431372549
intermediate_2,TinyLlama/TinyLlama-1.1B-intermediate-step-480k-1T,0e23ce8110cbb7e9afe5296bc9686e6dfdae47c2,480000,1T,0.9375,5.0396728515625,0.0011046610628717343,0.05850712283221256,0.05740246176934083,0.5822981366459627,0.1045920383963862,0.2796425042348954,0.36293531197063805,0.47770609824957655,0.0196078431372549
intermediate_3,TinyLlama/TinyLlama-1.1B-intermediate-step-715k-1.5T,19a81efa07bf28ec81dc4de327776fa00e34cf3f,715000,1.5T,0.9375,4.86407470703125,0.00015921498880145854,0.056493827685242325,0.05633461269644087,0.6458215697346132,0.10439299830604179,0.2733827992659513,0.393781055900621,0.5414285714285715,0.0196078431372549
intermediate_4,TinyLlama/TinyLlama-1.1B-intermediate-step-955k-token-2T,195255c4e3e1a56ac89ceb95899c58f742a730dc,955000,2T,0.953125,4.523040771484375,-0.0013106272345484134,0.0527735875976774,0.05408421483222581,0.6149244776962168,0.1001859824957651,0.2686547148503669,0.36897039102202134,0.5147384952004517,0.0196078431372549
intermediate_5,TinyLlama/TinyLlama-1.1B-intermediate-step-1195k-token-2.5T,706bc2851338c4a89bb212e96ff23f9cc1ebde1d,1195000,2.5T,0.921875,4.859954833984375,-0.0011318936436308983,0.05685460050390288,0.05798649414753379,0.5870271033314511,0.09610177865612649,0.27616018492377176,0.33895186335403726,0.4909253246753247,0.0196078431372549
final,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,59f6f375b26bde864a6ca194a9a3044570490064,1431000,3T,0.984375,5.326751708984375,-0.0006944348267215747,0.06256156024869822,0.06325599507541979,0.5813982213438735,0.09936723602484474,0.26826651609260294,0.34184412055335966,0.48203098531902877,0.0196078431372549
