model,reference,control,reference_only_flips,control_only_flips,paired_binomial_p,flip_rate_difference,graph_bootstrap_ci95_low,graph_bootstrap_ci95_high
qwen,policy_boundary_guarded,policy_gate_operator_only,0,0,1.0,0.0,0.0,0.0
qwen,policy_boundary_guarded,policy_gate_precursor_only,17,0,1.52587890625e-05,0.19540229885057472,0.10344827586206896,0.2988505747126437
qwen,policy_boundary_guarded,policy_gate_uniform_max,0,5,0.0625,-0.057471264367816105,-0.11494252873563221,-0.011494252873563204
