model,condition,layer,dimension_rank,hidden_dimension,z
qwen,clean,3,26,185,1.0751796389669581
qwen,clean,3,27,735,-0.387348279432723
qwen,clean,3,28,1360,-0.9828916424677706
qwen,clean,3,29,1229,0.8669086099491021
qwen,clean,3,30,580,0.7411844572168166
qwen,clean,3,31,1301,0.32286673170563307
qwen,clean,3,32,286,-0.8418033039182504
qwen,clean,4,1,609,-0.5729814052285177
qwen,clean,4,2,1421,0.6611422083156792
qwen,clean,4,3,553,-0.4881433343122878
qwen,clean,4,4,503,-0.17590685912313542
qwen,clean,4,5,1105,0.38740888588865985
qwen,clean,4,6,611,0.40137983229073043
qwen,clean,4,7,1272,-0.28631492966738986
qwen,clean,4,8,909,-0.07043121102523235
qwen,clean,4,9,1200,0.7005555740977601
qwen,clean,4,10,222,0.7117168897926829
qwen,clean,4,11,1395,-0.02519773855860286
qwen,clean,4,12,633,-0.44742629063246087
qwen,clean,4,13,589,-0.44806991339704744
qwen,clean,4,14,592,0.229560547565011
qwen,clean,4,15,1076,-0.47037080583714574
qwen,clean,4,16,526,-0.0736878250025272
qwen,clean,4,17,1423,0.9783811680680918
qwen,clean,4,18,713,-0.19336529884034442
qwen,clean,4,19,793,-0.8601359161183798
qwen,clean,4,20,518,0.017535103624023593
qwen,clean,4,21,354,0.7514975354291372
qwen,clean,4,22,1248,-0.12721590121171947
qwen,clean,4,23,1161,0.5218440649914886
qwen,clean,4,24,83,0.0523535748972504
qwen,clean,4,25,1361,0.7625162032171688
qwen,clean,4,26,185,0.8909340135893173
qwen,clean,4,27,735,-0.4126789501937346
qwen,clean,4,28,1360,-0.8124420938131656
qwen,clean,4,29,1229,0.9408973165112239
qwen,clean,4,30,580,0.966942965781145
qwen,clean,4,31,1301,0.35215028771071244
qwen,clean,4,32,286,-0.6645899629744062
qwen,clean,5,1,609,-0.5480123718709448
qwen,clean,5,2,1421,0.5712535833261886
qwen,clean,5,3,553,-0.46109583571103746
qwen,clean,5,4,503,-0.2060845889969667
qwen,clean,5,5,1105,0.40437057551299205
qwen,clean,5,6,611,0.3374663357397833
qwen,clean,5,7,1272,-0.28307224582109763
qwen,clean,5,8,909,-0.07017311098407854
qwen,clean,5,9,1200,0.7992174067082255
qwen,clean,5,10,222,0.6338390542091258
qwen,clean,5,11,1395,0.1257672622804081
qwen,clean,5,12,633,-0.4394121953198717
qwen,clean,5,13,589,-0.3961376694543592
qwen,clean,5,14,592,0.18165434243624748
qwen,clean,5,15,1076,-0.427207256049197
qwen,clean,5,16,526,-0.21686003274055649
qwen,clean,5,17,1423,0.9343020129446089
qwen,clean,5,18,713,-0.012235519614556115
qwen,clean,5,19,793,-0.8073101353674458
qwen,clean,5,20,518,-0.024237834996189037
qwen,clean,5,21,354,0.7603115522685157
qwen,clean,5,22,1248,-0.30667240596086276
qwen,clean,5,23,1161,0.4417680155418088
qwen,clean,5,24,83,0.3270838750559924
qwen,clean,5,25,1361,0.6225886578630468
qwen,clean,5,26,185,0.940348739872889
qwen,clean,5,27,735,-0.2803369839953952
qwen,clean,5,28,1360,-0.7547538278051064
qwen,clean,5,29,1229,0.8634839749197204
qwen,clean,5,30,580,0.9396156418010234
qwen,clean,5,31,1301,0.19924314431779575
qwen,clean,5,32,286,-0.45617016037554325
qwen,clean,6,1,609,-0.5023826776888137
qwen,clean,6,2,1421,0.4546290908341362
qwen,clean,6,3,553,-0.4288762975698235
qwen,clean,6,4,503,-0.18897557630931303
qwen,clean,6,5,1105,0.4361069953815791
qwen,clean,6,6,611,0.3172107743929529
qwen,clean,6,7,1272,-0.30643347838919904
qwen,clean,6,8,909,-0.07813866333021877
qwen,clean,6,9,1200,0.6632900729796347
qwen,clean,6,10,222,0.6898370176389623
qwen,clean,6,11,1395,-0.02836555816307133
qwen,clean,6,12,633,-0.4265050569131558
qwen,clean,6,13,589,-0.38619435750158015
qwen,clean,6,14,592,0.19143008893316413
qwen,clean,6,15,1076,-0.36744700317170936
qwen,clean,6,16,526,-0.24385413216983184
qwen,clean,6,17,1423,0.7978066289445843
qwen,clean,6,18,713,0.28812582929338487
qwen,clean,6,19,793,-0.8931882255852486
qwen,clean,6,20,518,-0.00394834861860025
qwen,clean,6,21,354,0.34000446543165413
qwen,clean,6,22,1248,-0.1122965910495761
qwen,clean,6,23,1161,0.4514605602213913
qwen,clean,6,24,83,0.28377718916252087
qwen,clean,6,25,1361,0.5231730675730002
qwen,clean,6,26,185,0.9754122185450483
qwen,clean,6,27,735,-0.5722687453804536
qwen,clean,6,28,1360,-0.506609812625076
qwen,clean,6,29,1229,0.5703974286326924
qwen,clean,6,30,580,1.4704389602645167
qwen,clean,6,31,1301,0.27341693217952245
qwen,clean,6,32,286,-0.46366243918063527
qwen,clean,7,1,609,-0.5139013328832195
qwen,clean,7,2,1421,0.46538162190363247
qwen,clean,7,3,553,-0.41856862158357205
qwen,clean,7,4,503,-0.1340588710799781
qwen,clean,7,5,1105,0.4543568823079398
qwen,clean,7,6,611,0.3702404293329333
qwen,clean,7,7,1272,-0.343577980099774
qwen,clean,7,8,909,-0.023242599053418484
qwen,clean,7,9,1200,0.7174890906708111
qwen,clean,7,10,222,0.6156540498625884
qwen,clean,7,11,1395,0.038102846510468316
qwen,clean,7,12,633,-0.36556067160696226
qwen,clean,7,13,589,-0.2945784087425432
qwen,clean,7,14,592,0.12456769010522369
qwen,clean,7,15,1076,-0.2722861745320251
qwen,clean,7,16,526,-0.14162254884154835
qwen,clean,7,17,1423,0.8011304032864348
qwen,clean,7,18,713,0.13886386666937528
qwen,clean,7,19,793,-0.9885468753630979
qwen,clean,7,20,518,-0.16737490556027337
qwen,clean,7,21,354,0.6504595020050719
qwen,clean,7,22,1248,-0.12671733479479919
qwen,clean,7,23,1161,0.5256369845352517
qwen,clean,7,24,83,0.22327862395409157
