graph_id,condition,mechanism,rel_center_dist,rel_jaccard_dist,rel_weighted_jaccard_dist,rel_composite_dist,spread,entropy,DeltaU,split
0,clean,stable,-1.1920928955078125e-07,0.0,0.0,-5.960464477539063e-08,0.6331972479820251,0.06622203439474106,12.39765453338623,discovery
0,rename,stable,0.06586819887161255,0.4796550835764284,0.4355474271226857,0.26173472711058476,0.5695894360542297,0.02628518082201481,18.293825149536133,discovery
0,permuted,stable,0.00032442808151245117,0.029257450631940962,0.020254011462385813,0.01254007956433792,0.6338646411895752,0.06783567368984222,-1.8956222534179688,discovery
0,redundant,stable,0.0069786906242370605,0.13851251236081108,0.11356409019635494,0.06650849595141003,0.6235936284065247,0.06829772889614105,3.87583065032959,discovery
0,irrelevant,stable,0.007358968257904053,0.10764837555751938,0.10885123716843126,0.05780438731043969,0.6229200959205627,0.06857170164585114,27.459941864013672,discovery
0,paraphrase,stable,0.09168165922164917,0.668386497102905,0.6018353856236993,0.36339630029247566,0.49345481395721436,0.08509513735771179,-22.135974884033203,discovery
0,weak_distractor,stable_shift,0.01469731330871582,0.14534559810175995,0.14485494403320265,0.07989879218809856,0.6212841868400574,0.06868934631347656,13.730175971984863,discovery
0,competition_balanced,competition,0.0028281211853027344,0.10071589964065109,0.07599367084505415,0.045591453214077676,0.6295552849769592,0.0661759302020073,16.721370697021484,discovery
0,direct_conflict,competition,0.002911865711212158,0.10071589964065109,0.09316216245490383,0.04992544837949481,0.6322367191314697,0.061918217688798904,-7.746752738952637,discovery
0,closure_update,closure,0.006884276866912842,0.12011471695156484,0.11358535417242,0.06186715621445263,0.6207802891731262,0.05096825957298279,-31.25619125366211,discovery
0,closure_override,closure,0.004258930683135986,0.165297541742344,0.1375704732184806,0.07784646908177414,0.6387948989868164,0.07171656936407089,-92.94217681884766,discovery
0,exception_override,closure,0.011116087436676025,0.1717447209117262,0.1430768026237309,0.08426342460220229,0.626904308795929,0.07095489650964737,-101.67961120605469,discovery
1,clean,stable,5.960464477539063e-08,0.0,0.0,2.9802322387695312e-08,0.6277973055839539,0.06917185336351395,12.39765453338623,discovery
1,rename,stable,0.06428396701812744,0.47347790538765555,0.43029228495490346,0.2580845310947035,0.5608373284339905,0.02549676038324833,20.694272994995117,discovery
1,permuted,stable,0.0003427267074584961,0.022910057996090916,0.018759840116634674,0.010588837881910645,0.6308820843696594,0.0704958513379097,15.092087745666504,discovery
1,redundant,stable,0.004356741905212402,0.10888789853191139,0.10178767346666939,0.054847263952251396,0.6195826530456543,0.06965768337249756,0.13239574432373047,discovery
1,irrelevant,stable,0.005007803440093994,0.09681129567799829,0.10363686894948199,0.052615942876917066,0.6230103373527527,0.07055222988128662,27.379756927490234,discovery
1,paraphrase,stable,0.0859937071800232,0.6582115876301724,0.5970332881973441,0.35680807254689073,0.4936635494232178,0.08072671294212341,-21.991878509521484,discovery
1,weak_distractor,stable_shift,0.011189818382263184,0.15187515730240353,0.13800698643929066,0.07806544512655514,0.6169418692588806,0.06742119044065475,26.140968322753906,discovery
1,competition_balanced,competition,0.0016202330589294434,0.08819092531184836,0.07557629877495664,0.04175192255116597,0.6267408132553101,0.06861350685358047,22.23223114013672,discovery
1,direct_conflict,competition,0.004194796085357666,0.10354747739577619,0.10147937177601263,0.05335411033562604,0.6217631697654724,0.06473783403635025,4.621622562408447,discovery
1,closure_update,closure,0.0071454644203186035,0.12642968791836084,0.11770652071981358,0.06460678436970291,0.6123126149177551,0.05362767353653908,-23.6788330078125,discovery
1,closure_override,closure,0.0027574896812438965,0.14479025615504604,0.12364228834253455,0.0684868809650171,0.638172447681427,0.06681104749441147,-75.78024291992188,discovery
1,exception_override,closure,0.004850506782531738,0.13387239831439102,0.12781255509706835,0.06784649174413071,0.6288777589797974,0.06675802171230316,-116.66594696044922,discovery
2,clean,stable,-1.1920928955078125e-07,0.0,0.0,-5.960464477539063e-08,0.6319946646690369,0.07027159631252289,12.39765453338623,discovery
2,rename,stable,0.07859021425247192,0.4791014446068761,0.4356756031486223,0.26798936906511056,0.5580610036849976,0.029260827228426933,43.97278594970703,discovery
2,permuted,stable,0.0005148053169250488,0.032309953684444004,0.020866684031744076,0.013551562087509544,0.6332456469535828,0.07305386662483215,36.968502044677734,discovery
2,redundant,stable,0.006537497043609619,0.12101705907826499,0.10541087621572942,0.05987573234530341,0.6229830980300903,0.0709281712770462,18.039569854736328,discovery
2,irrelevant,stable,0.0057721734046936035,0.11432168931387698,0.10026755115638564,0.05653339681991246,0.623735785484314,0.07190931588411331,37.405311584472656,discovery
2,paraphrase,stable,0.09633994102478027,0.666964050433885,0.602892569658122,0.3656341255353919,0.49461984634399414,0.05593067780137062,-40.18965530395508,discovery
