graph_id,condition,mechanism,rel_center_dist,rel_jaccard_dist,rel_weighted_jaccard_dist,rel_composite_dist,spread,entropy,DeltaU,split
0,clean,stable,0.0,0.0,0.0,0.0,0.6726162433624268,0.9999608993530273,0.02225882187485695,discovery
0,rename,stable,0.007371723651885986,0.6517448462479782,0.5685581392759047,0.30876160820691373,0.6889745593070984,0.9999599456787109,-0.24605736136436462,discovery
0,permuted,stable,8.106231689453125e-05,0.026242611214807088,0.023186234063654942,0.012397742478062773,0.6730812191963196,0.9999608993530273,-0.18200796842575073,discovery
0,redundant,stable,0.0008704662322998047,0.16894742173839827,0.1498815940072431,0.08014248705256025,0.6775328516960144,0.999963104724884,0.10095968842506409,discovery
0,irrelevant,stable,0.0004850625991821289,0.10425716231611126,0.10637721381454013,0.05290112533225391,0.6781088709831238,0.9999625086784363,0.12349213659763336,discovery
0,paraphrase,stable,0.01542675495147705,0.8070845220250082,0.7338416496617408,0.3929449203974258,0.6923753619194031,0.9999661445617676,-0.3729570508003235,discovery
0,weak_distractor,stable_shift,0.0013467073440551758,0.18718863942318542,0.17289144365485443,0.09069337444153755,0.6853267550468445,0.9999628067016602,0.27739059925079346,discovery
0,competition_balanced,competition,0.0004966259002685547,0.11271169106375911,0.10198659854492698,0.0539228853523058,0.6774085164070129,0.999962329864502,0.01698576658964157,discovery
0,direct_conflict,competition,0.0005168914794921875,0.11965312176786824,0.11005857227189553,0.057686369249687036,0.6769118905067444,0.9999628663063049,0.11148908734321594,discovery
0,closure_update,closure,0.0005248188972473145,0.13034526932943846,0.12187542558489106,0.06331758317720604,0.6753153204917908,0.999962568283081,-0.6429444551467896,discovery
0,closure_override,closure,0.001190781593322754,0.2520925127735184,0.21508507543012712,0.11738978784757276,0.6758647561073303,0.9999634623527527,-0.15338599681854248,discovery
0,exception_override,closure,0.0008265376091003418,0.19537372857981827,0.17281845539673435,0.09246131479868833,0.6754292845726013,0.999963104724884,-0.39273419976234436,discovery
1,clean,stable,0.0,0.0,0.0,0.0,0.6714668869972229,0.9999608993530273,0.02225882187485695,discovery
1,rename,stable,0.007451295852661133,0.6464256996105067,0.5628130675788154,0.3060353397236611,0.6895011067390442,0.9999596476554871,-0.2511752247810364,discovery
1,permuted,stable,7.998943328857422e-05,0.02625250930892198,0.020735913887909407,0.011787100515852134,0.6707974076271057,0.9999608993530273,-0.08431237936019897,discovery
1,redundant,stable,0.0007860660552978516,0.1702524887113689,0.14584936829163697,0.07941849727840039,0.6768763661384583,0.9999632239341736,0.06482117623090744,discovery
1,irrelevant,stable,0.00045102834701538086,0.10553465659438677,0.09896401696744561,0.051350182563965785,0.6765082478523254,0.999962329864502,0.2138841599225998,discovery
