"model_key","prompt_id","graph_id","condition","mechanism","real_align_mean","shuffle_align_mean","real_detour_ratio","shuffle_detour_ratio","real_curvature_sum","shuffle_curvature_sum","real_residual_ratio_mean","shuffle_residual_ratio_mean"
"qwen","g000_clean","0","clean","stable","0.288534551858902","0.11089503020048141","2.2957942485809326","5.288861274719238","8.811216354370117","11.592677116394043","0.8988688588142395","0.7274491786956787"
"qwen","g000_rename","0","rename","stable","0.24778632819652557","0.1757746785879135","1.8252557516098022","2.8601479530334473","9.30467414855957","9.575983047485352","0.9175875186920166","0.8049357533454895"
"qwen","g000_permuted","0","permuted","stable","0.2828848659992218","0.15007071197032928","1.9515845775604248","4.343005180358887","8.923944473266602","11.601200103759766","0.8959894776344299","0.72633296251297"
"qwen","g000_redundant","0","redundant","stable","0.2580157518386841","0.13494454324245453","2.8616604804992676","5.693944931030273","8.915772438049316","11.616704940795898","0.9277636408805847","0.7858977317810059"
"qwen","g000_irrelevant","0","irrelevant","stable","0.2456710934638977","0.12864495813846588","2.4304006099700928","4.939114093780518","9.064623832702637","11.473992347717285","0.8728817105293274","0.74648118019104"
"qwen","g000_paraphrase","0","paraphrase","stable","0.24976897239685059","0.24569199979305267","1.7370144128799438","1.8301870822906494","9.664680480957031","10.048383712768555","0.8613013625144958","0.866450309753418"
"qwen","g000_weak_distractor","0","weak_distractor","stable_shift","0.2632550299167633","0.11195973306894302","2.76094651222229","5.626518726348877","8.759308815002441","11.536185264587402","0.9139233231544495","0.777811586856842"
"qwen","g000_competition_balanced","0","competition_balanced","competition","0.29229065775871277","0.13810031116008759","2.1126461029052734","5.262241840362549","8.550134658813477","11.494492530822754","0.8987509608268738","0.7109983563423157"
"qwen","g000_direct_conflict","0","direct_conflict","competition","0.2832688093185425","0.14916455745697021","1.988322138786316","4.684896945953369","8.645108222961426","11.521588325500488","0.8946875929832458","0.7198173403739929"
"qwen","g000_closure_update","0","closure_update","closure","0.2860901355743408","0.145441934466362","2.723743200302124","5.849667549133301","8.671680450439453","11.528858184814453","0.9230160713195801","0.7792689800262451"
"qwen","g000_closure_override","0","closure_override","closure","0.2892645299434662","0.13606391847133636","2.723378896713257","5.082765102386475","8.650274276733398","11.22622299194336","0.9386206269264221","0.827015221118927"
"qwen","g000_exception_override","0","exception_override","closure","0.29870158433914185","0.13031767308712006","2.5562491416931152","5.049006938934326","8.549839973449707","11.393450736999512","0.9282045364379883","0.8181667923927307"
"qwen","g001_clean","1","clean","stable","0.26909977197647095","0.13450586795806885","2.7147879600524902","5.428674221038818","9.056619644165039","11.465133666992188","0.9247931838035583","0.777123212814331"
"qwen","g001_rename","1","rename","stable","0.2795671820640564","0.1793593168258667","1.503711223602295","2.4532740116119385","9.512693405151367","9.521037101745605","0.8976470828056335","0.7904391884803772"
"qwen","g001_permuted","1","permuted","stable","0.2587388753890991","0.1563783437013626","2.757235527038574","5.144454002380371","9.267265319824219","11.247980117797852","0.9283728003501892","0.7840955853462219"
"qwen","g001_redundant","1","redundant","stable","0.26662009954452515","0.13298583030700684","2.86665415763855","5.582831859588623","8.903911590576172","11.537290573120117","0.947437047958374","0.8071391582489014"
"qwen","g001_irrelevant","1","irrelevant","stable","0.2525242567062378","0.14817918837070465","2.778272867202759","5.375214576721191","9.17257308959961","11.394266128540039","0.9117657542228699","0.7669181823730469"
"qwen","g001_paraphrase","1","paraphrase","stable","0.303718239068985","0.24659240245819092","1.6370372772216797","1.9631017446517944","9.933289527893066","10.051756858825684","0.8412558436393738","0.8080089688301086"
"qwen","g001_weak_distractor","1","weak_distractor","stable_shift","0.26070013642311096","0.1178775206208229","3.106935977935791","5.2256622314453125","9.129365921020508","11.229300498962402","0.9439261555671692","0.8350539207458496"
"qwen","g001_competition_balanced","1","competition_balanced","competition","0.26475170254707336","0.13599936664104462","2.6558637619018555","5.189269065856934","8.976592063903809","11.285770416259766","0.9394932389259338","0.794097900390625"
"qwen","g001_direct_conflict","1","direct_conflict","competition","0.2711178958415985","0.13646827638149261","2.4126617908477783","5.084356307983398","8.909778594970703","11.508331298828125","0.929955244064331","0.7680209279060364"
"qwen","g001_closure_update","1","closure_update","closure","0.26435020565986633","0.1358918398618698","2.931849479675293","4.930806636810303","9.07660961151123","10.988724708557129","0.9557169079780579","0.8410598635673523"
"qwen","g001_closure_override","1","closure_override","closure","0.2918810546398163","0.13608460128307343","2.599170684814453","4.410665512084961","9.39786148071289","10.764126777648926","0.9349813461303711","0.8143420219421387"
"qwen","g001_exception_override","1","exception_override","closure","0.29334500432014465","0.1316462904214859","2.747670888900757","4.792254447937012","9.032943725585938","11.125479698181152","0.9328193664550781","0.8286165595054626"
"qwen","g002_clean","2","clean","stable","0.2761165201663971","0.1415003538131714","2.116684675216675","4.706760406494141","8.765996932983398","11.558046340942383","0.9247947335243225","0.7562997341156006"
"qwen","g002_rename","2","rename","stable","0.3548829257488251","0.15517692267894745","1.2103781700134277","2.351665496826172","8.654672622680664","10.107004165649414","0.8914198875427246","0.7769534587860107"
"qwen","g002_permuted","2","permuted","stable","0.2578881084918976","0.14351341128349304","2.340212106704712","4.337998867034912","8.856977462768555","11.055442810058594","0.9445332884788513","0.7866907715797424"
"qwen","g002_redundant","2","redundant","stable","0.25037285685539246","0.14311683177947998","2.758824110031128","5.401887893676758","8.992219924926758","11.744712829589844","0.9552972316741943","0.8066942691802979"
"qwen","g002_irrelevant","2","irrelevant","stable","0.2822510302066803","0.13412369787693024","2.155383825302124","4.182055950164795","8.901535987854004","11.195388793945312","0.9234004616737366","0.7711493372917175"
"qwen","g002_paraphrase","2","paraphrase","stable","0.26495561003685","0.18507911264896393","2.012599468231201","2.6045544147491455","9.483128547668457","10.156865119934082","0.9317657351493835","0.8710535168647766"
"qwen","g002_weak_distractor","2","weak_distractor","stable_shift","0.27214428782463074","0.13196589052677155","2.414292335510254","4.912557125091553","8.866205215454102","11.494991302490234","0.933352530002594","0.7916285991668701"
"qwen","g002_competition_balanced","2","competition_balanced","competition","0.28299614787101746","0.13230179250240326","2.216008424758911","4.581362247467041","8.867679595947266","11.028837203979492","0.9346197247505188","0.7723332047462463"
"qwen","g002_direct_conflict","2","direct_conflict","competition","0.25563040375709534","0.13383132219314575","2.642871856689453","5.0852508544921875","9.021875381469727","11.497540473937988","0.9274281859397888","0.770836353302002"
"qwen","g002_closure_update","2","closure_update","closure","0.27671223878860474","0.1566995531320572","2.4566612243652344","5.578102111816406","8.462686538696289","11.520038604736328","0.9417265057563782","0.7922854423522949"
"qwen","g002_closure_override","2","closure_override","closure","0.29588380455970764","0.1482207030057907","2.293790340423584","4.62228536605835","8.523595809936523","11.093944549560547","0.9358455538749695","0.8020367622375488"
"qwen","g002_exception_override","2","exception_override","closure","0.28476449847221375","0.12426844239234924","2.699711561203003","4.68227481842041","9.022200584411621","10.95508861541748","0.9411275386810303","0.8262741565704346"
"qwen","g003_clean","3","clean","stable","0.2729005813598633","0.12023953348398209","2.131075382232666","4.535800457000732","8.877866744995117","11.30310344696045","0.9332327246665955","0.76846843957901"
