"model_key","prompt_id","graph_id","condition","mechanism","real_align_mean","shuffle_align_mean","real_detour_ratio","shuffle_detour_ratio","real_curvature_sum","shuffle_curvature_sum","real_residual_ratio_mean","shuffle_residual_ratio_mean"
"gemma","g000_clean","0","clean","stable","0.6349869966506958","-0.04176722839474678","0.5131888389587402","1.6835923194885254","3.3073363304138184","6.498339653015137","0.7113130688667297","0.502528965473175"
"gemma","g000_rename","0","rename","stable","0.6156850457191467","-0.03358030319213867","0.5370252132415771","1.9916014671325684","3.528872013092041","6.72031307220459","0.7146843075752258","0.45924440026283264"
"gemma","g000_permuted","0","permuted","stable","0.6359817385673523","-0.04273869842290878","0.506872832775116","1.678976058959961","3.297238826751709","6.466879367828369","0.7100509405136108","0.5010418891906738"
"gemma","g000_redundant","0","redundant","stable","0.6040598154067993","-0.02441614866256714","0.5332258343696594","1.8016331195831299","3.395724058151245","6.475410461425781","0.7277576327323914","0.5017703771591187"
"gemma","g000_irrelevant","0","irrelevant","stable","0.6181544065475464","-0.03552239015698433","0.519167959690094","1.80117666721344","3.3525447845458984","6.522579669952393","0.7162958979606628","0.4891536831855774"
"gemma","g000_paraphrase","0","paraphrase","stable","0.7822361588478088","-0.10890953242778778","0.36157912015914917","1.6753822565078735","3.2937872409820557","6.864556312561035","0.5991959571838379","0.39634114503860474"
"gemma","g000_weak_distractor","0","weak_distractor","stable_shift","0.5721902251243591","-0.030070805922150612","0.579111635684967","2.2136306762695312","3.5672194957733154","6.515580177307129","0.740524172782898","0.45324110984802246"
"gemma","g000_competition_balanced","0","competition_balanced","competition","0.5770001411437988","-0.03927955776453018","0.5788949728012085","2.2167367935180664","3.5415797233581543","6.4700798988342285","0.7389543652534485","0.4514055848121643"
"gemma","g000_direct_conflict","0","direct_conflict","competition","0.5958367586135864","-0.040121305733919144","0.5624096393585205","2.0528180599212646","3.4327757358551025","6.388325214385986","0.7385492324829102","0.47816354036331177"
"gemma","g000_closure_update","0","closure_update","closure","0.5584931373596191","-0.026487041264772415","0.5960206389427185","2.211606740951538","3.588442087173462","6.442268371582031","0.7525730133056641","0.4694790244102478"
"gemma","g000_closure_override","0","closure_override","closure","0.5490223169326782","-0.024504637345671654","0.613710880279541","2.2410671710968018","3.639580249786377","6.4188337326049805","0.7591284513473511","0.4745327830314636"
"gemma","g000_exception_override","0","exception_override","closure","0.5323815941810608","-0.028103232383728027","0.628533124923706","2.349398612976074","3.709684133529663","6.416085243225098","0.7649637460708618","0.46549510955810547"
"gemma","g001_clean","1","clean","stable","0.6155658960342407","-0.02956000529229641","0.5448297262191772","1.586322546005249","3.4196231365203857","6.479928970336914","0.7293789982795715","0.539799690246582"
"gemma","g001_rename","1","rename","stable","0.5897186398506165","-0.01735583506524563","0.5601078271865845","1.9206836223602295","3.5420315265655518","6.63255500793457","0.7388303875923157","0.4981655180454254"
"gemma","g001_permuted","1","permuted","stable","0.6232375502586365","-0.038488052785396576","0.5379034280776978","1.7290531396865845","3.2994492053985596","6.416958808898926","0.7257410883903503","0.5137465000152588"
"gemma","g001_redundant","1","redundant","stable","0.6059468388557434","-0.020842647179961205","0.5567532181739807","1.5889554023742676","3.4063222408294678","6.45160436630249","0.7364142537117004","0.5473098158836365"
"gemma","g001_irrelevant","1","irrelevant","stable","0.5941940546035767","-0.022251486778259277","0.5648203492164612","1.839307427406311","3.465942144393921","6.503112316131592","0.7411915063858032","0.5148219466209412"
"gemma","g001_paraphrase","1","paraphrase","stable","0.7577179670333862","-0.10026295483112335","0.40269434452056885","1.5617249011993408","3.0669851303100586","6.601083755493164","0.6261628866195679","0.4402049481868744"
"gemma","g001_weak_distractor","1","weak_distractor","stable_shift","0.5778424143791199","-0.022634947672486305","0.5698679685592651","1.9948995113372803","3.532393455505371","6.463186264038086","0.7439249157905579","0.49171313643455505"
"gemma","g001_competition_balanced","1","competition_balanced","competition","0.5798923969268799","-0.028235960751771927","0.574917733669281","2.0497348308563232","3.4650473594665527","6.405178070068359","0.7425273656845093","0.4821498990058899"
"gemma","g001_direct_conflict","1","direct_conflict","competition","0.5856907963752747","-0.026979660615324974","0.5732982158660889","1.9723036289215088","3.449090003967285","6.422695159912109","0.7450823187828064","0.4991537928581238"
"gemma","g001_closure_update","1","closure_update","closure","0.5808402895927429","-0.018782664090394974","0.5609737634658813","1.8710442781448364","3.408249855041504","6.379648208618164","0.7437080144882202","0.510278582572937"
"gemma","g001_closure_override","1","closure_override","closure","0.587105929851532","-0.027791297063231468","0.5453968048095703","1.8282039165496826","3.3026375770568848","6.308968544006348","0.7369886636734009","0.5078983902931213"
"gemma","g001_exception_override","1","exception_override","closure","0.5926041603088379","-0.03074362315237522","0.541312575340271","1.8332124948501587","3.365640878677368","6.310260772705078","0.7366148233413696","0.5064824223518372"
"gemma","g002_clean","2","clean","stable","0.6687065362930298","-0.042653538286685944","0.5324745774269104","1.3524106740951538","3.5171220302581787","6.774290084838867","0.6927770972251892","0.5429143309593201"
"gemma","g002_rename","2","rename","stable","0.6177727580070496","-0.018356895074248314","0.5302183628082275","1.6711905002593994","3.583205223083496","6.731285572052002","0.7196862697601318","0.514793336391449"
"gemma","g002_permuted","2","permuted","stable","0.6704055070877075","-0.03967239707708359","0.5349105000495911","1.3014827966690063","3.825120449066162","7.038019180297852","0.6921206712722778","0.5516672134399414"
"gemma","g002_redundant","2","redundant","stable","0.6179091334342957","-0.01694316789507866","0.5794368982315063","1.3512310981750488","3.6000678539276123","6.7185821533203125","0.7241268157958984","0.57652348279953"
"gemma","g002_irrelevant","2","irrelevant","stable","0.6405817866325378","-0.030485689640045166","0.5344066619873047","1.4743751287460327","3.606595516204834","6.750997543334961","0.7105618715286255","0.5397277474403381"
"gemma","g002_paraphrase","2","paraphrase","stable","0.8063697814941406","-0.11340799182653427","0.38030990958213806","1.3735166788101196","2.897890090942383","6.6601762771606445","0.5580382347106934","0.4039493203163147"
"gemma","g002_weak_distractor","2","weak_distractor","stable_shift","0.6269944906234741","-0.02533252164721489","0.5444485545158386","1.524163842201233","3.552152395248413","6.707528114318848","0.7202427983283997","0.5416300296783447"
"gemma","g002_competition_balanced","2","competition_balanced","competition","0.6112870573997498","-0.014379930682480335","0.5761295557022095","1.3682971000671387","3.526489019393921","6.611684799194336","0.7275187373161316","0.5759166479110718"
"gemma","g002_direct_conflict","2","direct_conflict","competition","0.6389257907867432","-0.02205939218401909","0.5492382645606995","1.3658874034881592","3.6499927043914795","6.76531982421875","0.711509108543396","0.5599848031997681"
"gemma","g002_closure_update","2","closure_update","closure","0.6178542971611023","-0.015126049518585205","0.5671142339706421","1.3924715518951416","3.560497760772705","6.653271675109863","0.724079966545105","0.5689710378646851"
"gemma","g002_closure_override","2","closure_override","closure","0.5639601945877075","0.0050810216926038265","0.6456760168075562","1.3254257440567017","3.577202558517456","6.488927841186523","0.7570668458938599","0.6201087236404419"
