model_key,num_layers,decision_layers,deltaU_pc1_variance,best_deltaU_window,best_deltaU_k,best_deltaU_corr,best_deltaU_r2,best_mechanism_window,best_mechanism_k,best_mechanism_f1,best_bias_window,best_bias_k,bias_real_align_mean,bias_shuffle_align_mean,bias_reverse_align_mean,bias_real_proj_pos_mean,bias_shuffle_proj_pos_mean,bias_real_detour_mean,bias_shuffle_detour_mean,bias_real_curvature_mean,bias_shuffle_curvature_mean,pass_alignment_gt_shuffle,pass_projection_gt_shuffle,pass_alignment_gt_reverse,pass_deltaU_corr_gt_0p3,pass_mechanism_f1_gt_0p6
qwen,28,"[19, 20, 21, 22, 23, 24, 25]",0.9184834957122803,cm4d_downstream,100,0.7784589934970145,0.6048695532854063,cm4d_downstream,100,0.8930025348058135,cm4d_topology,500,0.05547907679014046,0.02154822019011354,0.055479076436582814,0.17164170573017112,0.22353231960355682,3.876893507661643,15.695381122606772,47.093830585479736,49.113281064563324,True,False,True,True,True
llama,16,"[11, 12, 13, 14]",0.8323270678520203,predecision,500,0.4538933613271564,0.20600391143585284,predecision,500,0.8878425769681376,decision,500,0.4655993913334829,0.343210080569541,0.4655993890569166,0.8119883472444834,0.7903685431789469,0.956201680832439,1.0391116633459374,3.111285513749829,4.238089691157694,True,True,True,True,True
gemma,26,"[18, 19, 20, 21, 22, 23]",0.966821551322937,early_half,100,0.7948917066168117,0.6293682352775152,early_half,100,0.8189204958174444,early_half,500,0.16482769777239473,0.15995540797572444,0.1648276976171743,0.5089899075941907,0.5057533599988178,1.044840091632472,5.654686150727449,19.36479609542423,25.905059417088825,True,True,True,True,True
