prompt_id,graph_id,chord_alignment,detour_ratio,turning_curvature
ng09_competition_balanced,9,0.08551208,3.3109674,1.6099865
ng09_direct_conflict,9,0.08722726,3.2341976,1.6078978
ng09_closure_update,9,0.08821788,3.1414623,1.6131532
ng09_closure_override,9,0.08881014,3.1756928,1.6144323
ng09_exception_override,9,0.08562837,3.3085628,1.6120026
ng10_clean,10,0.08477286,3.2816718,1.6171803
ng10_permuted,10,0.08788835,3.1945546,1.6152377
ng10_redundant,10,0.09134755,2.9853733,1.6065949
ng10_irrelevant,10,0.08800824,3.1456752,1.6139631
ng10_weak_distractor,10,0.087255515,3.2540653,1.6133659
ng10_competition_balanced,10,0.08647249,3.2104964,1.6052895
ng10_direct_conflict,10,0.08757522,3.145912,1.6059554
ng10_closure_update,10,0.09071504,3.0309746,1.6123974
ng10_closure_override,10,0.0883692,3.150783,1.6083968
ng10_exception_override,10,0.08695094,3.2373884,1.608265
ng11_clean,11,0.082056075,3.3361502,1.6181446
ng11_permuted,11,0.08327939,3.3041706,1.6184903
ng11_redundant,11,0.08860938,3.0440183,1.6114511
ng11_irrelevant,11,0.085838646,3.1990547,1.6108941
ng11_weak_distractor,11,0.08541079,3.2439666,1.6109258
ng11_competition_balanced,11,0.08465689,3.182132,1.6133964
ng11_direct_conflict,11,0.08695554,3.0981781,1.6115196
ng11_closure_update,11,0.08444571,3.1637332,1.6143427
ng11_closure_override,11,0.08491234,3.1547337,1.6158235
ng11_exception_override,11,0.084238,3.2054477,1.6130158
ng12_clean,12,0.0837019,3.3887315,1.612799
ng12_permuted,12,0.08461898,3.4442954,1.6121806
ng12_redundant,12,0.08927262,3.124313,1.6042253
ng12_irrelevant,12,0.08746929,3.2317185,1.610555
ng12_weak_distractor,12,0.08697787,3.290831,1.6102824
ng12_competition_balanced,12,0.08580827,3.3527844,1.6090066
ng12_direct_conflict,12,0.086053886,3.3728714,1.6058104
ng12_closure_update,12,0.08711335,3.2643647,1.6080352
ng12_closure_override,12,0.08693533,3.279841,1.6122445
ng12_exception_override,12,0.08684164,3.261932,1.6082157
ng13_clean,13,0.08425929,3.2402723,1.6144601
ng13_permuted,13,0.0859411,3.254806,1.6150934
ng13_redundant,13,0.08813538,3.045789,1.6081818
ng13_irrelevant,13,0.08478001,3.2166271,1.6142744
ng13_weak_distractor,13,0.08615727,3.3060865,1.6105062
ng13_competition_balanced,13,0.08758285,3.1377652,1.6108767
ng13_direct_conflict,13,0.087975666,3.131931,1.6118994
ng13_closure_update,13,0.08794092,3.1044638,1.6115541
ng13_closure_override,13,0.08959363,3.0548491,1.6134574
ng13_exception_override,13,0.086555704,3.1963649,1.6140676
ng14_clean,14,0.082424544,3.227519,1.6171696
ng14_permuted,14,0.083352745,3.228638,1.6161579
ng14_redundant,14,0.0898391,2.9422626,1.6076367
ng14_irrelevant,14,0.08547325,3.177165,1.6080357
ng14_weak_distractor,14,0.08513678,3.2554612,1.6071312
ng14_competition_balanced,14,0.08606894,3.1410198,1.6090125
ng14_direct_conflict,14,0.08749364,3.0570977,1.607115
ng14_closure_update,14,0.08867208,2.923046,1.6120194
ng14_closure_override,14,0.08622921,3.12324,1.6142715
ng14_exception_override,14,0.085413404,3.1626666,1.6123455
ng15_clean,15,0.08374699,3.3773558,1.6148201
ng15_permuted,15,0.08530898,3.3428116,1.614765
ng15_redundant,15,0.08963644,3.0833812,1.6058282
ng15_irrelevant,15,0.08613297,3.2797575,1.6103718
ng15_weak_distractor,15,0.087130144,3.3373327,1.6103133
ng15_competition_balanced,15,0.08559303,3.3147755,1.6072675
ng15_direct_conflict,15,0.08648805,3.261614,1.6057111
ng15_closure_update,15,0.090310104,3.0917165,1.6115822
ng15_closure_override,15,0.08790799,3.241724,1.6134537
ng15_exception_override,15,0.084801935,3.2862911,1.6110703
ng16_clean,16,0.08551937,3.2219322,1.6189842
ng16_permuted,16,0.08845391,3.1240268,1.6141365
ng16_redundant,16,0.09019599,2.9871945,1.6086167
ng16_irrelevant,16,0.08877494,3.0980117,1.6141104
ng16_weak_distractor,16,0.088580474,3.1537542,1.6135161
ng16_competition_balanced,16,0.086213924,3.2023315,1.6044794
ng16_direct_conflict,16,0.08824722,3.1097302,1.6055998
ng16_closure_update,16,0.08927842,3.0316665,1.6122555
ng16_closure_override,16,0.088365644,3.1500506,1.60851
ng16_exception_override,16,0.087169796,3.2199786,1.6079173
ng17_clean,17,0.08183061,3.4074821,1.6184086
ng17_permuted,17,0.08206387,3.3946733,1.6175015
ng17_redundant,17,0.09032432,3.0700617,1.6086872
ng17_irrelevant,17,0.085124806,3.2560236,1.6116272
ng17_weak_distractor,17,0.08562484,3.3438706,1.6083306
ng17_competition_balanced,17,0.08572193,3.2323108,1.6102253
