model,trained_alignment_gain,random_alignment_gain_mean,random_alignment_gain_min,random_alignment_gain_max,all_random_alignment_gains_positive,trained_exceeds_random_range,trained_alignment_z,random_alignment_z_mean
qwen,0.0317454975843429,0.0767617186469336,0.075665474049747,0.0777972674928605,True,False,4.992015258507522,5.862223430416029
llama,0.0402691491693258,0.1027802667145927,0.1022392565384507,0.1035330593213438,True,False,5.505344707878683,4.647698851628406
gemma,0.0498680308461189,0.0879112176162501,0.0876618566550314,0.0880697674117982,True,False,6.642652359058388,5.166533584869884
