experiment,effect,estimate,lo,hi
Pythia,E:B,0.7123895321252212,0.27058427558754977,1.136316040326964
Pythia,E:B:N,0.5289400208671138,0.2164168339855266,0.8351849969827903
Pythia,E:B:W,0.4106561912680572,0.06398063875594229,0.7683918575070939
Pythia,E:B:N:W,0.3032029349848909,0.05385312854119067,0.5607923147813326
OLMo,E:B,0.583182751051254,0.36707352702757134,0.7958838516678818
OLMo,E:B:W,0.22992876533006287,0.05406940133866368,0.40381527597440936
