condition,E,B,W,n_prompts,standardized_margin,standardized_margin_ci_low,standardized_margin_ci_high
000,0,0,0,96,-0.1280170702181446,-0.4227665697132276,0.16959275686046238
001,0,0,1,96,-0.3231399305417047,-0.6817730382431667,0.02848576966280233
010,0,1,0,96,0.0855751279159449,-0.16974746248451994,0.34228807834830755
011,0,1,1,96,0.20826343377605855,-0.1264434747583437,0.5371786766154398
100,1,0,0,96,0.04055533825885504,-0.21386877577751873,0.2871066601248458
101,1,0,1,96,0.3204276694186774,-0.01045451268729872,0.6537395064654219
110,1,1,0,96,0.9606555078353268,0.6203639647409243,1.3072969779796646
111,1,1,1,96,2.4780540664990744,2.2570214082098876,2.7038608454711115
