metric,condition,reference,mean_difference,ci_low,ci_high
pair_correct,0000,1111,-0.37735849056603776,-0.5471698113207547,-0.20754716981132076
pair_correct,0001,0000,0.1320754716981132,-0.03773584905660377,0.32075471698113206
pair_correct,0001,1111,-0.24528301886792453,-0.41509433962264153,-0.07547169811320754
pair_correct,0010,0000,0.05660377358490566,-0.05660377358490566,0.16981132075471697
pair_correct,0010,1111,-0.32075471698113206,-0.4716981132075472,-0.1509433962264151
pair_correct,0011,0000,0.1320754716981132,-0.05660377358490566,0.32075471698113206
pair_correct,0011,1111,-0.24528301886792453,-0.41509433962264153,-0.07547169811320754
pair_correct,0100,0000,0.05660377358490566,-0.1325471698113206,0.2641509433962264
pair_correct,0100,1111,-0.32075471698113206,-0.49056603773584906,-0.1509433962264151
pair_correct,0101,0000,-0.07547169811320754,-0.24528301886792453,0.09433962264150944
pair_correct,0101,1111,-0.4528301886792453,-0.5849056603773585,-0.32075471698113206
pair_correct,0110,0000,0.07547169811320754,-0.1320754716981132,0.2830188679245283
pair_correct,0110,1111,-0.3018867924528302,-0.4528301886792453,-0.1320754716981132
pair_correct,0111,0000,0.05660377358490566,-0.1509433962264151,0.24528301886792453
pair_correct,0111,1111,-0.32075471698113206,-0.4528301886792453,-0.18867924528301888
pair_correct,1000,0000,-0.018867924528301886,-0.1320754716981132,0.09433962264150944
pair_correct,1000,1111,-0.39622641509433965,-0.5660377358490566,-0.22641509433962265
pair_correct,1001,0000,0.07547169811320754,-0.11320754716981132,0.24575471698112522
pair_correct,1001,1111,-0.3018867924528302,-0.4528301886792453,-0.1509433962264151
pair_correct,1010,0000,0.03773584905660377,-0.09433962264150944,0.16981132075471697
pair_correct,1010,1111,-0.33962264150943394,-0.5094339622641509,-0.16981132075471697
pair_correct,1011,0000,0.05660377358490566,-0.11320754716981132,0.22641509433962265
pair_correct,1011,1111,-0.32075471698113206,-0.4528301886792453,-0.16981132075471697
pair_correct,1100,0000,0.11320754716981132,-0.07547169811320754,0.3018867924528302
pair_correct,1100,1111,-0.2641509433962264,-0.41509433962264153,-0.11320754716981132
pair_correct,1101,0000,0.41509433962264153,0.2641509433962264,0.5660377358490566
pair_correct,1101,1111,0.03773584905660377,0.0,0.09433962264150944
pair_correct,1110,0000,0.09433962264150944,-0.09433962264150944,0.2830188679245283
pair_correct,1110,1111,-0.2830188679245283,-0.4339622641509434,-0.11320754716981132
pair_correct,1111,0000,0.37735849056603776,0.20754716981132076,0.5471698113207547
candidate_margin,0000,1111,-3.1085366303066038,-3.781432356924381,-2.447425755914652
candidate_margin,0001,0000,0.14871849204009435,-0.2182353469560731,0.4987456123783903
candidate_margin,0001,1111,-2.9598181382665096,-3.694285727446934,-2.239263570533609
candidate_margin,0010,0000,0.41922630454009435,-1.2832446980026533,2.1041119845408307
candidate_margin,0010,1111,-2.6893103257665096,-4.5137673431972285,-0.9522146548864986
candidate_margin,0011,0000,1.1580649321933962,-0.6946167567990861,3.0034749732827235
candidate_margin,0011,1111,-1.9504716981132075,-3.830365566037736,-0.07305424528301972
candidate_margin,0100,0000,0.0027247015035377358,-0.34811896558077826,0.3668357417268566
candidate_margin,0100,1111,-3.105811928803066,-3.856530819299086,-2.3933398552660674
candidate_margin,0101,0000,-0.02000110554245283,-0.29297013192806604,0.25170858131264734
candidate_margin,0101,1111,-3.1285377358490565,-3.827830188679245,-2.4185731132075476
candidate_margin,0110,0000,0.39234780365566035,-1.6365488304282134,2.4317698352741717
candidate_margin,0110,1111,-2.7161888266509435,-4.801720961084905,-0.7014671469634458
candidate_margin,0111,0000,0.09910266804245282,-0.2854378178434552,0.475575457878832
candidate_margin,0111,1111,-3.009433962264151,-3.5754716981132075,-2.4339622641509435
candidate_margin,1000,0000,-0.0833175947081368,-0.311777741054319,0.14166369168263496
candidate_margin,1000,1111,-3.1918542250147404,-3.8740346080852004,-2.515217878233712
candidate_margin,1001,0000,0.019743145636792452,-0.3642202701208726,0.40861741551813063
candidate_margin,1001,1111,-3.0887934846698113,-3.7951940572486733,-2.4007843017578137
candidate_margin,1010,0000,-0.18238686615566038,-1.7215063131080484,1.38940032383181
candidate_margin,1010,1111,-3.290923496462264,-4.935377819133255,-1.6698864055129727
candidate_margin,1011,0000,0.2571215359669811,-2.1478078014445754,2.7248572007665084
candidate_margin,1011,1111,-2.8514150943396226,-5.139150943396227,-0.5282429245283028
candidate_margin,1100,0000,0.07139961674528301,-0.2571806709721403,0.4046908972398289
candidate_margin,1100,1111,-3.037137013561321,-3.7623041692769754,-2.3243199762308375
candidate_margin,1101,0000,0.43282908313679247,0.16225937177550118,0.6929739898105837
candidate_margin,1101,1111,-2.6757075471698113,-3.2948408018867927,-2.0495283018867925
candidate_margin,1110,0000,0.8456754864386793,-1.1640565692253833,2.7380437886939855
candidate_margin,1110,1111,-2.2628611438679247,-4.298817069575472,-0.3223743366745283
candidate_margin,1111,0000,3.1085366303066038,2.431985761534493,3.7798219500847576
