"effect","order","factorial_contrast_2beta","contrast_ci_low","contrast_ci_high"
"E:B",2,0.712389532125221,0.27058427558755,1.13631604032696
"E:B:N",3,0.528940020867114,0.216416833985527,0.83518499698279
"E:B:W",3,0.410656191268057,0.0639806387559423,0.768391857507094
"E:B:N:W",4,0.303202934984891,0.0538531285411907,0.560792314781333
