task,model,horizon,null_index,balanced_accuracy
arithmetic_mixed,qwen,0.25,96,0.6039506864667974
arithmetic_mixed,qwen,0.25,97,0.5777728855621823
arithmetic_mixed,qwen,0.25,98,0.5567986230636832
arithmetic_mixed,qwen,0.25,99,0.5430893007244926
arithmetic_mixed,qwen,0.25,100,0.5985470119681384
arithmetic_mixed,qwen,0.25,101,0.5364447824520674
arithmetic_mixed,qwen,0.25,102,0.60727294560301
arithmetic_mixed,qwen,0.25,103,0.5738302045390866
arithmetic_mixed,qwen,0.25,104,0.6035304006724573
arithmetic_mixed,qwen,0.25,105,0.5667654004723212
arithmetic_mixed,qwen,0.25,106,0.5892006564463835
arithmetic_mixed,qwen,0.25,107,0.6006284273305849
arithmetic_mixed,qwen,0.25,108,0.576111755994076
arithmetic_mixed,qwen,0.25,109,0.5410078853620461
arithmetic_mixed,qwen,0.25,110,0.5727894968578633
arithmetic_mixed,qwen,0.25,111,0.5491133971100348
arithmetic_mixed,qwen,0.25,112,0.5430893007244926
arithmetic_mixed,qwen,0.25,113,0.5937637593563623
arithmetic_mixed,qwen,0.25,114,0.5347836528839611
arithmetic_mixed,qwen,0.25,115,0.5106872673417924
arithmetic_mixed,qwen,0.25,116,0.6095544970579994
arithmetic_mixed,qwen,0.25,117,0.5688468158347677
arithmetic_mixed,qwen,0.25,118,0.5783933074490654
arithmetic_mixed,qwen,0.25,119,0.6328103110114878
arithmetic_mixed,qwen,0.25,120,0.5493135332025777
arithmetic_mixed,qwen,0.25,121,0.5673858223592043
arithmetic_mixed,qwen,0.25,122,0.5958451747188088
arithmetic_mixed,qwen,0.25,123,0.5908617860144898
arithmetic_mixed,qwen,0.25,124,0.5497338189969179
arithmetic_mixed,qwen,0.25,125,0.5457911379738223
arithmetic_mixed,qwen,0.25,126,0.5381059120201737
arithmetic_mixed,qwen,0.25,127,0.5320818156346315
arithmetic_mixed,qwen,0.25,128,0.5748709122203097
arithmetic_mixed,qwen,0.25,129,0.5530560781331305
arithmetic_mixed,qwen,0.25,130,0.5657246927910979
arithmetic_mixed,qwen,0.25,131,0.5474522675419286
arithmetic_mixed,qwen,0.25,132,0.5673858223592043
arithmetic_mixed,qwen,0.25,133,0.5634431413361085
arithmetic_mixed,qwen,0.25,134,0.5069447224112396
arithmetic_mixed,qwen,0.25,135,0.5426690149301525
arithmetic_mixed,qwen,0.25,136,0.555137493495577
arithmetic_mixed,qwen,0.25,137,0.5420485930432695
arithmetic_mixed,qwen,0.25,138,0.6284473441940519
arithmetic_mixed,qwen,0.25,139,0.5237761677941
arithmetic_mixed,qwen,0.25,140,0.5167113637273346
arithmetic_mixed,qwen,0.25,141,0.514009526478005
arithmetic_mixed,qwen,0.25,142,0.5958451747188088
arithmetic_mixed,qwen,0.25,143,0.5553376295881198
arithmetic_mixed,qwen,0.25,144,0.5767321778809591
arithmetic_mixed,qwen,0.25,145,0.6078933674898932
arithmetic_mixed,qwen,0.25,146,0.5854581115158308
arithmetic_mixed,qwen,0.25,147,0.534363367089621
