control,layer,mean_alpha,mean_beta,mean_policy_conf,most_common_action,batch_size,mean_norm_ratio,min_norm_ratio,max_norm_ratio,mean_delta_norm_ratio,all_finite,model,random_seed,mean_operator_component_norm,mean_random_operator_component_norm,mean_precursor_component_norm,mean_random_precursor_component_norm,operator_component_norm_abs_error,precursor_component_norm_abs_error,mean_structured_total_ratio,mean_random_total_ratio,mean_total_norm_ratio
policy_boundary_guarded,15,0.0,0.0,0.9798056560923804,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.0,0.0,0.979015691431088,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.0,0.0,0.9797607683717522,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.0,0.0,0.9796500017694788,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.0,0.0,0.9801738592587688,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.1500244140625,0.1500244140625,0.7786720616742908,a0.0_b0.0_confidence_gate_gate,4,0.9970035552978516,0.9880141019821168,1.0,0.0707054957747459,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.1500244140625,0.1500244140625,0.7820661485769413,a0.0_b0.0_confidence_gate_gate,4,0.9697532057762146,0.8790127635002136,1.0,0.080163761973381,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.25,0.300048828125,0.7792954149449737,a0.0_b0.0_confidence_gate_gate,4,0.9897658824920654,0.9590634703636168,1.0,0.1275482326745987,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.1500244140625,0.1500244140625,0.7804889684764138,a0.0_b0.0_confidence_gate_gate,4,0.9628520607948304,0.8514083027839661,1.0,0.0898415595293045,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.1500244140625,0.1500244140625,0.765479793414347,a0.0_b0.0_confidence_gate_gate,4,0.9975454807281494,0.9901819825172424,1.0,0.0888367891311645,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.449951171875,0.449951171875,0.6136985856360848,a0.9_b0.9,4,0.9984055757522584,0.992840588092804,1.000781774520874,0.2171207964420318,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.449951171875,0.449951171875,0.6237316522051791,a0.9_b0.9,4,0.8997540473937988,0.7962591052055359,1.0,0.2583901286125183,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.4749755859375,0.5250244140625,0.625821614487865,a0.0_b0.0_confidence_gate_gate,4,0.964102864265442,0.925700843334198,1.0,0.2585377991199493,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.449951171875,0.449951171875,0.6297083136586565,a0.9_b0.9,4,0.912997841835022,0.8218284249305725,1.0,0.2691791355609894,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.449951171875,0.449951171875,0.6415073586606024,a0.9_b0.9,4,1.010342717170715,1.0,1.0214076042175293,0.2830103933811188,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.0,0.0,0.7734740317394527,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.0,0.0,0.6368814022306004,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.0,0.0,0.8674576100191831,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.0,0.0,0.8769900540096685,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.0,0.0,0.6377788472934772,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.5999755859375,0.5999755859375,0.6229503998306782,a0.9_b0.9,4,0.9992882013320924,0.9865838885307312,1.0088365077972412,0.2894304394721985,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.5250244140625,0.5250244140625,0.6114728321242879,a0.6_b0.6,4,0.8755288124084473,0.798540472984314,1.0,0.296757698059082,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.5999755859375,0.5999755859375,0.625686244884086,a0.9_b0.9,4,0.9486214518547058,0.9227475523948668,1.0,0.3190268278121948,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.5999755859375,0.5999755859375,0.6480744369188456,a0.9_b0.9,4,0.8789652585983276,0.8212674260139465,1.0,0.3535106778144836,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.5999755859375,0.5999755859375,0.5172899941943956,a0.9_b0.9,4,1.0092377662658691,0.9968886375427246,1.035491108894348,0.3707070350646972,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.0,0.0,0.9917310369668456,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.0,0.0,0.9920792200590244,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.0,0.0,0.9928960421794504,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.0,0.0,0.9911442803442136,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.0,0.0,0.9967923515308134,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.25,0.300048828125,0.7731082862962997,a0.0_b0.0_confidence_gate_gate,4,1.006316065788269,1.0,1.0252641439437866,0.1184281632304191,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.2249755859375,0.1500244140625,0.7928097602327452,a0.0_b0.0_confidence_gate_gate,4,0.9496122598648072,0.7984490990638733,1.0,0.129981592297554,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.2249755859375,0.1500244140625,0.7838932429378243,a0.0_b0.0_confidence_gate_gate,4,0.9821125864982604,0.9284504055976868,1.0,0.1219150200486183,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.25,0.300048828125,0.7902847707778212,a0.0_b0.0_confidence_gate_gate,4,0.9586948156356812,0.8347792625427246,1.0,0.1495284140110016,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.2249755859375,0.1500244140625,0.7916126507177855,a0.0_b0.0_confidence_gate_gate,4,1.0081114768981934,1.0,1.0324459075927734,0.1496714353561401,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.5,0.60009765625,0.6371670100887782,a0.0_b0.0_confidence_gate_gate,4,1.007577419281006,1.0,1.018472671508789,0.2431197613477707,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.5,0.60009765625,0.6326789232616409,a0.0_b0.0_confidence_gate_gate,4,0.8936400413513184,0.7865985631942749,1.0,0.2924267053604126,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.5,0.60009765625,0.6380299322100915,a0.0_b0.0_confidence_gate_gate,4,0.9597148299217224,0.9178436994552612,1.0,0.2795535326004028,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.5,0.60009765625,0.643320484370414,a0.0_b0.0_confidence_gate_gate,4,0.912751853466034,0.8247143030166626,1.0,0.30343097448349,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.5,0.60009765625,0.6706947649171254,a0.0_b0.0_confidence_gate_gate,4,1.0305784940719604,1.0,1.0628392696380615,0.3372849524021148,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.0,0.0,0.7633383330747799,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.0,0.0,0.8414357252009159,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.0,0.0,0.8489745766523735,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.0,0.0,0.8624259802473283,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.0,0.0,0.5210205087684556,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.5999755859375,0.5999755859375,0.6016371305291714,a0.9_b0.9,4,0.9989283680915833,0.9836809635162354,1.0092899799346924,0.2907555699348449,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.5999755859375,0.5999755859375,0.5473134194696105,a0.9_b0.9,4,0.8653901815414429,0.7940552234649658,1.0,0.340951919555664,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.5999755859375,0.5999755859375,0.5861757149814621,a0.9_b0.9,4,0.9448657035827636,0.9179958701133728,1.0,0.3219373524188995,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.5999755859375,0.5999755859375,0.5128721050950662,a0.9_b0.9,4,0.8796603083610535,0.8268275260925293,1.0,0.3535004556179046,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.5999755859375,0.5999755859375,0.5266542622021241,a0.9_b0.9,4,1.0123709440231323,0.99494069814682,1.0281476974487305,0.3745211064815521,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.0,0.0,0.9919773261148844,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.0,0.0,0.9927941482353104,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.0,0.0,0.9897955838528358,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,18,0.0,0.0,0.9855871400944912,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,19,0.0,0.0,0.9875806937991176,a0.0_b0.0_confidence_gate_gate,4,1.0,1.0,1.0,0.0,True,qwen,,,,,,,,,,
policy_boundary_guarded,15,0.1500244140625,0.1500244140625,0.6230035557619261,a0.0_b0.0_confidence_gate_gate,4,0.996830940246582,0.9873236417770386,1.0,0.0711768567562103,True,qwen,,,,,,,,,,
policy_boundary_guarded,16,0.1500244140625,0.1500244140625,0.7422904598214012,a0.0_b0.0_confidence_gate_gate,4,0.9683693647384644,0.8734773993492126,1.0,0.0805125087499618,True,qwen,,,,,,,,,,
policy_boundary_guarded,17,0.1500244140625,0.1500244140625,0.7394324582191795,a0.0_b0.0_confidence_gate_gate,4,0.9858824610710144,0.9435297846794128,1.0,0.0770894512534141,True,qwen,,,,,,,,,,
