shuffle_id,alignment_mean,alignment_positive_fraction,path_length,endpoint_distance,detour_ratio,curvature_mean,state_type,init_seed
0.0,0.03530094400048256,0.527006172839506,10.167513847351074,0.8901872634887695,11.42151927947998,2.1050593852996826,trained_checkpoint,trained
1.0,0.04616380110383034,0.5960648148148148,9.620928764343262,0.8901872634887695,10.808326721191406,1.97053062915802,trained_checkpoint,trained
2.0,0.04408221319317818,0.5841049382716048,9.015242576599121,0.8901872634887695,10.127479553222656,2.0503227710723877,trained_checkpoint,trained
3.0,0.03848137706518173,0.5698302469135802,10.001543045043945,0.8901872634887695,11.235543251037598,2.0865747928619385,trained_checkpoint,trained
4.0,0.0363132543861866,0.4891975308641976,8.352519989013672,0.8901872634887695,9.38260269165039,1.9839369058609009,trained_checkpoint,trained
5.0,0.041782110929489136,0.517361111111111,9.084328651428223,0.8901872634887695,10.204575538635254,2.0310537815093994,trained_checkpoint,trained
6.0,0.06094469130039215,0.6604938271604939,9.067530632019043,0.8901872634887695,10.184842109680176,2.0025227069854736,trained_checkpoint,trained
7.0,0.046245262026786804,0.5933641975308642,10.42035961151123,0.8901872634887695,11.705921173095703,2.09720516204834,trained_checkpoint,trained
8.0,0.03944164142012596,0.48148148148148157,10.201401710510254,0.8901872634887695,11.459223747253418,2.1102170944213867,trained_checkpoint,trained
9.0,0.05078834295272827,0.6153549382716049,9.67578411102295,0.8901872634887695,10.869479179382324,2.022188425064087,trained_checkpoint,trained
10.0,0.041949350386857986,0.525077160493827,9.823542594909668,0.8901872634887695,11.036288261413574,2.028418779373169,trained_checkpoint,trained
11.0,0.04086597263813019,0.515432098765432,9.616971015930176,0.8901872634887695,10.802902221679688,2.128450632095337,trained_checkpoint,trained
12.0,0.03674451634287834,0.47916666666666674,10.556342124938965,0.8901872634887695,11.858141899108887,2.1894147396087646,trained_checkpoint,trained
13.0,0.039515141397714615,0.5547839506172839,11.191838264465332,0.8901872634887695,12.572525978088379,2.2236263751983643,trained_checkpoint,trained
14.0,0.04414420202374458,0.5891203703703703,9.842089653015137,0.8901872634887695,11.056396484375,2.1032440662384033,trained_checkpoint,trained
15.0,0.03972610831260681,0.45794753086419754,9.038886070251465,0.8901872634887695,10.154342651367188,2.1068546772003174,trained_checkpoint,trained
16.0,0.036188360303640366,0.4579475308641976,9.665669441223145,0.8901872634887695,10.858338356018066,2.1449787616729736,trained_checkpoint,trained
17.0,0.03778499737381935,0.5162037037037036,10.931927680969238,0.8901872634887695,12.28113842010498,2.1370298862457275,trained_checkpoint,trained
18.0,0.04709590598940849,0.5883487654320988,9.93130111694336,0.8901872634887695,11.15598201751709,2.068441152572632,trained_checkpoint,trained
19.0,0.04376593232154846,0.568287037037037,8.902216911315918,0.8901872634887695,10.000029563903809,2.000176429748535,trained_checkpoint,trained
20.0,0.036369387060403824,0.48572530864197533,8.897391319274902,0.8901872634887695,9.994805335998535,2.1266591548919678,trained_checkpoint,trained
21.0,0.04246401786804199,0.5617283950617283,11.090388298034668,0.8901872634887695,12.45803165435791,2.1321308612823486,trained_checkpoint,trained
22.0,0.03646963834762573,0.48148148148148157,9.997164726257324,0.8901872634887695,11.23029613494873,2.154123544692993,trained_checkpoint,trained
23.0,0.040837571024894714,0.552469135802469,9.045753479003906,0.8901872634887695,10.161931991577148,2.075425386428833,trained_checkpoint,trained
24.0,0.04192426800727844,0.5162037037037036,10.95813274383545,0.8901872634887695,12.310226440429688,2.1250009536743164,trained_checkpoint,trained
