"model","heldout_closure_n","heldout_nonclosure_n","guarded_strict_conflict_to_clean_top1","guarded_closure_flip_rate","guarded_nonclosure_top1_changes","guarded_nonclosure_top1_change_rate","ungated_strict_conflict_to_clean_top1","ungated_nonclosure_top1_change_rate","shuffled_policy_strict_conflict_to_clean_top1","shuffled_policy_nonclosure_top1_change_rate","model_label","closure_flip_rate","nonclosure_change_rate","count_label","label_x","label_y","label_vjust"
"qwen",87,203,17,0.195402298850575,0,0,19,0.0344827586206896,12,0.364532019704433,"Qwen",0.195402298850575,0,"Qwen  17/87; 0/203",0.00055,0.203402298850575,0
"llama",87,203,13,0.149425287356322,2,0.0098522167487684,13,0.0147783251231527,13,0.216748768472906,"Llama",0.149425287356322,0.00985221674876847,"Llama  13/87; 2/203",0.0102022167487685,0.155425287356322,0
"gemma",87,203,9,0.103448275862069,0,0,9,0.0049261083743842,2,0.25615763546798,"Gemma",0.103448275862069,0,"Gemma  9/87; 0/203",0.00055,0.095448275862069,1
