"model","condition_label","condition_short","layer","R_mean","R_sd","n","R_z","R_z_clip"
"Gemma","Balanced competition","Balanced",22,-28.9344240460131,25.2040674771979,72,-2.73647684267537,-2.5
"Gemma","Balanced competition","Balanced",23,-22.6233271492852,35.9687035630443,72,-2.05782421103302,-2.05782421103302
"Gemma","Balanced competition","Balanced",24,-23.5561819341448,55.4273565909652,72,-2.15813709879954,-2.15813709879954
"Gemma","Balanced competition","Balanced",25,-3.60508056481679,0.750617574532245,72,-0.0127307344197175,-0.0127307344197175
"Gemma","Direct negative","Direct-",0,1.66149208280775,7.73457558218564,72,0.553600831317947,0.553600831317947
"Gemma","Direct negative","Direct-",1,1.44428966442744,5.70187262795151,72,0.530244353791939,0.530244353791939
"Gemma","Direct negative","Direct-",2,0.420372085438834,2.24580701373706,72,0.420139189676053,0.420139189676053
"Gemma","Direct negative","Direct-",3,1.67644058912992,2.38656109640736,72,0.555208292480511,0.555208292480511
"Gemma","Direct negative","Direct-",4,1.33050303161144,1.86396013373039,72,0.518008509679589,0.518008509679589
"Gemma","Direct negative","Direct-",5,1.38884408606423,3.21928003646844,72,0.52428211168334,0.52428211168334
"Gemma","Direct negative","Direct-",6,1.35567866679695,1.6142393671,72,0.520715727038393,0.520715727038393
"Gemma","Direct negative","Direct-",7,1.11419894794623,1.11450409330824,72,0.494748632986761,0.494748632986761
"Gemma","Direct negative","Direct-",8,1.32151430886653,1.07834401210478,72,0.517041923292823,0.517041923292823
"Gemma","Direct negative","Direct-",9,0.584190943174892,2.62459717164815,72,0.437755160518279,0.437755160518279
"Gemma","Direct negative","Direct-",10,0.85517860783471,3.23847378420478,72,0.466895339281713,0.466895339281713
"Gemma","Direct negative","Direct-",11,1.34800082114008,3.30513363346157,72,0.519890103498516,0.519890103498516
"Gemma","Direct negative","Direct-",12,-0.701682152847449,5.01099097286907,72,0.299481073643443,0.299481073643443
"Gemma","Direct negative","Direct-",13,0.9421389831437,5.05094356186248,72,0.476246469286173,0.476246469286173
"Gemma","Direct negative","Direct-",14,-0.462970630990134,6.37778191336538,72,0.325150494532197,0.325150494532197
"Gemma","Direct negative","Direct-",15,-2.14803512394428,6.21579129078948,72,0.143950067515568,0.143950067515568
"Gemma","Direct negative","Direct-",16,-0.150541139973534,6.32463483681292,72,0.35874704672442,0.35874704672442
"Gemma","Direct negative","Direct-",17,-1.58287996053696,6.56526918197877,72,0.204723027463545,0.204723027463545
"Gemma","Direct negative","Direct-",18,-14.9522127774027,7.88486822891929,72,-1.23292450797083,-1.23292450797083
"Gemma","Direct negative","Direct-",19,-21.9076067739063,10.3300490186974,72,-1.98086048757588,-1.98086048757588
"Gemma","Direct negative","Direct-",20,-19.5813435249858,13.8851331072508,72,-1.7307098875128,-1.7307098875128
