"model","condition_label","condition_short","layer","R_mean","R_sd","n","R_z","R_z_clip"
"Qwen","Exception negative","Exception-",2,-0.150559588025014,0.338758419434876,72,-0.547878579166855,-0.547878579166855
"Qwen","Exception negative","Exception-",3,-0.105154221670495,0.266782484026736,72,-0.517585925725246,-0.517585925725246
"Qwen","Exception negative","Exception-",4,-0.270646149706509,0.30161409365103,72,-0.627995554055,-0.627995554055
"Qwen","Exception negative","Exception-",5,-0.225277323275805,0.614536185303659,72,-0.597727278596386,-0.597727278596386
"Qwen","Exception negative","Exception-",6,-0.176471328155862,0.885094470865018,72,-0.565165860976767,-0.565165860976767
"Qwen","Exception negative","Exception-",7,-0.0429866976208157,0.917062536689178,72,-0.476110227750343,-0.476110227750343
"Qwen","Exception negative","Exception-",8,0.0124867943425973,0.760898100522615,72,-0.439100521582069,-0.439100521582069
"Qwen","Exception negative","Exception-",9,0.264440675990449,0.537619312907028,72,-0.27100691871508,-0.27100691871508
"Qwen","Exception negative","Exception-",10,0.220255943222178,0.766000469411875,72,-0.300485214005305,-0.300485214005305
"Qwen","Exception negative","Exception-",11,0.380469446173973,0.707976990300266,72,-0.193597140827101,-0.193597140827101
"Qwen","Exception negative","Exception-",12,0.485540957500537,0.905477075035497,72,-0.123497609984201,-0.123497609984201
"Qwen","Exception negative","Exception-",13,0.354704160657194,0.844231198750344,72,-0.210786713946936,-0.210786713946936
"Qwen","Exception negative","Exception-",14,0.454312253329489,1.09015463899798,72,-0.144332158603364,-0.144332158603364
"Qwen","Exception negative","Exception-",15,0.330941564506955,1.32060378733576,72,-0.226640172422125,-0.226640172422125
"Qwen","Exception negative","Exception-",16,0.313886338224014,1.49818573811008,72,-0.238018740653982,-0.238018740653982
"Qwen","Exception negative","Exception-",17,0.510637576381365,1.76728868541542,72,-0.106754144633053,-0.106754144633053
"Qwen","Exception negative","Exception-",18,0.357836859093772,1.67513508500542,72,-0.208696702221551,-0.208696702221551
"Qwen","Exception negative","Exception-",19,0.461683670679728,1.50237117170627,72,-0.139414242306405,-0.139414242306405
"Qwen","Exception negative","Exception-",20,1.17687323565284,1.86794763415934,72,0.337731773158567,0.337731773158567
"Qwen","Exception negative","Exception-",21,1.64453089609742,2.16808462983789,72,0.649734352909838,0.649734352909838
"Qwen","Exception negative","Exception-",22,2.31106204291185,2.01856049587963,72,1.09441740823064,1.09441740823064
"Qwen","Exception negative","Exception-",23,2.94000085526043,2.01918880768839,72,1.51402035405197,1.51402035405197
"Qwen","Exception negative","Exception-",24,3.97585537201828,2.63662145131734,72,2.20510126389577,2.20510126389577
"Qwen","Exception negative","Exception-",25,5.00765736732218,4.35971848405643,72,2.89347849270302,2.5
"Qwen","Exception negative","Exception-",26,6.83048671401209,5.51201229316397,72,4.10959768996565,2.5
"Qwen","Exception negative","Exception-",27,0.791352741420269,1.59734452154264,72,0.0805278419042365,0.0805278419042365
"Qwen","Update negative","Update",0,-0.0666756083567937,0.442975432962823,72,-0.491914526249584,-0.491914526249584
"Qwen","Update negative","Update",1,-0.0109630069798893,0.29821515964983,72,-0.454745295796428,-0.454745295796428
"Qwen","Update negative","Update",2,-0.150355681363079,0.327436196886484,72,-0.547742540756854,-0.547742540756854
"Qwen","Update negative","Update",3,-0.134668572495381,0.285495592554773,72,-0.537276726017696,-0.537276726017696
"Qwen","Update negative","Update",4,-0.278529991706212,0.321679055619731,72,-0.633255339685199,-0.633255339685199
"Qwen","Update negative","Update",5,-0.184144872344202,0.604486961789756,72,-0.570285344276413,-0.570285344276413
"Qwen","Update negative","Update",6,-0.10508294776082,0.880149288911375,72,-0.517538374609188,-0.517538374609188
"Qwen","Update negative","Update",7,-0.0172001851929559,0.915965233534132,72,-0.458906492880199,-0.458906492880199
"Qwen","Update negative","Update",8,-0.0112213103307618,0.788550813949377,72,-0.454917625512473,-0.454917625512473
"Qwen","Update negative","Update",9,0.252910112755166,0.527176837212097,72,-0.278699651625674,-0.278699651625674
"Qwen","Update negative","Update",10,0.214379840220014,0.742892856163856,72,-0.304405516078014,-0.304405516078014
"Qwen","Update negative","Update",11,0.401327494945791,0.687851536016439,72,-0.179681480770985,-0.179681480770985
"Qwen","Update negative","Update",12,0.467327450298601,0.822695166317809,72,-0.135648937149291,-0.135648937149291
"Qwen","Update negative","Update",13,0.370929825223154,0.808430604077913,72,-0.199961596278713,-0.199961596278713
"Qwen","Update negative","Update",14,0.443782451252143,1.04398369379491,72,-0.151357223496515,-0.151357223496515
"Qwen","Update negative","Update",15,0.345776067839728,1.30633319716188,72,-0.216743182164862,-0.216743182164862
"Qwen","Update negative","Update",16,0.0878220453030533,1.58057467409539,72,-0.388839840246224,-0.388839840246224
"Qwen","Update negative","Update",17,0.380043716894256,1.72686601676417,72,-0.193881170459848,-0.193881170459848
"Qwen","Update negative","Update",18,0.335350091258685,1.5318245237692,72,-0.223698978818807,-0.223698978818807
"Qwen","Update negative","Update",19,0.32685119079219,1.3797288828007,72,-0.229369106980666,-0.229369106980666
"Qwen","Update negative","Update",20,0.109613323377238,1.8554272140473,72,-0.374301566739147,-0.374301566739147
"Qwen","Update negative","Update",21,0.41499795516332,2.24044944090976,72,-0.170561093754976,-0.170561093754976
"Qwen","Update negative","Update",22,-1.03991350862715,2.31967612682005,72,-1.14122012151642,-1.14122012151642
"Qwen","Update negative","Update",23,-0.980681306786007,2.66338304315395,72,-1.1017027537025,-1.1017027537025
"Qwen","Update negative","Update",24,-0.519712696472804,3.44878502256143,72,-0.79416284199582,-0.79416284199582
"Qwen","Update negative","Update",25,0.296103646357854,4.97982645179756,72,-0.249882644972131,-0.249882644972131
"Qwen","Update negative","Update",26,0.408934654461013,6.29257256337286,72,-0.174606286683344,-0.174606286683344
"Qwen","Update negative","Update",27,-3.52126503652996,1.87526125133911,72,-2.79667911098204,-2.5
"Llama","Stable positive","Stable+",0,0.000336883382664786,0.0181442403065774,72,-0.632497748800488,-0.632497748800488
"Llama","Stable positive","Stable+",1,0.0196151142526004,0.043104203627987,72,-0.46306698296607,-0.46306698296607
"Llama","Stable positive","Stable+",2,-0.00670272417159544,0.0429705700657393,72,-0.694366812779389,-0.694366812779389
"Llama","Stable positive","Stable+",3,-0.00463992675455908,0.0644667090520939,72,-0.676237486053938,-0.676237486053938
"Llama","Stable positive","Stable+",4,0.00877266762674683,0.0543380695990628,72,-0.558358093842953,-0.558358093842953
"Llama","Stable positive","Stable+",5,0.0113885580665535,0.107305832113865,72,-0.535367793356067,-0.535367793356067
"Llama","Stable positive","Stable+",6,0.0550683836142222,0.0851915376579343,72,-0.151478506834622,-0.151478506834622
"Llama","Stable positive","Stable+",7,0.0230565345328715,0.106043764198125,72,-0.43282134073996,-0.43282134073996
"Llama","Stable positive","Stable+",8,0.00373160205264058,0.0857355832027115,72,-0.602662553448441,-0.602662553448441
"Llama","Stable positive","Stable+",9,0.0644957404583693,0.126588404027754,72,-0.0686242086018345,-0.0686242086018345
"Llama","Stable positive","Stable+",10,0.10245005827811,0.142591274180445,72,0.264945255230564,0.264945255230564
"Llama","Stable positive","Stable+",11,0.18911835949661,0.170599829704463,72,1.02664775522078,1.02664775522078
"Llama","Stable positive","Stable+",12,0.151302486554616,0.274795908858975,72,0.694295043165072,0.694295043165072
"Llama","Stable positive","Stable+",13,0.150103607421948,0.329277620455886,72,0.683758443050605,0.683758443050605
"Llama","Stable positive","Stable+",14,0.128342190964354,0.497470431568775,72,0.492503681089967,0.492503681089967
"Llama","Stable positive","Stable+",15,0.0983571699923939,0.702727985835214,72,0.228974050123507,0.228974050123507
"Llama","Weak positive","Weak+",0,1.92882143892348e-05,0.0176631823502662,72,-0.635289000391429,-0.635289000391429
"Llama","Weak positive","Weak+",1,0.0192510606979744,0.0437984742916167,72,-0.466266543806542,-0.466266543806542
"Llama","Weak positive","Weak+",2,-0.00581268733367324,0.0446484392923083,72,-0.686544537795372,-0.686544537795372
"Llama","Weak positive","Weak+",3,0.00175076235447907,0.0591392246666562,72,-0.620071577612485,-0.620071577612485
"Llama","Weak positive","Weak+",4,0.0125112971032245,0.052912892355634,72,-0.52550036640705,-0.52550036640705
"Llama","Weak positive","Weak+",5,0.00762551878061559,0.105105707023992,72,-0.568440051509991,-0.568440051509991
"Llama","Weak positive","Weak+",6,0.0525810154827519,0.0786367365416057,72,-0.173339262122306,-0.173339262122306
"Llama","Weak positive","Weak+",7,0.0373658538899488,0.0992356960231073,72,-0.307060893446024,-0.307060893446024
"Llama","Weak positive","Weak+",8,0.00934701381872098,0.0748095743679586,72,-0.553310332156894,-0.553310332156894
"Llama","Weak positive","Weak+",9,0.0705796598663761,0.12850016918547,72,-0.0151544098672937,-0.0151544098672937
"Llama","Weak positive","Weak+",10,0.0918782558809552,0.123776874577631,72,0.172032757787996,0.172032757787996
"Llama","Weak positive","Weak+",11,0.28020407528513,0.147265987109441,72,1.82717362747249,1.82717362747249
"Llama","Weak positive","Weak+",12,0.301402001020809,0.239072573118661,72,2.01347603331712,2.01347603331712
"Llama","Weak positive","Weak+",13,0.319178115524765,0.291804478740207,72,2.16970513516186,2.16970513516186
"Llama","Weak positive","Weak+",14,0.320530623844307,0.503604924712896,72,2.18159193753099,2.18159193753099
"Llama","Weak positive","Weak+",15,0.737052185253965,0.673996462144924,72,5.84227883418197,2.5
"Llama","Balanced competition","Balanced",0,0.00036723340033657,0.0178838302124014,72,-0.632231011319652,-0.632231011319652
"Llama","Balanced competition","Balanced",1,0.018204706785683,0.0439675139164936,72,-0.4754626441069,-0.4754626441069
"Llama","Balanced competition","Balanced",2,-0.0100739673297438,0.0419172843400511,72,-0.723995688683655,-0.723995688683655
"Llama","Balanced competition","Balanced",3,0.00502247045127054,0.0614095638410495,72,-0.591317486421964,-0.591317486421964
"Llama","Balanced competition","Balanced",4,0.0230132746768908,0.0448404933168222,72,-0.433201539036066,-0.433201539036066
"Llama","Balanced competition","Balanced",5,0.0113325958761076,0.0971355852742475,72,-0.535859628776495,-0.535859628776495
"Llama","Balanced competition","Balanced",6,0.0517854003701359,0.0827182085362322,72,-0.180331692016389,-0.180331692016389
"Llama","Balanced competition","Balanced",7,0.0383057407776101,0.0918277841976792,72,-0.298800500869103,-0.298800500869103
"Llama","Balanced competition","Balanced",8,0.0152322644005633,0.0795575297591477,72,-0.501586575971152,-0.501586575971152
"Llama","Balanced competition","Balanced",9,0.0675310947828823,0.128471788624123,72,-0.0419473619943445,-0.0419473619943445
"Llama","Balanced competition","Balanced",10,0.080250883112765,0.128548404569706,72,0.0698431592689234,0.0698431592689234
"Llama","Balanced competition","Balanced",11,0.227598574452309,0.162672869770882,72,1.36483917607281,1.36483917607281
"Llama","Balanced competition","Balanced",12,0.225954917259514,0.237961106618119,72,1.35039355091025,1.35039355091025
"Llama","Balanced competition","Balanced",13,0.265851562273585,0.307599726248198,72,1.70103356370829,1.70103356370829
"Llama","Balanced competition","Balanced",14,0.227433439007857,0.496701129959311,72,1.36338784866581,1.36338784866581
"Llama","Balanced competition","Balanced",15,0.349511534803443,0.70755499262468,72,2.4362967375468,2.4362967375468
"Llama","Direct negative","Direct-",0,-0.000130556889214656,0.01757380751121,72,-0.636605945438484,-0.636605945438484
"Llama","Direct negative","Direct-",1,0.0192153237423756,0.0444958170480876,72,-0.466580625518529,-0.466580625518529
"Llama","Direct negative","Direct-",2,-0.00752819981426001,0.0432978837783558,72,-0.701621678189909,-0.701621678189909
"Llama","Direct negative","Direct-",3,0.00223191674902207,0.0664502077375947,72,-0.615842851537876,-0.615842851537876
"Llama","Direct negative","Direct-",4,0.0107802829394738,0.0538695151010749,72,-0.540713746587692,-0.540713746587692
"Llama","Direct negative","Direct-",5,0.0135371496693956,0.106976414857603,72,-0.516484446476834,-0.516484446476834
"Llama","Direct negative","Direct-",6,0.0601480169376979,0.0766375083264373,72,-0.10683508649377,-0.10683508649377
"Llama","Direct negative","Direct-",7,0.0266599545979665,0.0985266420400819,72,-0.401151929507611,-0.401151929507611
"Llama","Direct negative","Direct-",8,0.0123663710482005,0.078702966962556,72,-0.526774079366385,-0.526774079366385
"Llama","Direct negative","Direct-",9,0.0832132347342041,0.112657568173901,72,0.0958784063451468,0.0958784063451468
"Llama","Direct negative","Direct-",10,0.100265820510685,0.127824045865398,72,0.245748624575186,0.245748624575186
"Llama","Direct negative","Direct-",11,0.167744784202013,0.166756594945587,72,0.83880161647416,0.83880161647416
"Llama","Direct negative","Direct-",12,0.147338243253115,0.249081152156489,72,0.65945446141985,0.65945446141985
"Llama","Direct negative","Direct-",13,0.14291873594953,0.293267304595558,72,0.620612696731521,0.620612696731521
"Llama","Direct negative","Direct-",14,0.0909187497778071,0.521702069880671,72,0.163599937630587,0.163599937630587
"Llama","Direct negative","Direct-",15,0.0237353845602936,0.799176466436529,72,-0.426855125229375,-0.426855125229375
"Llama","Exception negative","Exception-",0,-0.000248079395128621,0.0176116086815387,72,-0.637638816572466,-0.637638816572466
"Llama","Exception negative","Exception-",1,0.020229919697158,0.0430533973459372,72,-0.457663636672868,-0.457663636672868
"Llama","Exception negative","Exception-",2,-0.00490713631734252,0.0410144671130217,72,-0.678585913208179,-0.678585913208179
"Llama","Exception negative","Exception-",3,0.0124635330608322,0.0649346762106694,72,-0.525920150687905,-0.525920150687905
"Llama","Exception negative","Exception-",4,0.0230609647438137,0.043553930657834,72,-0.432782404904104,-0.432782404904104
"Llama","Exception negative","Exception-",5,-0.00030807690281007,0.106057677857842,72,-0.63816611722278,-0.63816611722278
"Llama","Exception negative","Exception-",6,0.0561191506632086,0.0699983646589107,72,-0.142243620759003,-0.142243620759003
"Llama","Exception negative","Exception-",7,0.0408983193337917,0.0870245381882672,72,-0.276015081749304,-0.276015081749304
"Llama","Exception negative","Exception-",8,0.0257006819334088,0.0740891792636719,72,-0.409582698041123,-0.409582698041123
"Llama","Exception negative","Exception-",9,0.0655968404995898,0.164968211963221,72,-0.0589469604921413,-0.0589469604921413
"Llama","Exception negative","Exception-",10,0.102308775608738,0.158012972070447,72,0.263703562928385,0.263703562928385
"Llama","Exception negative","Exception-",11,0.17642251148613,0.165326171140477,72,0.915067638463918,0.915067638463918
"Llama","Exception negative","Exception-",12,0.178362546954304,0.216141906022076,72,0.932118046114722,0.932118046114722
"Llama","Exception negative","Exception-",13,0.171713570546773,0.272824228366494,72,0.873682125705664,0.873682125705664
"Llama","Exception negative","Exception-",14,0.0862783561072623,0.489735886340378,72,0.122816866887321,0.122816866887321
"Llama","Exception negative","Exception-",15,0.00305134885840946,0.804820407355378,72,-0.60864110098413,-0.60864110098413
"Llama","Update negative","Update",0,-0.000331296423812293,0.0175475645769776,72,-0.638370186841629,-0.638370186841629
"Llama","Update negative","Update",1,0.0188203534732262,0.0433225477499357,72,-0.470051904373694,-0.470051904373694
"Llama","Update negative","Update",2,-0.00840899806159238,0.0436890561879633,72,-0.709362757887417,-0.709362757887417
"Llama","Update negative","Update",3,0.0148760130784164,0.0683881084114004,72,-0.504717565258919,-0.504717565258919
"Llama","Update negative","Update",4,0.0204022839768893,0.0465555213403424,72,-0.456148777134438,-0.456148777134438
"Llama","Update negative","Update",5,0.00413627022256454,0.107201362627712,72,-0.599106042563101,-0.599106042563101
"Llama","Update negative","Update",6,0.0457406054613077,0.0848146517883889,72,-0.233457636903373,-0.233457636903373
"Llama","Update negative","Update",7,0.0202649761405256,0.112216706557538,72,-0.457355535785018,-0.457355535785018
"Llama","Update negative","Update",8,0.00126126765583952,0.0672263542003688,72,-0.624373604194795,-0.624373604194795
"Llama","Update negative","Update",9,0.0336466897796426,0.145321742636314,72,-0.339747545438338,-0.339747545438338
"Llama","Update negative","Update",10,0.0645032190821237,0.142385660771649,72,-0.0685584811521193,-0.0685584811521193
"Llama","Update negative","Update",11,0.0973256091690726,0.17466997665188,72,0.219907961980913,0.219907961980913
"Llama","Update negative","Update",12,0.0886481718884574,0.260699666312208,72,0.143644488747611,0.143644488747611
"Llama","Update negative","Update",13,0.0764492037188676,0.314190609357467,72,0.0364313044410265,0.0364313044410265
"Llama","Update negative","Update",14,-0.00698563777324226,0.467931095390253,72,-0.69685325816514,-0.69685325816514
"Llama","Update negative","Update",15,-0.226909072862731,0.698865616374156,72,-2.62969638487848,-2.5
"Gemma","Stable positive","Stable+",0,1.6912862410148,7.88776963404437,72,0.556804693373252,0.556804693373252
"Gemma","Stable positive","Stable+",1,1.44209241204792,5.81495138566678,72,0.530008076147316,0.530008076147316
"Gemma","Stable positive","Stable+",2,0.373082958989673,2.36334922753472,72,0.415054037183873,0.415054037183873
"Gemma","Stable positive","Stable+",3,1.5740259985129,2.47950940411054,72,0.544195320792997,0.544195320792997
"Gemma","Stable positive","Stable+",4,1.30637825363212,1.89763449432148,72,0.515414294390019,0.515414294390019
"Gemma","Stable positive","Stable+",5,1.36825425922871,3.27276053437433,72,0.52206802110675,0.52206802110675
"Gemma","Stable positive","Stable+",6,1.34804249761833,1.67287560213633,72,0.519894585104821,0.519894585104821
"Gemma","Stable positive","Stable+",7,1.11836855113506,1.07376970145411,72,0.495197003883819,0.495197003883819
"Gemma","Stable positive","Stable+",8,1.38039890014463,1.2713981683757,72,0.523373973566807,0.523373973566807
"Gemma","Stable positive","Stable+",9,0.88366830514537,2.78562196460635,72,0.469958928443938,0.469958928443938
"Gemma","Stable positive","Stable+",10,0.785723822812239,3.59511024427578,72,0.459426641936867,0.459426641936867
"Gemma","Stable positive","Stable+",11,1.35387068490187,3.95741771576859,72,0.520521308906151,0.520521308906151
"Gemma","Stable positive","Stable+",12,-0.890362813240952,5.26480463352996,72,0.279191632867711,0.279191632867711
"Gemma","Stable positive","Stable+",13,-0.0597514907519023,4.8999444002493,72,0.368509950919742,0.368509950919742
"Gemma","Stable positive","Stable+",14,-1.01162921388944,6.39477541041422,72,0.266151465163653,0.266151465163653
"Gemma","Stable positive","Stable+",15,-2.5628703493211,5.46959295365415,72,0.0993414959777283,0.0993414959777283
