"model","n_prompts","n_groups","n_conditions","n_layers","hidden_dim","n_shuffles","real_alignment_mean","shuffle_alignment_mean_mean","shuffle_alignment_mean_sd","real_vs_shuffle_alignment_mean_z","real_alignment_positive_fraction","shuffle_alignment_positive_fraction_mean","shuffle_alignment_positive_fraction_sd","real_vs_shuffle_alignment_positive_fraction_z","real_path_length","shuffle_path_length_mean","shuffle_path_length_sd","real_vs_shuffle_path_length_z","real_endpoint_distance","shuffle_endpoint_distance_mean","shuffle_endpoint_distance_sd","real_vs_shuffle_endpoint_distance_z","real_detour_ratio","shuffle_detour_ratio_mean","shuffle_detour_ratio_sd","real_vs_shuffle_detour_ratio_z","real_curvature_sum","shuffle_curvature_sum_mean","shuffle_curvature_sum_sd","real_vs_shuffle_curvature_sum_z","real_curvature_mean","shuffle_curvature_mean_mean","shuffle_curvature_mean_sd","real_vs_shuffle_curvature_mean_z","alignment_gain","detour_reduction_log2","curvature_reduction_log2","model_f"
"qwen",96,8,12,28,1536,50,0.074202798306942,0.0428449953719974,0.00613414155671035,5.11201162298598,0.812114197530864,0.543425925925926,0.0561821852888727,4.78244607651732,3.11154365539551,9.68776670455933,0.554122202079508,-11.8678208966986,0.89018726348877,0.89018726348877,0,NA,3.49573993682861,10.8826783752441,0.622459578146038,-11.8673383746735,44.5807304382324,53.8489513397217,1.53829340400725,-6.02500204274788,1.71464347839355,2.07111353158951,0.059165134460749,-6.02500199559997,0.0313578029349446,1.6383639015345,0.272498007949111,"Qwen"
"llama",96,8,12,16,2048,50,0.111402869224548,0.0695575654506683,0.00751584662756033,5.56761012397922,0.9875,0.554583333333333,0.066323729397017,6.52732695526222,4.40184450149536,9.52309013366699,0.811967133859332,-6.30720803664801,0.981145679950714,0.981145679950714,0,NA,4.48685884475708,9.7071166229248,0.827640487197278,-6.30739778795212,24.2742671966553,29.0270836639404,1.13268406165867,-4.19606545917603,1.73387587070465,2.07336314916611,0.0809059799201969,-4.19607152396295,0.04184530377388,1.11333702686319,0.25797220755915,"Llama"
"gemma",96,8,12,26,2304,50,0.0919406414031982,0.0410317747294903,0.00904050441500631,5.63119758994913,0.916666666666667,0.5312,0.0593425000562427,6.49562566965219,3.95527386665344,13.3483001899719,0.816801428839914,-11.4997672526837,0.96947455406189,0.96947455406189,0,NA,4.08003377914429,13.7690550041199,0.842525372051706,-11.4999756047477,40.9352722167969,49.7255679321289,1.36894076818614,-6.42123890208869,1.70563638210297,2.07189868688583,0.0570392131873671,-6.42123697568791,0.050908866673708,1.75477654640017,0.280643341897183,"Gemma"
