"model","metric","value","label_hjust","empirical_one_sided_p"
"Gemma","Chord alignment",5.63119758994912,-0.22,0.0196078431372549
"Llama","Chord alignment",5.56761012397917,-0.22,0.0196078431372549
"Qwen","Chord alignment",5.11201162298598,-0.22,0.0196078431372549
"Gemma","Detour ratio",11.4999756047477,1.18,0.0196078431372549
"Llama","Detour ratio",6.3073977879521,-0.22,0.0196078431372549
"Qwen","Detour ratio",11.8673383746734,1.18,0.0196078431372549
"Gemma","Turning curvature",6.42123697568792,-0.22,0.0196078431372549
"Llama","Turning curvature",4.19607152396295,-0.22,0.0196078431372549
"Qwen","Turning curvature",6.02500199560001,-0.22,0.0196078431372549
