"revision","training_step","candidate_pair_accuracy","native_mean_prompt_spearman","shuffle_mean","shuffle_q95","real_minus_shuffle_mean","empirical_p_upper"
"step0",0,0.471698113207547,-0.0129304657606544,0.0115604455227097,0.0415754057263491,-0.0244909112833641,0.88
"step128",128,0.528301886792453,-0.0180762633592822,-0.00834968759497061,0.0169019659585697,-0.00972657576431161,0.737
"step1000",1000,0.641509433962264,0.221929014381845,0.0836276307974421,0.169468267581475,0.138301383584402,0.001
"step4000",4000,0.773584905660377,0.586357039187228,0.171647699949587,0.413260324581079,0.414709339237641,0.001
"step16000",16000,0.830188679245283,0.588863966222457,0.217734029054784,0.423327615780446,0.371129937167673,0.001
"step64000",64000,0.811320754716981,0.46615648502441,0.175254288461836,0.350415622113735,0.290902196562574,0.001
"step143000",143000,0.849056603773585,0.41786515371421,0.0488731243448225,0.266974534899063,0.368992029369388,0.001
