model_key,num_layers,decision_layers,frozen_window,frozen_layers,frozen_k,pca_discovery_reproduction_corr,pca_explained_variance_ratio_discovery,topology_separation,topology_separation_ci95,mechanism_macro_f1,mechanism_macro_f1_ci95,mechanism_null_95,mechanism_empirical_p,downstream_corr,downstream_corr_ci95,downstream_r2,downstream_null_95,downstream_empirical_p,composite_score,candidate_count,frozen_rank,frozen_rank_percentile,role_recurrence,window_location_recurrence
qwen,28,"[19, 20, 21, 22, 23, 24, 25]",L5_6,"[5, 6]",500,0.9999999999999997,"[0.9184834957122803, 0.0466076098382473, 0.013902142643928528]",-0.1850111174448878,"[-0.18879577133853304, -0.18094167392870658]",0.7386393303234614,"[0.7108409901662084, 0.7658339568256611]",0.5209895572940446,0.001,0.6585788206875168,"[0.5903609913609408, 0.7282679064277194]",0.4269638946886901,0.6233173606542366,0.033,1.4914571205117688,112,58,49.107142857142854,False,False
llama,16,"[11, 12, 13, 14]",L0_2,"[0, 1, 2]",500,0.9999999999999993,"[0.8323270678520203, 0.1296389251947403, 0.028202148154377937]",-0.09182935577413219,"[-0.0922539839001598, -0.09135665496675426]",0.66176358709637,"[0.6406470870763239, 0.6835816794411522]",0.5098121131135105,0.003,0.41051420090970153,"[0.3490938248050639, 0.47921357926516717]",0.1545723849072853,0.4516951326878932,0.078,1.2736986418215706,40,38,7.5,False,False
gemma,26,"[18, 19, 20, 21, 22, 23]",L1_6,"[1, 2, 3, 4, 5, 6]",100,0.9999999999999998,"[0.966821551322937, 0.01873299479484558, 0.0063635120168328285]",-0.09028308502096465,"[-0.09120951390554469, -0.08933542598568658]",0.6488536660269709,"[0.6064698138446786, 0.6870387843364683]",0.4746854439115753,0.001,0.6240724904591525,"[0.5871255986751998, 0.6645159564763299]",0.33850325608044873,0.4038590459791237,0.001,1.4401266555156382,100,5,96.0,False,True
