model,n_train_prompts,n_heldout_prompts,n_train_problems,n_heldout_problems,decision_layers,pca_explained_variance,heldout_macro_f1,heldout_accuracy,label_shuffle_f1_mean,label_shuffle_f1_sd,label_shuffle_f1_q95,heldout_f1_vs_shuffle_z,heldout_f1_exceeds_shuffle_q95
qwen,264,120,44,20,20;21;22;23;24;25,0.9595914483070374,0.5825301634896837,0.5916666666666667,0.27643409819828507,0.11541199642687759,0.4936851056211958,2.6522031917655466,True
llama,264,120,44,20,12;13;14;15,0.990203320980072,0.45634920634920634,0.49166666666666664,0.2785060971938184,0.08066945788120321,0.38958018185071325,2.2045903595544942,True
gemma,264,120,44,20,18;19;20;21;22;23,0.9752377271652222,0.5696225071225071,0.5666666666666667,0.2558266054873303,0.05003024091041422,0.3376366572064671,6.27212453757858,True
