model,shuffle_id,macro_f1
qwen,0,0.4060513602847698
qwen,1,0.2077112423916935
qwen,2,0.4129651860744297
qwen,3,0.37983377287620873
qwen,4,0.2169371576332891
qwen,5,0.15983026874115983
qwen,6,0.18526315789473682
qwen,7,0.3109693425482899
qwen,8,0.15320712849316967
qwen,9,0.17270557345745316
qwen,10,0.2070175438596491
qwen,11,0.3098245614035087
qwen,12,0.2007017543859649
qwen,13,0.13884680134680136
qwen,14,0.16032118675785104
qwen,15,0.17270557345745316
qwen,16,0.29565602836879434
qwen,17,0.3106122448979592
qwen,18,0.1524632581078432
qwen,19,0.3098245614035087
qwen,20,0.18904560823066763
qwen,21,0.30645686380900705
qwen,22,0.4138013901212659
qwen,23,0.17270557345745316
qwen,24,0.4129651860744297
qwen,25,0.4503204667146168
qwen,26,0.1455808080808081
qwen,27,0.4518379673018848
qwen,28,0.4060513602847698
qwen,29,0.17694717493806442
qwen,30,0.20095693779904308
qwen,31,0.5227939575987114
qwen,32,0.20707918236522357
qwen,33,0.4060513602847698
qwen,34,0.4936851056211958
qwen,35,0.20707918236522357
qwen,36,0.17270557345745316
qwen,37,0.3899805068226121
qwen,38,0.1670848854659445
qwen,39,0.22047872340425534
qwen,40,0.17270557345745316
qwen,41,0.15320712849316967
qwen,42,0.17960971724412586
qwen,43,0.30645686380900705
qwen,44,0.3621516790854343
qwen,45,0.3149259703881553
qwen,46,0.20641533527781405
qwen,47,0.15320712849316967
qwen,48,0.20707918236522357
qwen,49,0.20095693779904308
qwen,50,0.20051953592187152
qwen,51,0.1905300886625165
qwen,52,0.3098245614035087
qwen,53,0.20095693779904308
qwen,54,0.16023391812865498
qwen,55,0.11951447245564893
qwen,56,0.2125
qwen,57,0.19208576998050683
qwen,58,0.4060513602847698
qwen,59,0.4252631578947368
qwen,60,0.2007017543859649
qwen,61,0.19208576998050683
qwen,62,0.3126460481099656
qwen,63,0.19208576998050683
qwen,64,0.3137908292547468
qwen,65,0.2015753669889008
qwen,66,0.2077112423916935
qwen,67,0.3899805068226121
qwen,68,0.17270557345745316
qwen,69,0.20707918236522357
qwen,70,0.3115239358987445
qwen,71,0.19224747474747475
qwen,72,0.3126460481099656
qwen,73,0.3899805068226121
qwen,74,0.16023391812865498
qwen,75,0.4252631578947368
qwen,76,0.2125
qwen,77,0.4239393125671321
qwen,78,0.22155528878217953
qwen,79,0.17694717493806442
qwen,80,0.3109693425482899
qwen,81,0.1964912280701754
qwen,82,0.15320712849316967
qwen,83,0.3109693425482899
qwen,84,0.36534613845538216
qwen,85,0.11951447245564893
qwen,86,0.46633516086531507
qwen,87,0.4936851056211958
qwen,88,0.47771861264102505
qwen,89,0.15320712849316967
qwen,90,0.16023391812865498
qwen,91,0.20493595751327712
qwen,92,0.4331519274376417
qwen,93,0.17270557345745316
qwen,94,0.4252631578947368
qwen,95,0.4936851056211958
qwen,96,0.30533476548514144
qwen,97,0.4936851056211958
qwen,98,0.3899805068226121
qwen,99,0.4788509073370712
qwen,100,0.30533476548514144
qwen,101,0.3137908292547468
qwen,102,0.17270557345745316
qwen,103,0.1533138617765947
qwen,104,0.30645686380900705
qwen,105,0.4936851056211958
qwen,106,0.3115239358987445
qwen,107,0.40739386460071153
qwen,108,0.5160988159524827
qwen,109,0.20493595751327712
qwen,110,0.15320712849316967
qwen,111,0.4621917111619629
qwen,112,0.4239393125671321
qwen,113,0.1670848854659445
qwen,114,0.20707918236522357
qwen,115,0.3109693425482899
qwen,116,0.47771861264102505
qwen,117,0.4060513602847698
qwen,118,0.30033289911709365
qwen,119,0.3149259703881553
qwen,120,0.17960971724412586
qwen,121,0.5227939575987114
qwen,122,0.3126460481099656
qwen,123,0.21325048123019272
qwen,124,0.20707918236522357
qwen,125,0.2015753669889008
qwen,126,0.4936851056211958
qwen,127,0.20095693779904308
qwen,128,0.195906432748538
qwen,129,0.18526315789473682
qwen,130,0.3126460481099656
qwen,131,0.2007017543859649
qwen,132,0.1718676122931442
qwen,133,0.16526610644257703
qwen,134,0.4060513602847698
qwen,135,0.2070175438596491
qwen,136,0.214643998311931
qwen,137,0.19208576998050683
qwen,138,0.30065789473684207
qwen,139,0.3137908292547468
qwen,140,0.17270557345745316
qwen,141,0.3115239358987445
qwen,142,0.47771861264102505
qwen,143,0.2163265306122449
qwen,144,0.20535893082582388
qwen,145,0.3126460481099656
qwen,146,0.15320712849316967
qwen,147,0.4503204667146168
qwen,148,0.4788509073370712
qwen,149,0.16526610644257703
qwen,150,0.4621917111619629
qwen,151,0.195906432748538
qwen,152,0.16023391812865498
qwen,153,0.17270557345745316
qwen,154,0.20493595751327712
qwen,155,0.21099656357388316
qwen,156,0.30533476548514144
qwen,157,0.3109693425482899
qwen,158,0.214643998311931
qwen,159,0.20753367003367004
qwen,160,0.4621917111619629
qwen,161,0.1670848854659445
qwen,162,0.2077112423916935
qwen,163,0.20095693779904308
qwen,164,0.14578438424039
qwen,165,0.5080701754385964
qwen,166,0.16023391812865498
qwen,167,0.16526610644257703
qwen,168,0.20707918236522357
qwen,169,0.4621917111619629
qwen,170,0.20051953592187152
qwen,171,0.2015753669889008
qwen,172,0.3126460481099656
qwen,173,0.19208576998050683
qwen,174,0.18904560823066763
