scope,n_at_risk,n_crossings,crossing_rate,auroc,average_precision,brier,zero_threshold_accuracy,sensitivity,specificity,crossing_rate_ci_low,crossing_rate_ci_high,auroc_ci_low,auroc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_ci_low,brier_ci_high,zero_threshold_accuracy_ci_low,zero_threshold_accuracy_ci_high
pooled_all,378,18,0.047619047619047616,0.9722222222222222,0.6511304850080191,0.03091257368638975,0.9788359788359788,0.7777777777777778,0.9888888888888889,0.023376623376623377,0.07408119658119657,0.9496878841937744,0.992713791485283,0.43369163791614335,0.8969375070731168,0.017688759592147434,0.04580031456909807,0.9627639726897428,0.9915972254823717
pooled_closure,188,15,0.0797872340425532,0.9764932562620424,0.7150912983010169,0.04703152109157853,0.9680851063829787,0.8666666666666667,0.976878612716763,0.03844086021505377,0.12367262423714036,0.951151569847782,0.995603147417534,0.48262745271476887,0.9568299194677872,0.024300122714583268,0.07045095557822144,0.9398656648451731,0.9904845505617977
qwen_all,221,1,0.004524886877828055,0.9909090909090909,0.3333333333333333,0.006465632616518084,0.9819004524886877,1.0,0.9818181818181818,0.0,0.01809954751131222,0.9767441860465117,1.0,0.19083333333333338,1.0,0.0016742689669475132,0.014190209769336971,0.9632942575603126,0.9956521739130435
qwen_closure,87,0,0.0,,,0.006904131267958966,0.9540229885057471,,0.9540229885057471,0.0,0.0,,,,,0.0007158504505723158,0.017236842223050226,0.9080459770114943,1.0
llama_all,99,11,0.1111111111111111,0.9669421487603305,0.8765687174778085,0.06687192502695961,0.9797979797979798,0.8181818181818182,1.0,0.03815713668443036,0.2235661764705882,0.9285714285714286,1.0,0.662488425925926,1.0,0.028967190318336077,0.12240783407811956,0.9494755244755245,1.0
llama_closure,45,9,0.2,0.9969135802469136,0.9888888888888892,0.10246443374124198,1.0,1.0,1.0,0.06379654255319149,0.35909090909090896,0.9797087604846225,1.0,0.9,1.0,0.035790593585789336,0.18051917560329564,1.0,1.0
gemma_all,58,6,0.10344827586206896,0.9647435897435898,0.7878306878306878,0.06268495633682457,0.9655172413793104,0.6666666666666666,1.0,0.016666666666666666,0.22043395675043825,0.9099446188731903,1.0,0.5524107142857143,1.0,0.00879533138455773,0.14127613747430348,0.8928571428571429,1.0
gemma_closure,56,6,0.10714285714285714,0.9633333333333334,0.7878306878306879,0.06482798261693652,0.9642857142857143,0.6666666666666666,1.0,0.017857142857142856,0.22423623714458552,0.9047619047619048,1.0,0.5426537698412699,1.0,0.009160713867124285,0.14425224959774116,0.8909090909090909,1.0
