probability_bin,n,mean_predicted_probability,observed_crossing_rate,mean_predicted_post_margin
"(-0.0009999999999806, 1.97e-05]",76,2.5807300642485613e-06,0.0,-4.264696007732939
"(1.97e-05, 0.00143]",75,0.0004197048315930098,0.0,-2.1124461105365375
"(0.00143, 0.0154]",76,0.006208360470043189,0.0,-1.1729956017051624
"(0.0154, 0.0783]",75,0.04421922312696498,0.0,-0.5112536145229591
"(0.0783, 0.614]",76,0.17226393044378954,0.23684210526315788,-0.0537858411529712
