task,model,horizon,null_index,balanced_accuracy
lexical_category,qwen,0.25,112,0.5527777777777778
lexical_category,qwen,0.25,113,0.5805555555555556
lexical_category,qwen,0.25,114,0.5688271604938271
lexical_category,qwen,0.25,115,0.5592592592592593
lexical_category,qwen,0.25,116,0.5447530864197531
lexical_category,qwen,0.25,117,0.5253086419753087
lexical_category,qwen,0.25,118,0.5302469135802469
lexical_category,qwen,0.25,119,0.5601851851851852
lexical_category,qwen,0.25,120,0.5515432098765433
lexical_category,qwen,0.25,121,0.5410493827160494
lexical_category,qwen,0.25,122,0.595679012345679
lexical_category,qwen,0.25,123,0.5348765432098765
lexical_category,qwen,0.25,124,0.5407407407407407
lexical_category,qwen,0.25,125,0.5712962962962963
lexical_category,qwen,0.25,126,0.5962962962962963
lexical_category,qwen,0.25,127,0.575925925925926
lexical_category,qwen,0.25,128,0.5469135802469136
lexical_category,qwen,0.25,129,0.542283950617284
lexical_category,qwen,0.25,130,0.5833333333333334
lexical_category,qwen,0.25,131,0.5777777777777777
lexical_category,qwen,0.25,132,0.5567901234567901
lexical_category,qwen,0.25,133,0.5475308641975309
lexical_category,qwen,0.25,134,0.5521604938271605
lexical_category,qwen,0.25,135,0.5354938271604939
lexical_category,qwen,0.25,136,0.5200617283950617
lexical_category,qwen,0.25,137,0.5101851851851852
lexical_category,qwen,0.25,138,0.5774691358024692
lexical_category,qwen,0.25,139,0.5067901234567902
lexical_category,qwen,0.25,140,0.5179012345679013
lexical_category,qwen,0.25,141,0.5182098765432099
lexical_category,qwen,0.25,142,0.6040123456790123
lexical_category,qwen,0.25,143,0.5333333333333333
lexical_category,qwen,0.25,144,0.5216049382716049
lexical_category,qwen,0.25,145,0.5558641975308642
lexical_category,qwen,0.25,146,0.5904320987654321
lexical_category,qwen,0.25,147,0.6009259259259259
lexical_category,qwen,0.25,148,0.5641975308641975
lexical_category,qwen,0.25,149,0.5231481481481481
lexical_category,qwen,0.25,150,0.5188271604938272
lexical_category,qwen,0.25,151,0.5172839506172839
lexical_category,qwen,0.25,152,0.5802469135802469
lexical_category,qwen,0.25,153,0.5993827160493828
lexical_category,qwen,0.25,154,0.5481481481481482
lexical_category,qwen,0.25,155,0.5475308641975309
lexical_category,qwen,0.25,156,0.5629629629629629
lexical_category,qwen,0.25,157,0.5737654320987654
