task,representation,null_index,future_alignment,leave_one_out_alignment
relation_graph,cached_mixed_raw,0,0.0038545734714716673,0.00714766513556242
relation_graph,cached_mixed_raw,1,0.003283341880887747,0.006281734444200993
relation_graph,cached_mixed_raw,2,0.0037918759044259787,0.007031990680843592
relation_graph,cached_mixed_raw,3,0.0038648624904453754,0.007067919708788395
relation_graph,cached_mixed_raw,4,0.0032954851631075144,0.006198999937623739
relation_graph,cached_mixed_raw,5,0.003045308170840144,0.0060147386975586414
relation_graph,cached_mixed_raw,6,0.004081955645233393,0.00755698699504137
relation_graph,cached_mixed_raw,7,0.0037350296042859554,0.006957758218050003
relation_graph,cached_mixed_raw,8,0.003390211146324873,0.006503772921860218
relation_graph,cached_mixed_raw,9,0.004514917731285095,0.008057591505348682
relation_graph,cached_mixed_raw,10,0.003845690283924341,0.007114011328667402
relation_graph,cached_mixed_raw,11,0.004155903588980436,0.007631597574800253
relation_graph,cached_mixed_raw,12,0.003450690070167184,0.006528750061988831
relation_graph,cached_mixed_raw,13,0.002893340541049838,0.005775763187557459
relation_graph,cached_mixed_raw,14,0.004269464407116175,0.0076792011968791485
relation_graph,cached_mixed_raw,15,0.0038432166911661625,0.0070816040970385075
relation_graph,cached_mixed_raw,16,0.0033334812615066767,0.0063370149582624435
relation_graph,cached_mixed_raw,17,0.003934402484446764,0.007260582875460386
relation_graph,cached_mixed_raw,18,0.00457014562562108,0.008101223967969418
relation_graph,cached_mixed_raw,19,0.004086711443960667,0.007428360171616077
relation_graph,cached_mixed_raw,20,0.0033444322180002928,0.006397361401468515
relation_graph,cached_mixed_raw,21,0.004260597750544548,0.0075589981861412525
relation_graph,cached_mixed_raw,22,0.004010564181953669,0.007329413667321205
relation_graph,cached_mixed_raw,23,0.0033720540814101696,0.006352260708808899
relation_graph,cached_mixed_raw,24,0.003809420159086585,0.007002540398389101
relation_graph,cached_mixed_raw,25,0.0032328516244888306,0.006329083815217018
relation_graph,cached_mixed_raw,26,0.003974064718931913,0.007343553472310305
relation_graph,cached_mixed_raw,27,0.003762462642043829,0.007112436927855015
relation_graph,cached_mixed_raw,28,0.004161507822573185,0.007592548616230488
relation_graph,cached_mixed_raw,29,0.003978588618338108,0.007309929933398962
relation_graph,cached_mixed_raw,30,0.0038085475098341703,0.007097878027707338
relation_graph,cached_mixed_raw,31,0.004106260370463133,0.007441074587404728
relation_graph,cached_mixed_raw,32,0.003812661161646247,0.007109193131327629
relation_graph,cached_mixed_raw,33,0.003572664922103286,0.006781240459531546
relation_graph,cached_mixed_raw,34,0.0037723376881331205,0.0069658709689974785
relation_graph,cached_mixed_raw,35,0.00307075516320765,0.0060779559426009655
relation_graph,cached_mixed_raw,36,0.003994328901171684,0.007311185356229544
relation_graph,cached_mixed_raw,37,0.0045266179367899895,0.007915128953754902
relation_graph,cached_mixed_raw,38,0.003538011107593775,0.006668747868388891
relation_graph,cached_mixed_raw,39,0.0038193496875464916,0.0070470161736011505
relation_graph,cached_mixed_raw,40,0.0027694301679730415,0.00559186888858676
relation_graph,cached_mixed_raw,41,0.0035121007822453976,0.006638708990067244
relation_graph,cached_mixed_raw,42,0.003336346009746194,0.006403887644410133
relation_graph,cached_mixed_raw,43,0.0037028442602604628,0.006960226688534021
relation_graph,cached_mixed_raw,44,0.003615552093833685,0.0068198880180716515
relation_graph,cached_mixed_raw,45,0.0035077263601124287,0.00669777812436223
relation_graph,cached_mixed_raw,46,0.0034954159054905176,0.006553089711815119
relation_graph,cached_mixed_raw,47,0.0031137980986386538,0.006091445218771696
relation_graph,cached_mixed_raw,48,0.003387163858860731,0.0064172218553721905
relation_graph,cached_mixed_raw,49,0.0032793297432363033,0.0063431477174162865
relation_graph,cached_mixed_raw,50,0.003793173236772418,0.00704574678093195
relation_graph,cached_mixed_raw,51,0.00376368360593915,0.007027398329228163
relation_graph,cached_mixed_raw,52,0.0035497723147273064,0.006610598415136337
relation_graph,cached_mixed_raw,53,0.0037590202409774065,0.006978004239499569
relation_graph,cached_mixed_raw,54,0.00353832240216434,0.006561921909451485
relation_graph,cached_mixed_raw,55,0.0030752576421946287,0.005973245017230511
relation_graph,cached_mixed_raw,56,0.00404044846072793,0.007373300846666098
relation_graph,cached_mixed_raw,57,0.0037133274599909782,0.0068818386644124985
relation_graph,cached_mixed_raw,58,0.0037021134048700333,0.006957578007131815
relation_graph,cached_mixed_raw,59,0.003277017269283533,0.006318289786577225
relation_graph,cached_mixed_raw,60,0.0036664758808910847,0.00684692058712244
relation_graph,cached_mixed_raw,61,0.00419366080313921,0.007597428280860186
relation_graph,cached_mixed_raw,62,0.003970592748373747,0.0073238639160990715
relation_graph,cached_mixed_raw,63,0.004087930545210838,0.007426912430673838
relation_graph,cached_mixed_raw,64,0.003310296218842268,0.006405191496014595
relation_graph,cached_mixed_raw,65,0.003276732051745057,0.006290223449468613
relation_graph,cached_mixed_raw,66,0.0041360328905284405,0.0075838337652385235
relation_graph,cached_mixed_raw,67,0.003512444905936718,0.0065926979295909405
relation_graph,cached_mixed_raw,68,0.003330159466713667,0.006265108473598957
relation_graph,cached_mixed_raw,69,0.003907067235559225,0.007194531615823507
relation_graph,cached_mixed_raw,70,0.0033133665565401316,0.006281509064137936
relation_graph,cached_mixed_raw,71,0.0034248502925038338,0.006484432611614466
relation_graph,cached_mixed_raw,72,0.004164792597293854,0.0075411018915474415
relation_graph,cached_mixed_raw,73,0.0037106340751051903,0.006899296306073666
relation_graph,cached_mixed_raw,74,0.003445743815973401,0.0065110246650874615
relation_graph,cached_mixed_raw,75,0.004052131902426481,0.007465293165296316
relation_graph,cached_mixed_raw,76,0.0034747791942209005,0.006546751596033573
relation_graph,cached_mixed_raw,77,0.004005499184131622,0.007308091968297958
relation_graph,cached_mixed_raw,78,0.0033505475148558617,0.006394647993147373
relation_graph,cached_mixed_raw,79,0.003659597598016262,0.006836768239736557
relation_graph,cached_mixed_raw,80,0.003983398899435997,0.007243657950311899
relation_graph,cached_mixed_raw,81,0.003345636883750558,0.0064261360093951225
relation_graph,cached_mixed_raw,82,0.0037591755390167236,0.006998580414801836
