task,task_scope,representation,n_prompts,n_states,hidden_dim,real_future_alignment,real_future_alignment_ci95_low,real_future_alignment_ci95_high,donor_future_alignment_mean,donor_future_alignment_q95,donor_future_alignment_p,real_leave_one_out_alignment,real_leave_one_out_alignment_ci95_low,real_leave_one_out_alignment_ci95_high,donor_leave_one_out_alignment_mean,donor_leave_one_out_alignment_q95,donor_leave_one_out_alignment_p,passes_joint_direction_gate
relation_graph,original,cached_mixed_raw,96,16,2048,0.02167384885251522,0.020137760788202286,0.02316996641457081,0.003702703679691832,0.004430601699277758,0.005,0.030347684398293495,0.02857387252151966,0.03217044100165367,0.006902334455812546,0.007879396434873343,0.005,True
relation_graph,original,reextracted_mixed_raw,96,16,2048,0.02166694402694702,0.020138641819357872,0.023190012201666832,0.0036856869876796578,0.004354323027655482,0.005,0.03033997118473053,0.028625955805182457,0.03212650865316391,0.006880256899599754,0.0077973085455596445,0.005,True
relation_graph,original,cached_truncated_raw,96,15,2048,-0.004263598006218672,-0.006144397426396608,-0.0022569531574845314,0.003204867049546248,0.0035749453119933603,1.0,-0.01695890910923481,-0.01957591623067856,-0.014319171197712421,-0.003591861448311551,-0.0030576816061511636,1.0,False
relation_graph,original,consistent_block_raw,96,16,2048,-0.06012523174285889,-0.061175718903541565,-0.0591118149459362,-0.060648286761950006,-0.060335778445005414,0.01,-0.07436034828424454,-0.07587825506925583,-0.07285021245479584,-0.07256465966827307,-0.07209808602929116,1.0,False
relation_graph,original,common_rmsnorm,96,16,2048,-0.22666268050670624,-0.22750325500965118,-0.22586031258106232,-0.15873246718591183,-0.1577618360519409,1.0,-0.40015554428100586,-0.40116509795188904,-0.39919766783714294,-0.2656776976944813,-0.2637128233909607,1.0,False
lexical_category,original,cached_mixed_raw,96,16,2048,0.07292122393846512,0.07229741662740707,0.0735420286655426,0.059960299007706906,0.060335949435830115,0.005,0.09215406328439713,0.09135010838508606,0.09294547140598297,0.0750206814489173,0.07557258233428002,0.005,True
lexical_category,original,reextracted_mixed_raw,96,16,2048,0.07302390038967133,0.07240074872970581,0.07365713268518448,0.0600598888967804,0.060502605885267256,0.005,0.09226524084806442,0.09146066009998322,0.09304056316614151,0.07512730434911336,0.075742906332016,0.005,True
lexical_category,original,cached_truncated_raw,96,15,2048,-0.024451127275824547,-0.025552628561854362,-0.023400824517011642,-0.023079938522011192,-0.02292561661452055,1.0,-0.05230497196316719,-0.053918205201625824,-0.05073785409331322,-0.04932470529822249,-0.049127157777547836,1.0,False
lexical_category,original,consistent_block_raw,96,16,2048,-0.059052396565675735,-0.059734687209129333,-0.058338381350040436,-0.06139138765895187,-0.061209680140018465,0.005,-0.08426645398139954,-0.08513664454221725,-0.08341159671545029,-0.08652454243982258,-0.08625098317861557,0.005,True
lexical_category,original,common_rmsnorm,96,16,2048,-0.22604767978191376,-0.22693417966365814,-0.22521337866783142,-0.20236299894562917,-0.20192319005727768,1.0,-0.38434410095214844,-0.38529491424560547,-0.3834470808506012,-0.3430580944571663,-0.3423211991786957,1.0,False
arithmetic_addition,original,cached_mixed_raw,96,16,2048,0.07343267649412155,0.07282878458499908,0.07401853799819946,0.06622962065827308,0.06651381701231003,0.005,0.09330176562070847,0.09253580123186111,0.09406550228595734,0.08362899683228689,0.08403362706303596,0.005,True
arithmetic_addition,original,reextracted_mixed_raw,96,16,2048,0.0733753964304924,0.0728035494685173,0.07397262006998062,0.06623148633607069,0.06652697622776031,0.005,0.09325218200683594,0.09251098334789276,0.09398926794528961,0.08365629789367993,0.08405796438455582,0.005,True
arithmetic_addition,original,cached_truncated_raw,96,15,2048,-0.023141032084822655,-0.02355429157614708,-0.02274390310049057,-0.022240096759331886,-0.022141606360673905,1.0,-0.04842386767268181,-0.04898573085665703,-0.047836530953645706,-0.046520542334671594,-0.04638687931001186,1.0,False
arithmetic_addition,original,consistent_block_raw,96,16,2048,-0.03866206482052803,-0.03927604481577873,-0.038047436624765396,-0.039610073756632495,-0.03950345665216446,0.005,-0.056894559413194656,-0.05770758166909218,-0.056079600006341934,-0.05773646043772673,-0.05758430883288383,0.005,True
arithmetic_addition,original,common_rmsnorm,96,16,2048,-0.23444817960262299,-0.2347513884305954,-0.23413829505443573,-0.21734317178702234,-0.21703242361545563,1.0,-0.3922264575958252,-0.3925780653953552,-0.3918747901916504,-0.36278033630931794,-0.3622836798429489,1.0,False
arc_challenge,original,cached_mixed_raw,96,16,2048,0.07530338317155838,0.07425893098115921,0.07638902962207794,0.061285510340976956,0.061594850942492486,0.005,0.0940530076622963,0.09280107915401459,0.09540578722953796,0.07588024182834817,0.07629228383302689,0.005,True
arc_challenge,original,reextracted_mixed_raw,96,16,2048,0.07530338317155838,0.0742921531200409,0.07638678699731827,0.06129176227666026,0.06156715452671051,0.005,0.0940530076622963,0.09280572831630707,0.09544555842876434,0.07589118549572163,0.07626272216439248,0.005,True
arc_challenge,original,cached_truncated_raw,96,15,2048,-0.023817462846636772,-0.02521408721804619,-0.022361861541867256,-0.01940410846292074,-0.019271139241755008,1.0,-0.05367554351687431,-0.05566127970814705,-0.0516677126288414,-0.04596378951890385,-0.045781273022294046,1.0,False
arc_challenge,original,consistent_block_raw,96,16,2048,-0.06749756634235382,-0.06903085112571716,-0.065953828394413,-0.0662463711733794,-0.06609555035829544,1.0,-0.09669851511716843,-0.09888817369937897,-0.09442797303199768,-0.09305746153221657,-0.09283799678087234,1.0,False
arc_challenge,original,common_rmsnorm,96,16,2048,-0.22878320515155792,-0.22970665991306305,-0.22783547639846802,-0.19111642106693594,-0.19078508168458938,1.0,-0.3839387893676758,-0.3850879967212677,-0.38276758790016174,-0.31344167581155674,-0.31284905076026914,1.0,False
lexical_disjoint,independent,cached_mixed_raw,96,16,2048,0.0721738263964653,0.07151196897029877,0.07283267378807068,0.05903121190679133,0.05945475734770298,0.005,0.09133607149124146,0.09050317108631134,0.092155322432518,0.0739010223117306,0.07448236048221588,0.005,True
lexical_disjoint,independent,reextracted_mixed_raw,96,16,2048,0.07227101176977158,0.07161061465740204,0.07290031015872955,0.059147719555913504,0.05957255102694035,0.005,0.09144040197134018,0.09063770622015,0.09219809621572495,0.07403096597847628,0.07459985986351966,0.005,True
lexical_disjoint,independent,cached_truncated_raw,96,15,2048,-0.025268157944083214,-0.026349859312176704,-0.024241970852017403,-0.023782093012377846,-0.023655926436185838,1.0,-0.05333511531352997,-0.05493450537323952,-0.05181945115327835,-0.05020380765199661,-0.050032221153378485,1.0,False
lexical_disjoint,independent,consistent_block_raw,96,16,2048,-0.05925942584872246,-0.06012584641575813,-0.058441221714019775,-0.061693228013701175,-0.06151731982827187,0.005,-0.084644615650177,-0.08573294430971146,-0.08359935134649277,-0.08702798412373318,-0.08680542260408401,0.005,True
lexical_disjoint,independent,common_rmsnorm,96,16,2048,-0.22617417573928833,-0.22702601552009583,-0.22538109123706818,-0.2023728912948963,-0.20198262333869935,1.0,-0.38478317856788635,-0.38572973012924194,-0.3838839828968048,-0.34330014472630754,-0.34265922009944916,1.0,False
addition_disjoint,independent,cached_mixed_raw,96,16,2048,0.07409683614969254,0.07347355037927628,0.07474927604198456,0.06683133067048375,0.06712893098592758,0.005,0.09423384815454483,0.09349973499774933,0.0950382649898529,0.08446388193710365,0.08488518968224526,0.005,True
addition_disjoint,independent,reextracted_mixed_raw,96,16,2048,0.07402803748846054,0.07341303676366806,0.07464361190795898,0.06681225722159573,0.06715404242277145,0.005,0.09416929632425308,0.09341850876808167,0.0949145182967186,0.08446550279406446,0.08493898957967758,0.005,True
addition_disjoint,independent,cached_truncated_raw,96,15,2048,-0.024415163323283195,-0.024852966889739037,-0.023978259414434433,-0.023466448332346863,-0.023362622410058976,1.0,-0.05026218295097351,-0.050901710987091064,-0.04966646432876587,-0.04827725767490253,-0.04812990874052048,1.0,False
addition_disjoint,independent,consistent_block_raw,96,16,2048,-0.03797405958175659,-0.03861143812537193,-0.03736178204417229,-0.03886566122048464,-0.03875354155898094,0.005,-0.05627162754535675,-0.05713517963886261,-0.055459000170230865,-0.05703846719022372,-0.056882352009415625,0.005,True
addition_disjoint,independent,common_rmsnorm,96,16,2048,-0.23502719402313232,-0.23531673848628998,-0.23474133014678955,-0.21751156569126262,-0.21725910753011704,1.0,-0.39276576042175293,-0.39310571551322937,-0.3924054205417633,-0.3626511132896845,-0.3622046738862991,1.0,False
arithmetic_mixed,independent,cached_mixed_raw,96,16,2048,0.07532050460577011,0.07464458048343658,0.0760025680065155,0.06713534124083255,0.06740587875247002,0.005,0.09585455805063248,0.09497615694999695,0.09673658758401871,0.0848465046316535,0.08524221479892731,0.005,True
arithmetic_mixed,independent,reextracted_mixed_raw,96,16,2048,0.07528366893529892,0.07463185489177704,0.07596320658922195,0.06714400428174129,0.06740557476878166,0.005,0.0958261489868164,0.09496232122182846,0.09669699519872665,0.08486987013912681,0.08522588312625885,0.005,True
arithmetic_mixed,independent,cached_truncated_raw,96,15,2048,-0.025640344247221947,-0.02623274177312851,-0.025003377348184586,-0.024657991925376144,-0.024556086957454683,1.0,-0.051803287118673325,-0.0526297464966774,-0.05090358480811119,-0.04969183035456955,-0.04955681599676609,1.0,False
arithmetic_mixed,independent,consistent_block_raw,96,16,2048,-0.038185324519872665,-0.03891563415527344,-0.0374683253467083,-0.039111844858332495,-0.03898968435823917,0.005,-0.056777115911245346,-0.05769101530313492,-0.055880848318338394,-0.057554180073977716,-0.05739020109176636,0.005,True
arithmetic_mixed,independent,common_rmsnorm,96,16,2048,-0.23510433733463287,-0.23544220626354218,-0.2347654402256012,-0.21570775923716962,-0.21540136486291886,1.0,-0.3925548791885376,-0.39297738671302795,-0.39215460419654846,-0.35961481165047265,-0.35912915170192716,1.0,False
