label,token_id,token_ids
eight,8063,[8063]
eleven,44214,[44214]
fifteen,36655,[36655]
five,4236,[4236]
four,3040,[3040]
fourteen,62260,[62260]
nine,11627,[11627]
seven,8094,[8094]
seventeen,81397,[81397]
six,4743,[4743]
sixteen,58039,[58039]
ten,5779,[5779]
thirteen,60659,[60659]
three,2326,[2326]
twelve,29235,[29235]
two,1378,[1378]
