model,deltaU_r2_hidden_minus_readback,mechanism_f1_hidden_minus_readback
gemma,0.10545651609304743,0.08043580742621648
llama,0.012077514721517968,0.22458421118165664
qwen,0.14771833352382316,0.2920617064099045
