model_key,proxy,proxy_raw_dim,proxy_used_dim,base_state_r2,aug_state_r2,gain_state_r2,base_state_corr,aug_state_corr,gain_state_corr,base_hshape_r2,aug_hshape_r2,gain_hshape_r2,base_hshape_corr,aug_hshape_corr,gain_hshape_corr,base_deltaU_r2,aug_deltaU_r2,gain_deltaU_r2,base_deltaU_corr,aug_deltaU_corr,gain_deltaU_corr,base_mechanism_acc,aug_mechanism_acc,gain_mechanism_acc,base_mechanism_f1,aug_mechanism_f1,gain_mechanism_f1,state_equation_gain_score,proxy_category
qwen,hidden_decision_mean,1536,32,0.3067883253097534,0.9352266788482666,0.6284383535385132,0.5009623695961052,0.96548513512493,0.46452276552882477,0.3446085453033447,0.7646880745887756,0.4200795292854309,0.5789810560257862,0.8740729740540062,0.29509191802822,0.26560723781585693,0.8132612705230713,0.5476540327072144,0.515396911525927,0.9019340179822393,0.38653710645631223,0.5572916666666666,1.0,0.44270833333333337,0.5491547700502925,1.0,0.45084522994970755,2.047017145480866,hidden_state
qwen,hidden_precursor_mean,1536,32,0.3067883253097534,0.8548073172569275,0.5480189919471741,0.5009623695961052,0.9231072456409339,0.42214487604482875,0.3446085453033447,0.7540544867515564,0.40944594144821167,0.5789810560257862,0.8682919280160415,0.2893108719902553,0.26560723781585693,0.7800817489624023,0.5144745111465454,0.515396911525927,0.8832593211321439,0.36786240960621686,0.5572916666666666,1.0,0.44270833333333337,0.5491547700502925,1.0,0.45084522994970755,1.9227846744916386,hidden_state
qwen,hidden_pre_mean,1536,32,0.3067883253097534,0.8496597409248352,0.5428714156150818,0.5009623695961052,0.9196477139044287,0.4186853443083235,0.3446085453033447,0.752262532711029,0.4076539874076843,0.5789810560257862,0.8670440326707283,0.28806297664494207,0.26560723781585693,0.78630131483078,0.5206940770149231,0.515396911525927,0.8868002973329175,0.3714033858069905,0.5572916666666666,1.0,0.44270833333333337,0.5491547700502925,1.0,0.45084522994970755,1.9220647099873966,hidden_state
qwen,Hshape_dR_decision,6,16,0.3067883253097534,0.5555288791656494,0.248740553855896,0.5009623695961052,0.6902854426441715,0.18932307304806628,0.3446085453033447,0.9983949065208435,0.6537863612174988,0.5789810560257862,0.9992436864752133,0.42026263044942713,0.26560723781585693,0.9999523162841797,0.7343450784683228,0.515396911525927,0.999982232363401,0.48458532083747397,0.5572916666666666,0.8197916666666667,0.26250000000000007,0.5491547700502925,0.825761442079838,0.2766066720295456,1.913478665571263,trajectory_shape
qwen,directH_flow,40,32,0.3067883253097534,0.7568109631538391,0.4500226378440857,0.5009623695961052,0.8648038774424681,0.36384150784636293,0.3446085453033447,0.7182601094245911,0.37365156412124634,0.5789810560257862,0.8474401078936116,0.26845905186782537,0.26560723781585693,0.7399436831474304,0.4743364453315735,0.515396911525927,0.8602597173629415,0.34486280583701445,0.5572916666666666,0.9927083333333333,0.4354166666666667,0.5491547700502925,0.9929186279552463,0.4437638579049539,1.7417745052018594,hidden_flow
qwen,hidden_oflow_pre,28,32,0.3067883253097534,0.7238407731056213,0.4170524477958679,0.5009623695961052,0.8446725592725545,0.3437101896764493,0.3446085453033447,0.6662828326225281,0.32167428731918335,0.5789810560257862,0.8162373987100002,0.23725634268421403,0.26560723781585693,0.6655535101890564,0.39994627237319946,0.515396911525927,0.8160692087993245,0.3006722972733975,0.5572916666666666,0.9895833333333334,0.43229166666666674,0.5491547700502925,0.9906364118730298,0.4414816418227373,1.580154649310988,hidden_flow
qwen,Rshape_decision,6,16,0.3067883253097534,0.5273756384849548,0.22058731317520142,0.5009623695961052,0.6844100855910162,0.18344771599491105,0.3446085453033447,0.7811073660850525,0.43649882078170776,0.5789810560257862,0.88446328067922,0.3054822246534338,0.26560723781585693,0.8088074326515198,0.5432001948356628,0.515396911525927,0.8994740113901043,0.38407709986417726,0.5572916666666666,0.7572916666666667,0.20000000000000007,0.5491547700502925,0.7560260413854576,0.20687127133516514,1.407157600127737,trajectory_shape
qwen,topk_rowpermW_flow,22,32,0.3067883253097534,0.6102114915847778,0.3034231662750244,0.5009623695961052,0.7668622129379965,0.2658998433418913,0.3446085453033447,0.642582893371582,0.2979743480682373,0.5789810560257862,0.8014528561978135,0.22247180017202728,0.26560723781585693,0.6556180119514465,0.3900107741355896,0.515396911525927,0.8097088206837354,0.29431190915780836,0.5572916666666666,0.965625,0.4083333333333333,0.5491547700502925,0.9621825407649286,0.41302777071463614,1.4044360591934875,topk_psg_readback
qwen,topk_realW_flow,22,32,0.3067883253097534,0.6102114915847778,0.3034231662750244,0.5009623695961052,0.7668622149424705,0.26589984534636535,0.3446085453033447,0.642582893371582,0.2979743480682373,0.5789810560257862,0.8014528569621943,0.22247180093640806,0.26560723781585693,0.6556179523468018,0.3900107145309448,0.515396911525927,0.8097088225965794,0.29431191107065235,0.5572916666666666,0.965625,0.4083333333333333,0.5491547700502925,0.9621825407649286,0.41302777071463614,1.4044359995888427,topk_psg_readback
qwen,hidden_oflow_decision,14,24,0.3067883253097534,0.6114838123321533,0.3046954870223999,0.5009623695961052,0.7703804179565467,0.2694180483604415,0.3446085453033447,0.6242034435272217,0.27959489822387695,0.5789810560257862,0.7898150599183899,0.21083400389260365,0.26560723781585693,0.619752049446106,0.354144811630249,0.515396911525927,0.7872929588669791,0.2718960473410521,0.5572916666666666,0.8489583333333334,0.29166666666666674,0.5491547700502925,0.8569978605026654,0.3078430904523729,1.2462782873288987,hidden_flow
qwen,topk_gaussianR_flow,22,32,0.3067883253097534,0.6024728417396545,0.2956845164299011,0.5009623695961052,0.7650090625139213,0.26404669291781613,0.3446085453033447,0.5773603320121765,0.2327517867088318,0.5789810560257862,0.7595489395091898,0.18056788348340358,0.26560723781585693,0.5669035911560059,0.3012963533401489,0.515396911525927,0.7531771820132094,0.23778027048728234,0.5572916666666666,0.89375,0.3364583333333334,0.5491547700502925,0.8914370835432396,0.34228231349294713,1.172014969971829,topk_psg_readback
qwen,hidden_oflow_precursor,8,18,0.3067883253097534,0.4552464783191681,0.14845815300941467,0.5009623695961052,0.6445569385797723,0.14359456898366707,0.3446085453033447,0.5372717976570129,0.1926632523536682,0.5789810560257862,0.7329854649815827,0.15400440895579648,0.26560723781585693,0.5307282209396362,0.2651209831237793,0.515396911525927,0.7287579603463454,0.2133610488204184,0.5572916666666666,0.75,0.19270833333333337,0.5491547700502925,0.7679241393527109,0.21876936930241841,0.8250117577892806,hidden_flow
