metric,effect,order,orthogonal_beta,factorial_contrast_2beta,contrast_ci_low,contrast_ci_high
pair_correct,E,1,0.04481132075471698,0.08962264150943396,0.025943396226415096,0.1580188679245283
pair_correct,B,1,0.04009433962264151,0.08018867924528301,-0.0330188679245283,0.19339622641509435
pair_correct,N,1,0.01179245283018868,0.02358490566037736,-0.007075471698113208,0.054245283018867926
pair_correct,W,1,0.04716981132075472,0.09433962264150944,-0.018867924528301886,0.2099056603773585
pair_correct,E:B,2,0.0660377358490566,0.1320754716981132,0.07547169811320754,0.19103773584905662
pair_correct,E:N,2,-0.014150943396226415,-0.02830188679245283,-0.054245283018867926,-0.0047169811320754715
pair_correct,E:W,2,0.04009433962264151,0.08018867924528301,0.025943396226415096,0.13443396226415094
pair_correct,B:N,2,0.0,0.0,-0.025943396226415096,0.025943396226415096
pair_correct,B:W,2,0.007075471698113208,0.014150943396226415,-0.07075471698113207,0.10141509433962265
pair_correct,N:W,2,-0.0023584905660377358,-0.0047169811320754715,-0.02830188679245283,0.018867924528301886
pair_correct,E:B:N,3,-0.01179245283018868,-0.02358490566037736,-0.04716981132075472,-0.0023584905660377358
pair_correct,E:B:W,3,0.05188679245283019,0.10377358490566038,0.04009433962264151,0.16273584905660377
pair_correct,E:N:W,3,-0.009433962264150943,-0.018867924528301886,-0.04481132075471698,0.0047169811320754715
pair_correct,B:N:W,3,0.014150943396226415,0.02830188679245283,0.0023584905660377358,0.05660377358490566
pair_correct,E:B:N:W,4,-0.007075471698113208,-0.014150943396226415,-0.03773584905660377,0.009433962264150943
candidate_margin,E,1,0.1418385775584095,0.283677155116819,-0.18006347080446639,0.7350029603490288
candidate_margin,B,1,0.1997153084233122,0.3994306168466244,-0.4997929447102097,1.289254958674592
candidate_margin,N,1,0.3453495097610186,0.6906990195220372,-0.20586268946809588,1.5755451058441732
candidate_margin,W,1,0.23365287061007517,0.46730574122015034,-0.41443310143812645,1.3957777167266265
candidate_margin,E:B,2,0.3561947660626106,0.7123895321252212,0.27058427558754977,1.136316040326964
candidate_margin,E:N,2,0.10318705720721551,0.20637411441443101,-0.13531851858462926,0.5772938602375534
candidate_margin,E:W,2,0.1622045984808004,0.3244091969616008,-0.0751602532728663,0.7097816575248286
candidate_margin,B:N,2,0.14948927681401092,0.29897855362802184,-0.32809538571339736,0.9415276581386344
candidate_margin,B:W,2,0.0548870878399543,0.1097741756799086,-0.5624454534278726,0.8155745416317343
candidate_margin,N:W,2,0.15984250914375736,0.3196850182875147,-0.3625966701867445,1.0403369291773372
candidate_margin,E:B:N,3,0.2644700104335569,0.5289400208671138,0.2164168339855266,0.8351849969827903
candidate_margin,E:B:W,3,0.2053280956340286,0.4106561912680572,0.06398063875594229,0.7683918575070939
candidate_margin,E:N:W,3,0.11989240826300855,0.2397848165260171,-0.05351307707012824,0.5260456517057591
candidate_margin,B:N:W,3,0.0440215344698924,0.0880430689397848,-0.4321002996192788,0.6117299601716814
candidate_margin,E:B:N:W,4,0.15160146749244546,0.3032029349848909,0.053853128541190676,0.5607923147813326
